site_id,year_of_breach,Northing,Easting,impact_class,Notes
Tollesbury,1995,595839,211346,restored,Restored and accidentally breached salt marsh sites – grid reference and age of sites
Orplands,1995,597882,206118,restored,Restored and accidentally breached salt marsh sites – grid reference and age of sites
Northey MR,1991,587598,205727,restored,Restored and accidentally breached salt marsh sites – grid reference and age of sites
Barrow Hill,1953,601649,214913,restored,Restored and accidentally breached salt marsh sites – grid reference and age of sites
Ferry Lane (B),1945,603929,221249,restored,Restored and accidentally breached salt marsh sites – grid reference and age of sites
Wallasea Island,1953,594439,195203,restored,Restored and accidentally breached salt marsh sites – grid reference and age of sites
Northey Island,1897,587806,205781,restored,Restored and accidentally breached salt marsh sites – grid reference and age of sites
North Fambridge,1897,584530,196712,restored,Restored and accidentally breached salt marsh sites – grid reference and age of sites
Brandy Hole,1897,583156,195563,restored,Restored and accidentally breached salt marsh sites – grid reference and age of sites
Tollesbury Natural,NA,595812,211637,natural,Natural salt marsh sites – grid reference
Orplands Natural,NA,597649,206062,natural,Natural salt marsh sites – grid reference
Northey Natural,NA,587247,205782,natural,Natural salt marsh sites – grid reference; Northey Natural used as the natural reference marsh for both Northey and Northey Island restored and accidentally breached sites
Barrow Hill Natural,NA,601531,214977,natural,Natural salt marsh sites – grid reference
Ferry Lane (B) Natural,NA,603967,221284,natural,Natural salt marsh sites – grid reference
Wallasea Island Natural,NA,594710,195119,natural,Natural salt marsh sites – grid reference
North Fambridge Natural,NA,584432,196717,natural,Natural salt marsh sites – grid reference
Brandy Hole Natural,NA,583189,195629,natural,Natural salt marsh sites – grid reference
Barrow Hill Field,NA,601788,214655,farmed,Fields on former salt marsh – grid reference
Wallasea Island Field,NA,596072,193767,farmed,Fields on former salt marsh – grid reference
Brandy Hole Field,NA,582692,195559,farmed,Fields on former salt marsh – grid reference
Tollesbury Field,NA,595745,211539,farmed,Fields on former salt marsh – grid reference
