study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon
Akther_et_al_2021,Sundarbans,S1,single set of methods,0,15,1.15,0.01833
Akther_et_al_2021,Sundarbans,S1,single set of methods,15,50,1.28,0.017159999999999998
Akther_et_al_2021,Sundarbans,S1,single set of methods,50,100,1.32,0.01283
Akther_et_al_2021,Sundarbans,S2,single set of methods,0,15,1.24,0.0195
Akther_et_al_2021,Sundarbans,S2,single set of methods,15,50,1.21,0.01833
Akther_et_al_2021,Sundarbans,S2,single set of methods,50,100,1.17,0.01463
Akther_et_al_2021,Sundarbans,S3,single set of methods,0,15,0.96,0.01443
Akther_et_al_2021,Sundarbans,S3,single set of methods,15,50,1.18,0.01209
Akther_et_al_2021,Sundarbans,S3,single set of methods,50,100,1.22,0.01587
Akther_et_al_2021,Sundarbans,S4,single set of methods,0,15,1.36,0.0702
Akther_et_al_2021,Sundarbans,S4,single set of methods,15,50,1.74,0.0819
Akther_et_al_2021,Sundarbans,S4,single set of methods,50,100,1.67,0.08494
Akther_et_al_2021,Sundarbans,S5,single set of methods,0,15,1.25,0.01755
Akther_et_al_2021,Sundarbans,S5,single set of methods,15,50,1.43,0.01794
Akther_et_al_2021,Sundarbans,S5,single set of methods,50,100,1.46,0.02036
Akther_et_al_2021,Sundarbans,S6,single set of methods,0,15,1.28,0.013260000000000001
Akther_et_al_2021,Sundarbans,S6,single set of methods,15,50,1.43,0.01482
Akther_et_al_2021,Sundarbans,S6,single set of methods,50,100,1.56,0.01512
Akther_et_al_2021,Sundarbans,S7,single set of methods,0,15,1.01,0.01667
Akther_et_al_2021,Sundarbans,S7,single set of methods,15,50,1.23,0.01521
Akther_et_al_2021,Sundarbans,S7,single set of methods,50,100,1.29,0.01828
Akther_et_al_2021,Sundarbans,S8,single set of methods,0,15,1.19,0.014039999999999999
Akther_et_al_2021,Sundarbans,S8,single set of methods,15,50,1.56,0.01638
Akther_et_al_2021,Sundarbans,S8,single set of methods,50,100,1.51,0.01264
Akther_et_al_2021,Sundarbans,S9,single set of methods,0,15,1.14,0.01482
Akther_et_al_2021,Sundarbans,S9,single set of methods,15,50,1.44,0.01365
Akther_et_al_2021,Sundarbans,S9,single set of methods,50,100,1.51,0.01114
Akther_et_al_2021,Sundarbans,S10,single set of methods,0,15,1.15,0.01638
Akther_et_al_2021,Sundarbans,S10,single set of methods,15,50,1.28,0.015600000000000001
Akther_et_al_2021,Sundarbans,S10,single set of methods,50,100,1.38,0.01833
