study_id,site_id,species_code
Allen_et_al_2022,Naticoke River Marsh 1,Juncus roemerianus
Allen_et_al_2022,Naticoke River Marsh 1,Spartina alterniflora
Allen_et_al_2022,Naticoke River Marsh 1,Distichlis spicata
Allen_et_al_2022,Naticoke River Marsh 1,Spartina patens
Allen_et_al_2022,Naticoke River Marsh 1,Bolboschoenus robustus
Allen_et_al_2022,Naticoke River Marsh 2,Spartina alterniflora
Allen_et_al_2022,Naticoke River Marsh 2,Spartina patens
Allen_et_al_2022,Naticoke River Marsh 2,Spartina cynosuroides
Allen_et_al_2022,Naticoke River Marsh 2,Distichlis spicata
Allen_et_al_2022,Naticoke River Marsh 2,Bolboschoenus robustus
Allen_et_al_2022,Naticoke River Marsh 3,Peltandra virginica
Allen_et_al_2022,Naticoke River Marsh 3,Mikania scandens
Allen_et_al_2022,Naticoke River Marsh 3,Bidens laevis
Allen_et_al_2022,Naticoke River Marsh 3,Typha spp.
Allen_et_al_2022,Naticoke River Marsh 3,Polygonum punctatum
Allen_et_al_2022,Naticoke River Marsh 4,Polygonum arifolium
Allen_et_al_2022,Naticoke River Marsh 4,Impatiens capensis
Allen_et_al_2022,Naticoke River Marsh 4,Bolboschoenus fluviatilis
Allen_et_al_2022,Naticoke River Marsh 4,Peltandra virginica
Allen_et_al_2022,Naticoke River Marsh 4,Pilea pumila
Allen_et_al_2022,Naticoke River Marsh 5,Peltandra virginica
Allen_et_al_2022,Naticoke River Marsh 5,Polygonum arifolium
Allen_et_al_2022,Naticoke River Marsh 5,Zizania aquatica
Allen_et_al_2022,Naticoke River Marsh 5,Impatiens capensis
Allen_et_al_2022,Naticoke River Marsh 5,Nuphar lutea
