"[ID, identification; gwater/gwet, grams of water per grams of wet sediment; g/cm3, grams per cubic centimeter; cm3voids/cm3wet, cubic centimeters of voids per cubic centimeter of wet sediment; gOM/gdry, grams of organic matter per gram of dry sediment; QA, quality assurance; J, failed QA criteria; BB, reported concentration is below or equal to detection limit; D, there was insufficient material for analysis; 0, passed QA inspection; nem, not enough material]",,,,,,
Sample ID*,"Water Content (gwater/gwet)","Dry Bulk Density (g/cm3)","Porosity (cm3voids/cm3wet)","Loss On Ignition (gOM/gdry)",QA Physical Parameters,QA Loss On Ignition
15BIM09-DA30S,0.59,0.49,0.78,0.1208,0,0
15BIM09-DA31S,0.75,0.25,0.88,0.3024,0,0
15BIM09-DA32S,0.77,0.23,0.89,0.2981,0,0
15BIM09-DA33S,0.29,1.18,0.51,0.0418,0,0
15BIM09-DA34S,0.77,0.25,0.89,0.2112,0,0
15BIM09-DA35S,0.73,0.28,0.87,0.2619,0,0
15BIM09-DA36S,0.52,0.61,0.73,0.1545,0,0
15BIM09-DA37SfrDA36,0.48,0.67,0.70,0.1421,0,0
15BIM09-DA38S,0.78,0.22,0.90,0.3154,0,0
15BIM09-DA39S,0.62,0.45,0.80,0.0901,0,0
15BIM09-DA40S,0.85,0.14,0.93,nem,0,D
15BIM09-DA42S,0.60,0.50,0.79,0.1380,0,0
15BIM09-DA45S,0.20,1.41,0.38,0.0068,0,0
15BIM09-DA46S,0.33,1.11,0.55,0.0371,0,0
15BIM09-DA51G,0.18,1.54,0.36,0.0033,0,0
15BIM09-DA52G,0.20,1.53,0.38,0.0080,0,0
15BIM09-DA54G,0.23,1.43,0.43,0.0068,0,0
15BIM09-DA56G,0.19,1.53,0.37,0.0047,0,0
15BIM09-DA58G,0.19,1.52,0.37,0.0020,0,0
15BIM09-DA60G(L),0.25,1.42,0.45,0.0092,0,0
15BIM09-DA60G(R)frDA60(L),0.23,1.42,0.43,0.0092,0,0
15BIM09-DA61GfrDA60(L)&(R),0.26,1.33,0.46,0.0123,0,0
15BIM09-DA62G,0.19,1.49,0.37,0.0039,0,0
15BIM09-DA64G,0.27,1.29,0.48,0.0158,0,0
15BIM09-DA66G,0.19,1.57,0.37,0.0044,0,0
15BIM09-DA68G,0.18,1.52,0.36,0.0037,0,0
15BIM09-DA70G,0.20,1.43,0.38,0.0049,0,0
15BIM09-DA71G,0.23,1.44,0.42,0.0064,0,0
15BIM09-DA72GfrDA71,0.19,1.45,0.37,0.0079,0,0
15BIM09-DA74G,0.20,1.49,0.39,0.0043,0,0
15BIM09-DA76G,0.17,1.56,0.34,0.0051,0,0
15BIM09-DA77G,0.18,1.50,0.35,0.0022,0,0
15BIM09-DA78G,0.18,1.56,0.35,0.0027,0,0
15BIM09-DA80G,0.19,1.61,0.36,0.0031,0,0
15BIM09-DA81G,0.19,1.57,0.37,0.0059,0,0
15BIM09-DA82G,0.18,1.45,0.36,0.0055,0,0
15BIM09-DA83GfrDA82,0.20,1.49,0.38,0.0066,0,0
15BIM09-DA86G,0.19,1.49,0.37,0.0041,0,0
15BIM09-DA88G,0.19,1.51,0.36,0.0080,0,0
15BIM09-DA90G,0.21,1.47,0.40,0.0157,0,0
15BIM09-DA91G,0.18,1.56,0.36,0.0024,0,0
15BIM09-DA92G,0.18,1.44,0.35,0.0030,0,0
15BIM09-DA93G,0.47,0.76,0.69,0.0460,0,0
15BIM09-DA94GfrDA93,0.39,0.94,0.62,0.0427,0,0
15BIM09-DA95G,0.20,1.43,0.38,0.0060,0,0
15BIM09-DA96G,0.19,1.48,0.36,0.0039,0,0
15BIM09-DA97G,0.18,1.47,0.36,0.0042,0,0
15BIM09-DA98G,0.19,1.41,0.37,0.0047,0,0
15BIM09-DA100G,0.18,1.50,0.36,0.0090,0,0
15BIM09-DA102G,0.53,0.61,0.74,0.0661,0,0
15BIM09-DA103G,0.67,0.38,0.84,0.1075,0,0
15BIM09-DA105G,0.19,1.44,0.37,0.0024,0,0
15BIM09-DA110G,0.19,1.45,0.37,0.0037,0,0
15BIM09-DA117G,0.53,0.63,0.74,0.0679,0,0
15BIM09-DA118G,0.17,1.61,0.35,0.0067,0,0
15BIM09-DA119G,0.20,1.53,0.39,0.0049,0,0
15BIM09-DA120G,0.18,1.44,0.35,0.0047,0,0
15BIM09-DA123S,0.00,1.40,0.01,0.0030,BB,BB
15BIM09-DA124S,0.00,1.49,0.00,0.0004,BB,BB
15BIM09-DA125S,0.18,1.41,0.36,0.0025,BB,BB
15BIM09-DA126SfrDA125,0.18,1.43,0.36,0.0024,BB,BB
15BIM09-DA127G,0.22,1.46,0.41,0.0119,0,0
15BIM09-DA128GfrDA127,0.23,1.44,0.42,0.0137,0,0
15BIM09-DA129G,0.18,1.44,0.35,0.0029,0,0
15BIM09-DA130G,0.70,0.33,0.85,0.1128,0,0
15BIM09-DA131G,0.18,1.53,0.36,0.0045,0,0
15BIM09-DA132G,0.19,1.41,0.36,0.0050,0,0
15BIM09-DA133G,nem,nem,nem,nem,D,D
15BIM09-DA134G,0.45,0.81,0.67,0.0619,0,0
15BIM09-DA135G,nem,nem,nem,nem,D,D
