"[ID, identification; m, meters; _, degrees Celcius; mmHg, millimeters of Mercury; %, percent; mg/L, milligrams per liter; mS/cm, milliseimens per centimeter; mV, millivolts; dbar, decibar; uS/cm, microseimens per centimeter; m/s, meters per second; kg/m3, kilograms per cubic meter; NaN, not a number]",,,,,,,,,
Sample ID*,YSI Temperatures (_),YSI Pressure (mmHg),YSI Dissolved Oxygen (%),YSI Dissolved Oxygen (mg/L),YSI Specific Conductance (mS/cm),YSI Salinity,YSI pH,YSI pH (mV),YSI Oxidation Reduction Potential
15BIM09-DA30S,33.8,763.2,10,0.64,36.66,22.98,6.67,20.3,-243.2
15BIM09-DA31S,30,763.8,14.2,0.94,39.15,24.8,6.86,8.5,-300
15BIM09-DA32S,27.3,763.9,-999,-999,47.62,30.96,6.3,42,-209.1
15BIM09-DA33S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA34S,32.3,762.7,45.4,2.85,40.02,25.34,6.81,12.1,75.8
15BIM09-DA35S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA36S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA37SfrDA36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA38S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA39S,32.7,761.7,-999,-999,40.35,25.59,7.79,-47.1,-999
15BIM09-DA40S,35.6,762.5,71.8,4.34,40,25.22,7.18,-10.2,-37.6
15BIM09-DA42S,32.3,762,13.6,0.88,39.82,25.21,6.7,18.7,-111.5
15BIM09-DA45S,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA46S,28.7,763.4,-2.2,0,42.25,27.04,6.41,35.6,-276.3
15BIM09-DA51G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA52G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA54G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA56G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA58G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA60G(L),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA60G(R)frDA60(L),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA61GfrDA60(L)&(R),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA62G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA64G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA66G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA68G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA70G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA71G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15BIM09-DA72GfrDA71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
