Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.000,0.011,CHN,11.8,0.28067074,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.011,0.022,CHN,,0.362511374,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.022,0.033,CHN,,0.284934356,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.033,0.043,CHN,11.7,0.450591447,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.043,0.054,CHN,,0.421188093,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.054,0.065,CHN,,0.474145327,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.065,0.076,CHN,4.5,0.409177174,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.076,0.087,CHN,,0.753646172,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.087,0.098,CHN,,0.678304953,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.098,0.108,CHN,5.7,0.920083193,NA,NA
"Mazarrasa et al., in prep",Oyambre estuary,A2_M3,Saltmarsh, 43.382675° ,-4.335772°,direct from dataset,Spain,2018,0.108,0.119,CHN,,0.973703367,NA,NA
