study_id,bibliography_id,bibtype,author,title,journal,volume,number,pages,doi,url,year,publication_type,publisher,copyright
Costa_et_al_2023,Costa_et_al_2022,Article,Matthew T. Costa and Exequiel Ezcurra and Paula Ezcurra and Pelayo Salinas-de-León and Benjamin Turner and Joy Kumagai and James Leichter and Octavio Aburto-Oropeza,Sediment depth and accretion shape belowground mangrove carbon stocks across a range of climatic and geologic settings,Limnology and Oceanography,67,S2,S104-S117,10.1002/lno.12241,https://doi.org/10.1002/lno.12241,2022,associated source,NA,NA
Costa_et_al_2023,Costa_et_al_2023,Misc,Matthew T. Costa and Exequiel Ezcurra and Paula Ezcurra and Pelayo Salinas-de-León and Benjamin L. Turner and James Leichter and Octavio Aburto-Oropeza,Dataset: Sediment depth and accretion shape belowground mangrove carbon stocks across a range of climatic and geologic settings.,NA,NA,NA,NA,10.25573/SERC.21295716,https://smithsonian.figshare.com/articles/dataset/Dataset_Sediment_depth_and_accretion_shape_belowground_mangrove_carbon_stocks_across_a_range_of_climatic_and_geologic_settings_/21295716,2023,primary dataset,Smithsonian Environmental Research Center,Creative Commons Attribution 4.0 International
