study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon_modeled,fraction_carbonate,fraction_nitrogen,fraction_carbon_measured,fraction_hydrogen,fraction_sulfur,porewater_salinity
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,0,15,SJR_1_2017_x_a,0.733,0.12802148612354522,0.04710986872529934,NA,NA,NA,NA,NA,20
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,0,15,SJR_1_2017_y_a,0.767,0.13145780051150902,0.04862253936067926,NA,NA,NA,NA,NA,20
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,0,15,SJR_1_2017_z_a,0.76,0.133764832793959,0.04963907886269404,NA,NA,NA,NA,NA,20
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,15,30,SJR_1_2017_x_b,NA,0.12921940928270037,0.047636997832434226,NA,NA,NA,NA,NA,20
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,15,30,SJR_1_2017_y_b,NA,0.13648834019204395,0.050840142179470554,NA,NA,NA,NA,NA,20
StLaurent_et_al_2020,St Jones Reserve,SJR_1_2017,15,30,SJR_1_2017_z_b,0.747,0.13170472650026555,0.048731303845317514,NA,NA,NA,NA,NA,20
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,0,15,SJR_2_2017_x_a,0.729,0.14775051124744373,0.05581840103964101,NA,0.0032,0.0492,0.00879,0.00356,17
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,0,15,SJR_2_2017_y_a,0.752,0.1521402784940692,0.05776391040718185,NA,0.0033,0.0529,0.00914,0.0034100000000000003,17
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,0,15,SJR_2_2017_z_a,0.712,0.15432801822323458,0.05873456382542638,NA,0.003,0.049400000000000006,0.00812,0.00312,17
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,15,30,SJR_2_2017_x_b,0.736,0.15689810640216406,0.059875761963962354,NA,NA,NA,NA,NA,17
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,15,30,SJR_2_2017_y_b,0.838,0.15281030444964866,0.05806111137010566,NA,NA,NA,NA,NA,17
StLaurent_et_al_2020,St Jones Reserve,SJR_2_2017,15,30,SJR_2_2017_z_b,0.758,0.15031757233592102,0.056955755522342146,NA,NA,NA,NA,NA,17
StLaurent_et_al_2020,St Jones Reserve,SJR_3_2017,0,15,SJR_3_2017_x_a,0.763,0.14212218649517677,0.05332814549063799,NA,NA,NA,NA,NA,10
StLaurent_et_al_2020,St Jones Reserve,SJR_3_2017,0,15,SJR_3_2017_y_a,0.696,0.13769123783031986,0.051370968022732846,NA,NA,NA,NA,NA,10
StLaurent_et_al_2020,St Jones Reserve,SJR_3_2017,0,15,SJR_3_2017_z_a,0.783,0.13641755634638197,0.05080891269811117,NA,NA,NA,NA,NA,10
StLaurent_et_al_2020,St Jones Reserve,SJR_3_2017,15,30,SJR_3_2017_x_b,0.805,0.14125412541254123,0.052944488666688445,NA,NA,NA,NA,NA,10
StLaurent_et_al_2020,St Jones Reserve,SJR_3_2017,15,30,SJR_3_2017_y_b,0.724,0.1408763172490294,0.05277754368220342,NA,NA,NA,NA,NA,10
StLaurent_et_al_2020,St Jones Reserve,SJR_3_2017,15,30,SJR_3_2017_z_b,0.673,0.1399433427762039,0.05236537360864782,NA,NA,NA,NA,NA,10
StLaurent_et_al_2020,St Jones Reserve,SJR_4_2017,0,15,SJR_4_2017_x_a,0.656,0.15538362346872978,0.05920316669306335,NA,0.0027,0.0453,0.00743,0.0039000000000000003,18
StLaurent_et_al_2020,St Jones Reserve,SJR_4_2017,0,15,SJR_4_2017_y_a,0.677,0.14928909952606637,0.056499966308034416,NA,0.0027,0.0463,0.00782,0.00365,18
StLaurent_et_al_2020,St Jones Reserve,SJR_4_2017,0,15,SJR_4_2017_z_a,0.715,0.1505930892212481,0.05707788317271416,NA,0.0028000000000000004,0.047400000000000005,0.00782,0.00386,18
StLaurent_et_al_2020,St Jones Reserve,SJR_4_2017,15,30,SJR_4_2017_x_b,0.68,0.15707070707070706,0.05995243699622487,NA,NA,NA,NA,NA,18
StLaurent_et_al_2020,St Jones Reserve,SJR_4_2017,15,30,SJR_4_2017_y_b,0.679,0.15814506539833534,0.060429802299227606,NA,NA,NA,NA,NA,18
StLaurent_et_al_2020,St Jones Reserve,SJR_4_2017,15,30,SJR_4_2017_z_b,0.744,0.1545952525867316,0.0588531785560683,NA,NA,NA,NA,NA,18
StLaurent_et_al_2020,St Jones Reserve,SJR_5_2017,0,15,SJR_5_2017_x_a,0.682,0.1530927835051546,0.058186429482410436,NA,NA,NA,NA,NA,16
StLaurent_et_al_2020,St Jones Reserve,SJR_5_2017,0,15,SJR_5_2017_y_a,0.713,0.15356265356265358,0.05839490730399822,NA,NA,NA,NA,NA,16
StLaurent_et_al_2020,St Jones Reserve,SJR_5_2017,0,15,SJR_5_2017_z_a,0.697,0.15428571428571422,0.05871578775510201,NA,NA,NA,NA,NA,16
