X,Y,gid,Name,description,tessellate
146.260541666667,-18.8945943468993,"1",Plot 5,,"-1"
146.261038888889,-18.8953332357882,"2",Plot 0,,"-1"
146.260791491806,-18.8949630689634,"3",Insulator Ck transect,,"1"
146.26099029562,-18.8952599104916,"4",Plot 1,,"-1"
146.260891898981,-18.8951126708873,"5",Plot 2,,"-1"
146.26078599736,-18.8949543496924,"6",Plot 3,,"-1"
146.260679754221,-18.8947947982654,"7",Plot 4,,"-1"
