study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,age,method_id,cs137_unit,pb210_unit,ra226_unit
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,0,1,0.423,0.2727,0.0271,3.7640373723461513,0.6568245214744033,56.63448,8.41577,15.19937,1.10803,2017.2,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,1,2,0.34230000000000005,0.2,0.02370666666666666,2.103835921131437,0.4864068649655883,46.98738,7.59111,12.28243,0.90153,2015.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,2,3,0.3087,0.2174,0.02264333333333333,2.288162839976153,0.5120908435866631,69.67201,8.70495,11.93978,0.911,2014.3,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,3,4,0.3931,0.1667,0.02172666666666667,3.434819936007104,0.5475102977995321,51.84629,7.48989,15.90602,0.97981,2012.7,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,4,5,0.32620000000000005,0.3333,0.02020333333333333,3.0555157058475286,0.5337985938115632,58.41363,7.93458,15.11,0.97006,2010.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,5,6,0.46110000000000007,0.12,0.02451666666666666,3.392863404730838,0.38407213741553087,66.13036,6.35917,16.74134,0.70481,2008.5,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,6,7,0.48860000000000015,0.1538461538461507,0.02387333333333333,2.3386855071132517,0.5032851211307718,46.81263,7.26079,15.64959,0.96245,2006.2,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,7,8,0.411,0.15909090909090992,0.02498666666666666,3.9296881190960944,0.5124313307301307,71.9077,8.33118,18.19347,0.92787,2003.3,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,8,9,0.4527999999999998,0.16326530612245208,0.02686666666666667,4.103457328512797,0.5449391332264995,68.32384,8.10946,14.79813,0.91304,1999.9,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
Carlin_et_al_2021,ELM1812,ELM1812-MFA1,9,10,0.37850000000000006,0.14634146341463097,0.02833333333333333,5.573602714213944,0.5947034096066279,64.29517,8.21615,14.59648,0.92396,1996.4,single set of studies,becquerelsPerKilogram,becquerelsPerKilogram,becquerelsPerKilogram
