study_id,site_id,core_id,genus,species,common_name
Doughty_et_al_2016,KCSC-20C,MC-06B,Avicennia,germinans,black mangrove
Doughty_et_al_2016,KCSC-20C,MC-06C,Avicennia,germinans,black mangrove
Doughty_et_al_2016,KCSC-20C,MC-06A,Avicennia,germinans,black mangrove
Doughty_et_al_2016,KCSC-20C,MC-08C,Avicennia,germinans,black mangrove
Doughty_et_al_2016,KCSC-20C,MC-23A,Avicennia,germinans,black mangrove
Doughty_et_al_2016,KCSC-20C,MC-23B,Avicennia,germinans,black mangrove
Doughty_et_al_2016,KCSC-20C,MC-23,Avicennia,germinans,black mangrove
Doughty_et_al_2016,KCSC-20C,MC-08A,Avicennia,germinans,black mangrove
Doughty_et_al_2016,KCSC-20C,MC-08B,Avicennia,germinans,black mangrove
Doughty_et_al_2016,KCSC-20C,MC-04B,Batis,maritima,turtleweed
Doughty_et_al_2016,KCSC-20C,MC-04A,Batis,maritima,turtleweed
Doughty_et_al_2016,KCSC-20C,MC-04C,Batis,maritima,turtleweed
Doughty_et_al_2016,KCSC-20C,MC-01A,Distichlis,spicata,saltgrass
Doughty_et_al_2016,KCSC-20C,MC-01B,Distichlis,spicata,saltgrass
Doughty_et_al_2016,KCSC-20C,MC-01C,Distichlis,spicata,saltgrass
Doughty_et_al_2016,KCSC-20C,MC-05C,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,KCSC-20C,MC-07C,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,KCSC-20C,MC-05A,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,KCSC-20C,MC-07A,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,KCSC-20C,MC-07B,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,KCSC-20C,MC-05B,Laguncularia,racemosa,white mangrove
Doughty_et_al_2016,KCSC-20C,MC-09A,Rhizophora,mangle,red mangrove
Doughty_et_al_2016,KCSC-20C,MC-09B,Rhizophora,mangle,red mangrove
Doughty_et_al_2016,KCSC-20C,MC-03B,Salicornia,bigelovii,dwarf saltwort
