study_id,site_id,core_id,core_date,core_latitude,core_longitude,core_position_accuracy,core_position_method,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,core_length_flag
Doughty_et_al_2016,KCSC-20C,MC-01A,2013-05-13,28.580888,-80.671843,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-01B,2013-05-13,28.580905,-80.671836,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-01C,2013-05-13,28.580887,-80.671875,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-02A,2013-05-13,28.581291,-80.67299,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-02B,2013-05-13,28.581354,-80.672805,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-02C,2013-05-13,28.581485,-80.672599,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-03A,2013-05-13,28.581137,-80.671097,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-03B,2013-05-13,28.581147,-80.671113,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-03C,2013-05-13,28.581157,-80.67109,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-04A,2013-05-13,28.579554,-80.670966,5,handheld,brine,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-04B,2013-05-13,28.579554,-80.670988,5,handheld,brine,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-04C,2013-05-13,28.579578,-80.670964,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-05A,2013-05-14,28.581055,-80.671117,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-05B,2013-05-14,28.581001,-80.671087,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-05C,2013-05-14,28.580958,-80.671069,5,handheld,brackish,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-06A,2013-05-14,28.581564,-80.670823,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-06B,2013-05-14,28.581573,-80.670814,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-06C,2013-05-14,28.581595,-80.670766,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-07A,2013-05-14,28.580784,-80.671628,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-07B,2013-05-14,28.580747,-80.671592,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-07C,2013-05-14,28.580822,-80.671575,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,Plots contained emergent salt marsh and mangrove seedlings,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-08A,2013-05-14,28.580901,-80.673758,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-08B,2013-05-14,28.58084,-80.673743,5,handheld,brackish,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-08C,2013-05-14,28.580961,-80.673786,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-09A,2013-05-14,28.581002,-80.673914,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,KCSC-20C,MC-09B,2013-05-14,28.581012,-80.673938,5,handheld,brine,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-10A,2013-05-16,28.709707,-80.738656,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-10B,2013-05-16,28.709732,-80.738672,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-10C,2013-05-16,28.709742,-80.738696,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-11A,2013-05-16,28.709622,-80.738771,5,handheld,brackish,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-11B,2013-05-16,28.709587,-80.738723,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-11C,2013-05-16,28.709591,-80.738687,5,handheld,saline,measurement,porewater salinity,forested,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-12A,2013-05-16,28.709298,-80.73815,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-12B,2013-05-16,28.709307,-80.738184,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-12C,2013-05-16,28.709381,-80.738117,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-13A,2013-05-16,28.709172,-80.738231,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-13B,2013-05-16,28.709139,-80.738306,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-13C,2013-05-16,28.709175,-80.738305,5,handheld,brackish,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-14A,2013-05-16,28.709361,-80.738955,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-14B,2013-05-16,28.709352,-80.738939,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9N,MC-14C,2013-05-16,28.709339,-80.738954,5,handheld,saline,measurement,porewater salinity,emergent,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-15A,2013-05-16,28.707924,-80.738135,5,handheld,brine,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-15B,2013-05-16,28.707926,-80.738173,5,handheld,brine,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-15C,2013-05-16,28.707953,-80.738194,5,handheld,brine,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-16A,2013-05-16,28.708039,-80.738085,5,handheld,brackish,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-16B,2013-05-16,28.70806,-80.738134,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
Doughty_et_al_2016,MIT-9S,MC-16C,2013-05-16,28.708052,-80.738162,5,handheld,saline,measurement,porewater salinity,scrub shrub,measurement,NA,core depth limited by length of corer
