study_id,site_id,site_longitude_max,site_longitude_min,site_latitude_max,site_latitude_min
Doughty_et_al_2016,KCSC-20C,-80.6701826,-80.6742794,28.581994899999998,28.579332100000002
Doughty_et_al_2016,MIPineIsland,-80.7228217,-80.7234853,28.4908287,28.4902083
Doughty_et_al_2016,MIT-9N,-80.7380332,-80.7390388,28.7098023,28.7090787
Doughty_et_al_2016,MIT-9S,-80.73795059999999,-80.7382314,28.708249600000002,28.707894399999997
