study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,pb210_unit,pb214_activity,pb214_activity_se,pb214_unit,bi214_activity,bi214_activity_se,bi214_unit
Weston_et_al_2023,Connecticut,CON_1,single set of methods,0,1.053,0.39503559509905295,0.1781112737920935,6.702531e-8,6.00872e-9,microcuriesPerGram,2.15268e-6,4.134996e-7,microcuriesPerGram,4.453393e-7,1.544103e-8,microcuriesPerGram,5.244712e-8,4.432188e-9,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,1.053,2.106,0.2811949192662577,0.1605454939028785,3.987978e-8,1.036787e-8,microcuriesPerGram,2.70551e-6,5.397764e-7,microcuriesPerGram,5.859906e-7,2.378994e-8,microcuriesPerGram,1.405319e-7,1.697893e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,2.106,3.159,0.23929821927902284,0.21623388753969705,NA,NA,NA,2.506056e-6,5.070636e-7,microcuriesPerGram,4.092655e-7,3.640363e-8,microcuriesPerGram,4.421533e-7,3.105264e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,3.159,4.212,0.2507507144862281,0.2295813729038481,7.786395e-8,1.213206e-8,microcuriesPerGram,2.667208e-6,5.402311e-7,microcuriesPerGram,5.633028e-7,2.586625e-8,microcuriesPerGram,4.499314e-7,1.776013e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,4.212,5.265,0.292599929111664,0.25546889861137545,1.29667e-7,1.107583e-8,microcuriesPerGram,2.534998e-6,4.929701e-7,microcuriesPerGram,4.402696e-7,2.471528e-8,microcuriesPerGram,3.458886e-7,1.295663e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,5.265,6.318,0.2740526338223426,0.2090045876453642,NA,NA,NA,2.499344e-6,5.015513e-7,microcuriesPerGram,4.194908e-7,1.960797e-8,microcuriesPerGram,3.668059e-7,2.180508e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,6.318,7.371,0.28193642145434916,0.2030182039656222,9.408858e-8,1.212763e-8,microcuriesPerGram,2.146563e-6,4.115365e-7,microcuriesPerGram,4.952856e-7,2.400863e-8,microcuriesPerGram,4.115569e-7,2.722261e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,7.371,8.424,0.3663520014257232,0.18874542661634697,NA,NA,NA,2.109392e-6,4.030131e-7,microcuriesPerGram,4.322329e-7,1.990428e-8,microcuriesPerGram,4.806859e-7,1.439916e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,8.424,9.477,0.4099788731851714,0.17447264926707176,4.923697e-8,8.342826e-9,microcuriesPerGram,1.167698e-6,5.033465e-7,microcuriesPerGram,4.643158e-7,2.187567e-8,microcuriesPerGram,4.769107e-7,2.073524e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,9.477,10.53,0.31054696072491134,0.17377938517179065,5.880759e-8,1.020391e-7,microcuriesPerGram,2.297012e-6,4.665806e-7,microcuriesPerGram,4.935317e-7,1.380303e-8,microcuriesPerGram,3.544009e-7,2.112355e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,10.53,11.583,0.32574227650057797,0.21330458393227925,1.282998e-8,9.901304e-8,microcuriesPerGram,2.287817e-6,4.400106e-7,microcuriesPerGram,5.098969e-7,1.579595e-8,microcuriesPerGram,1.308908e-7,1.420565e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,11.583,12.636,0.3610458166380344,0.16745361441776965,1.371948e-7,1.220439e-8,microcuriesPerGram,1.771196e-6,3.417498e-7,microcuriesPerGram,6.079721e-7,4.596557e-8,microcuriesPerGram,4.416008e-7,1.244123e-8,microcuriesPerGram
Weston_et_al_2023,Connecticut,CON_1,single set of methods,12.636,13.689,0.44484165175926305,0.16336208935649377,2.023923e-7,1.244753e-8,microcuriesPerGram,1.43508e-6,2.936066e-7,microcuriesPerGram,5.110192e-7,1.601429e-8,microcuriesPerGram,3.786645e-7,1.587147e-8,microcuriesPerGram
