"","study_id","core_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","cs137_activity","total_pb210_activity","ra226_activity","excess_pb210_activity","be7_activity","age","site_id","total_pb210_activity_sd","ra226_activity_sd","cs137_activity_sd","cs137_peak_present"
"1","Johnson_et_al_2007","SM02_VC1",0,9,NA,NA,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Johnson_et_al_2007","SM02_VC1",9,20,0.2,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Johnson_et_al_2007","SM02_VC1",20,30,NA,NA,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Johnson_et_al_2007","SM02_VC1",30,40,0.2,NA,0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Johnson_et_al_2007","SM02_VC1",40,50,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Johnson_et_al_2007","SM02_VC1",50,60,NA,NA,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Johnson_et_al_2007","SM02_VC1",60,70,0.3,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Johnson_et_al_2007","SM02_VC1",70,80,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Johnson_et_al_2007","SM02_VC1",80,90,NA,NA,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Johnson_et_al_2007","SM02_VC1",90,102,NA,NA,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Johnson_et_al_2007","SM02_VC1",102,116,NA,NA,0.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Johnson_et_al_2007","SM02_VC1",116,118,NA,NA,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Johnson_et_al_2007","SM02_VC1",118,130,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Johnson_et_al_2007","SM02_VC1",130,140,0.1,NA,0.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Johnson_et_al_2007","SM02_VC1",140,150,NA,NA,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Johnson_et_al_2007","SM02_VC1",150,160,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Johnson_et_al_2007","SM02_VC1",160,169,NA,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Johnson_et_al_2007","SM02_VC1",169,177,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Johnson_et_al_2007","SM02_VC1",177,190,0.6,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Johnson_et_al_2007","SM02_VC1",190,200,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Johnson_et_al_2007","SM02_VC1",200,210,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Johnson_et_al_2007","SM02_VC1",210,222,0.5,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Johnson_et_al_2007","SM02_VC1",222,230,NA,NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Johnson_et_al_2007","SM02_VC1",230,240,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Johnson_et_al_2007","SM02_VC1",240,250,0.5,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Johnson_et_al_2007","SM02_VC1",250,260,NA,NA,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Johnson_et_al_2007","SM02_VC1",260,270,NA,NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Johnson_et_al_2007","SM02_VC1",270,277,0.5,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Johnson_et_al_2007","SM02_VC1",277,287,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Johnson_et_al_2007","SM02_VC1",287,290,NA,NA,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Johnson_et_al_2007","SM02_VC1",290,298,NA,NA,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Johnson_et_al_2007","SM02_VC1",298,306,NA,NA,0.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
