depth_min,delta_c13_bulk,delta_c13_CHPLW,c14_material,sample_id,c14_age,c14_age_sd,calibrated_average,cal_yr_bp_sd,depth_interval_notes
0,-16.6,,,,,,,,
9,-15.1,-22.1,,,,,,,
20,-15.6,,,,,,,,
30,-19.6,-29.6,,,,,,,
40,-20.1,,,,,,,,
50,-14.3,,,,,,,,
60,-15.1,-21.2,,,,,,,
70,-16.6,,,,,,,,
80,-18.9,-25.2,,,,,,,
90,-22.9,,,,,,,,
102,-21.9,,,,,,,,
116,-16.4,,,,,,,,
118,-17.3,,,,,,,,
130,-13.6,-19.5,,,,,,,
140,-13.1,-19.5,,,,,,,
150,-15.1,,,,,,,,
160,-17.1,,,,,,,,
169,-20,,,,,,,,
177,-23,-24.6,,,,,,,
190,-24.9,,,,,,,,
200,-24.8,,,,,,,,
210,-24.9,-29.7,Mya arenaria,BC_2129,3220,45,3454.5,97.5,material at 216 cm
222,-25,,,,,,,,
230,-25.3,,,,,,,,
240,-25.1,-30.8,,,,,,,
250,-24.7,,Macoma balthica,BC_2130,3300,40,3539.5,95.5,material at 253 cm
260,-24.3,,,,,,,,
270,-23.2,-26.3,wood,BC_2128,3450,40,3706.5,75.5,material at 274 cm
277,-21.3,,,,,,,,
287,-20.2,,,,,,,,
290,-20.9,,,,,,,,
298,-19.2,-24.7,,,,,,,
