study_id,site_id,core_id,year,latitude,longitude,position_method,position_notes,elevation,elevation_datum,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,habitat
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-1,2017,46.1924,-123.5807,RTK,NA,2.54,NAVD88,RTK,NA,NA,NA,NA,forested,swamp
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-2,2017,46.1922,-123.5798,other low resolution,site-level coordinates from associated publication,NA,NA,NA,NA,NA,NA,NA,forested,swamp
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-3,2017,46.1923,-123.5802,RTK,NA,2.607,NAVD88,RTK,NA,NA,NA,NA,forested,swamp
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-4,2017,46.1922,-123.5794,RTK,NA,2.789,NAVD88,RTK,NA,NA,NA,NA,forested,swamp
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-5,2017,46.1921,-123.5792,RTK,NA,2.756,NAVD88,RTK,NA,NA,NA,NA,forested,swamp
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-6,2017,46.1919,-123.579,RTK,NA,2.71,NAVD88,RTK,NA,NA,NA,NA,forested,swamp
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-1,2017,46.3048,-123.6924,RTK,NA,2.102,NAVD88,RTK,NA,fresh,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-2,2017,46.305,-123.6924,RTK,NA,2.082,NAVD88,RTK,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-3,2017,46.3051,-123.6924,RTK,NA,2.074,NAVD88,RTK,NA,fresh,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-4,2017,46.3053,-123.6924,RTK,NA,2.085,NAVD88,RTK,NA,fresh,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-5,2017,46.3055,-123.6924,RTK,NA,1.939,NAVD88,RTK,NA,fresh,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-6,2017,46.3057,-123.6924,RTK,NA,2.061,NAVD88,RTK,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-1,2017,46.3051,-123.695,RTK,NA,1.28,NAVD88,RTK,NA,fresh,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-2,2017,46.3053,-123.695,RTK,NA,1.196,NAVD88,RTK,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-3,2017,46.3054,-123.695,RTK,NA,1.327,NAVD88,RTK,NA,fresh,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-4,2017,46.3056,-123.6951,RTK,NA,1.381,NAVD88,RTK,NA,NA,NA,NA,emergent,marsh
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-5,2017,46.3058,-123.6951,RTK,NA,1.209,NAVD88,RTK,NA,fresh,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Secret River Low Marsh,COL-SEC-LM-6,2017,46.306,-123.6951,RTK,NA,1.33,NAVD88,RTK,NA,fresh,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-1,2017,46.3071,-123.691,other high resolution,GIS used to determine core position,2.856,NAVD88,other high resolution,leveling used to determine core position,fresh,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-2,2017,46.307,-123.6907,other high resolution,GIS used to determine core position,2.946,NAVD88,other high resolution,leveling used to determine core position,fresh,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-3,2017,46.3069,-123.6905,other high resolution,GIS used to determine core position,2.926,NAVD88,other high resolution,leveling used to determine core position,fresh,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-4,2017,46.3065,-123.6898,RTK,NA,3.142,NAVD88,RTK,NA,NA,NA,NA,forested,swamp
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-5,2017,46.3065,-123.6895,RTK,NA,2.97,NAVD88,RTK,NA,fresh,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Secret River Swamp,COL-SEC-TS-6,2017,46.3064,-123.6893,RTK,NA,2.931,NAVD88,RTK,NA,fresh,measurement,refractometer,forested,swamp
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-1,2017,43.3456,-124.3188,RTK,NA,-0.242,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-2,2017,43.3457,-124.3187,RTK,NA,-0.344,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-3,2017,43.3458,-124.3185,RTK,NA,-0.486,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-4,2017,43.3459,-124.3183,RTK,NA,-0.517,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-5,2017,43.3458,-124.3182,RTK,NA,-0.454,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Barview Eelgrass,COO-BAR-SG-6,2017,43.3454,-124.3189,RTK,NA,-0.619,NAVD88,RTK,NA,mixoeuhaline,measurement,refractometer,seagrass,seagrass
Kauffman_et_al_2020,Danger Point High Marsh,COO-DAN-HM-1,2017,43.2836,-124.3235,handheld,NA,2.129,NAVD88,other high resolution,leveling used to determine core position,polyhaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Danger Point High Marsh,COO-DAN-HM-2,2017,43.2834,-124.3234,handheld,NA,2.16,NAVD88,other high resolution,leveling used to determine core position,mesohaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Danger Point High Marsh,COO-DAN-HM-3,2017,43.2833,-124.3233,handheld,NA,2.121,NAVD88,other high resolution,leveling used to determine core position,mesohaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Danger Point High Marsh,COO-DAN-HM-4,2017,43.2831,-124.3232,handheld,NA,2.137,NAVD88,other high resolution,leveling used to determine core position,mesohaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Danger Point High Marsh,COO-DAN-HM-5,2017,43.283,-124.3231,handheld,NA,1.934,NAVD88,other high resolution,leveling used to determine core position,mesohaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Danger Point High Marsh,COO-DAN-HM-6,2017,43.2828,-124.323,handheld,NA,1.925,NAVD88,other high resolution,leveling used to determine core position,polyhaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Hampel High Marsh,COO-HAM-HM-1,2017,43.3196,-124.3313,RTK,NA,2.296,NAVD88,RTK,NA,mesohaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Hampel High Marsh,COO-HAM-HM-2,2017,43.3195,-124.3315,RTK,NA,2.113,NAVD88,RTK,NA,polyhaline,measurement,refractometer,emergent,marsh
Kauffman_et_al_2020,Hampel High Marsh,COO-HAM-HM-3,2017,43.3194,-124.3317,RTK,NA,2.007,NAVD88,RTK,NA,polyhaline,measurement,refractometer,emergent,marsh
