study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,mass_accumulation_rate,mass_accumulation_rate_error,carbon_accumulation_rate,carbon_accumulation_rate_error,nitrogen_accumulation_rate,nitrogen_accumulation_rate_error,organic_matter_accumulation_rate,organic_matter_accumulation_rate_error,inorganic_matter_accumulation_rate,inorganic_matter_accumulation_rate_error,accumulation_rate_unit
Gundersen_et_al_2024,BN,BN1,2016,7,1,35.9477,-76.3877,RTK,oligohaline,measurement,forested,field observation,swamp,261.74,33.01,134.73,16.99,4.45,0.56,179.95,22.69,81.79,10.31,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,BN,BN2,2016,7,1,35.9328,-76.3924,RTK,oligohaline,measurement,forested to emergent,field observation,marsh,2439.48,367.76,429.73,64.78,24.96,3.76,715.57,107.87,1723.9,259.88,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,BN,BN3,2016,7,1,35.9496,-76.3835,RTK,oligohaline,measurement,emergent,field observation,marsh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BN,BN4,2016,7,1,35.9496,-76.3828,RTK,oligohaline,measurement,emergent,field observation,unvegetated,947.61,399.04,132.8,55.92,3.25,1.37,238.23,100.32,709.38,298.72,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,PH,PH1,2016,6,1,35.9902,-76.0709,RTK,oligohaline,measurement,forested,field observation,swamp,1007.73,98.89,54.35,5.33,2.44,0.24,152.2,14.94,855.53,83.96,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,PH,PH2,2016,6,1,35.9903,-76.07,RTK,oligohaline,measurement,forested to emergent,field observation,marsh,569.38,69.92,32.67,4.01,1.57,0.19,88.28,10.84,481.09,59.08,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,PH,PH3,2016,6,1,35.9874,-76.0726,RTK,oligohaline,measurement,emergent,field observation,marsh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,PH,PH4,2016,6,1,35.9872,-76.0718,RTK,oligohaline,measurement,emergent,field observation,unvegetated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gundersen_et_al_2024,BH,BH1,2016,6,1,35.9101,-75.9403,RTK,oligohaline,measurement,forested,field observation,swamp,1985.77,909.53,93.54,42.85,5.42,2.48,284.15,130.15,1701.63,779.38,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,BH,BH2,2016,6,1,35.9146,-75.929,RTK,oligohaline,measurement,scrub shrub,field observation,marsh,388.87,40.6,179.15,18.7,5.08,0.53,242.88,25.36,145.99,15.24,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,BH,BH3,2016,6,1,35.9149,-75.9281,RTK,oligohaline,measurement,emergent,field observation,marsh,120.71,6.26,51.32,2.66,2.14,0.11,70.4,3.65,50.32,2.61,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,BH,BH4,2016,6,1,35.915,-75.9256,RTK,oligohaline,measurement,emergent,field observation,unvegetated,123.99,23.05,33.9,6.3,1.42,0.26,50.41,9.37,73.58,13.68,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,PP,PP1,2016,6,1,35.7681,-75.7686,RTK,mesohaline,measurement,forested to shrub,field observation,swamp,270.72,66.77,119.53,29.48,3.22,0.79,163.05,40.21,107.67,26.56,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,PP,PP2,2016,6,1,35.7703,-75.757,RTK,mesohaline,measurement,scrub shrub,field observation,marsh,296.81,32.03,144.45,15.59,3.58,0.39,194.36,20.97,102.45,11.06,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,PP,PP3,2016,6,1,35.7696,-75.7419,RTK,mesohaline,measurement,emergent,field observation,marsh,446.72,180.84,122.72,49.68,5.24,2.12,182.29,73.79,264.43,107.05,gramPerMeterSquaredPerYear
Gundersen_et_al_2024,PP,PP4,2016,6,1,35.7697,-75.7414,RTK,mesohaline,measurement,emergent,field observation,unvegetated,255.32,88.31,101.59,35.14,2.47,0.86,140.8,48.7,114.52,39.61,gramPerMeterSquaredPerYear
