"","study_id","core_id","species_code","site_id"
"1","Noe_et_al_2016","W2","Taxodium distichum",NA
"2","Noe_et_al_2016","W1","Taxodium distichum",NA
"3","Noe_et_al_2016","W1","Nyssa aquatica",NA
"4","Noe_et_al_2016","W3","Taxodium distichum",NA
"5","Noe_et_al_2016","W4",NA,NA
