Coring location,Increment mid-depth (cm),Bulk density (g cm-3),C (%),N (%),P,Total 210Pb activity (dpm g-1),Total 210Pb error (dpm g-1),Unsupported 210Pb,Age (yr),Age uncertainty (+- yr),Vertical accretion (mm yr-1),Sediment accumulation (g m-2 yr-1),C accumulation (g-C m-2 yr-1),N accumulation (g-N m-2 yr-1),P accumulation (mg-P m-2 yr-1),dbd_modeled,c%modeled,n%modeled,p_modeled,total_pb210_activity_modeled,total_pb210_sd_modeled,unsupported_pb210_modeled
W1,0.5,,18.3,1.22,0.89,,,,0,0.2,,659,120.9,8.03,586,,,,,0.17,4.31,
W1,1.5,0.12,15.9,1.08,0.77,6.28,0.17,4.31,2,0.1,7.5,620,98.8,6.7,476,,,,,,,
W1,2.5,0.13,16.6,0.99,0.81,6.45,0.19,4.47,3.9,0.2,6.4,563,93.4,5.58,458,,,,,,,
W1,3.5,0.13,17.2,0.97,0.72,6.21,0.17,4.24,6.4,0.2,5.5,549,94.5,5.3,393,,,,,,,
W1,4.5,0.13,17.9,1.16,0.79,6.21,0.17,4.23,8.8,0.2,5.1,511,91.5,5.92,405,,,,,,,
W1,5.5,0.15,17.6,1.05,0.72,7.72,0.26,5.74,11.5,0.4,4.8,346,61,3.63,250,,,,,,,
W1,6.5,0.19,18.4,0.92,0.73,6.33,0.17,4.35,16.3,0.4,4,393,72.2,3.61,286,,,,,,,
W1,7.5,0.16,16.2,0.93,0.75,6.17,0.17,4.19,21.4,0.4,3.5,348,56.5,3.22,261,,,,,,,
W1,8.5,0.14,18.4,0.88,0.64,6.21,0.17,4.23,26.6,0.4,3.2,293,54,2.57,189,,,,,,,
W1,9.5,0.15,16.5,1.15,0.78,5.35,0.1,3.37,31.8,0.3,3,313,51.6,3.6,243,,,,,,,
W1,10.5,0.15,18.4,1.09,0.71,5.16,0.11,3.18,36.8,0.4,2.9,284,52.3,3.09,201,,,,,,,
W1,11.5,0.18,23.3,1.72,0.67,5.25,0.1,3.27,42.8,0.5,2.7,229,53.3,3.93,154,,,,,,,
W1,12.5,0.12,18.4,1.16,0.62,4.4,0.09,2.42,51.9,0.4,2.4,233,42.8,2.7,145,,,,,,,
W1,13.5,0.11,21.3,1.37,0.61,3.96,0.08,1.98,57.7,0.4,2.3,238,50.8,3.25,145,,,,,,,
W1,14.5,0.13,26.6,1.49,0.59,3.83,0.08,1.85,62.7,0.6,2.3,217,57.9,3.25,128,,,,,,,
W1,15.5,,,,,,,,69.5,0.7,2.2,169,43.9,2.71,107,0.13,26,1.61,0.64,,,1.94
