"study_id","site_id","core_id","core_date","salinity_class","salinity_method","vegetation_class","vegetation_method","COE_REGION","CLASS_FIELD_FWSST","CLASS_FIELD_HGM","HUC10_NAME","MAJ_RIVER_BASIN","SANDT_RSTUDY","SANDT_COAST_REG","STATE_NAME","HIGH_TABLE","HIGH_TABLE_COMMENT","ESTCHANNEL_PRESENT","ESTCHANNEL_PRESENT_COMMENT","ESTSURGE_PRESENT","ESTSURGE_PRESENT_COMMENT","TIDAL_STAGE","inundation_notes"
"Nahlik_and_Fennessey_2016","NWCA11-1240","NWCA11-1240-2610",2011-05-03,"palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","FLATS","River Styx","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Florida",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2426","NWCA11-2426-2611",2011-04-18,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Lower Ashepoo River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,"Y",NA,"Y",NA,"SLACK","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1266","NWCA11-1266-2668",2011-05-12,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Indian River Lagoon","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","Florida","Y",NA,NA,NA,"Y",NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1304","NWCA11-1304-2669",2011-04-29,"palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","FLATS","Rice Creek-St. Johns River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","Florida",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1299","NWCA11-1299-2672",2011-05-13,"palustrine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","PEM","DPRSS","Lake Winder-St. Johns River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","Florida","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2418","NWCA11-2418-2750",2011-04-13,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","Beaufort River-Atlantic Intracoastal Waterway","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina","Y",NA,"Y",NA,"Y",NA,"INCOMING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2432","NWCA11-2432-2752",2011-05-11,"palustrine","field observation","forested","field observation","Atlantic and Gulf Coastal Plain","PFO","DPRSS","Tobys Creek-Great Pee Dee River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina","Y",NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2407","NWCA11-2407-2769",2011-05-16,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","TIDAL","North Edisto River","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,NA,NA,"Y",NA,"OUTGOING","field observation"
"Nahlik_and_Fennessey_2016","NWCA11-1006","NWCA11-1006-2776",2011-05-24,"palustrine","field observation","scrub shrub","field observation","Atlantic and Gulf Coastal Plain","PSS","FLATS","Fish River-Frontal Mobile Bay","South Atlantic Gulf","Coastal Watersheds","Gulf Coast Region","Alabama",NA,NA,NA,NA,NA,NA,NA,"field observation"
"Nahlik_and_Fennessey_2016","NWCA11-2434","NWCA11-2434-2791",2011-05-09,"estuarine","field observation","emergent","field observation","Atlantic and Gulf Coastal Plain","E2EM","FLATS","Beaufort River-Atlantic Intracoastal Waterway","South Atlantic Gulf","Coastal Watersheds","South East Coast Region","South Carolina",NA,NA,NA,NA,"Y",NA,NA,"field observation"
