core_id,site_id,study_id,latitude,longitude,position_method,year,month,day
09WCC01_01,09WCC01,Smith_et_al_2015,29.61517,-92.645,handheld,2009,4,29
09WCC01_02,09WCC01,Smith_et_al_2015,29.6322,-92.5786,handheld,2009,4,29
09WCC01_03,09WCC01,Smith_et_al_2015,29.58866,-92.60558,handheld,2009,4,30
09WCC01_04,09WCC01,Smith_et_al_2015,29.58853,-92.60448,handheld,2009,4,30
09WCC01_05,09WCC01,Smith_et_al_2015,29.58832,-92.60329,handheld,2009,4,30
09WCC01_06,09WCC01,Smith_et_al_2015,29.59756,-92.60445,handheld,2009,4,30
09WCC01_07,09WCC01,Smith_et_al_2015,29.6111,-92.60441,handheld,2009,4,30
09WCC01_08,09WCC01,Smith_et_al_2015,29.62016,-92.60437,handheld,2009,4,30
09WCC01_09,09WCC01,Smith_et_al_2015,29.63649,-92.60405,handheld,2009,4,30
