study_id,site_id,core_id,impact_class
McClellan_et_al_2021,Sabine,S01-1,wetlands built
McClellan_et_al_2021,Sabine,S06-1,wetlands built
McClellan_et_al_2021,Sabine,S14-1,wetlands built
McClellan_et_al_2021,Sabine,S33-1,wetlands built
McClellan_et_al_2021,Sabine,S50-1A,wetlands built
McClellan_et_al_2021,Sabine,S50-4B,wetlands built
McClellan_et_al_2021,Sabine,S01-2,wetlands built
McClellan_et_al_2021,Sabine,S06-2,wetlands built
McClellan_et_al_2021,Sabine,S14-2,wetlands built
McClellan_et_al_2021,Sabine,S33-2,wetlands built
McClellan_et_al_2021,Sabine,S50-2A,wetlands built
McClellan_et_al_2021,Sabine,S50-5B,wetlands built
McClellan_et_al_2021,Sabine,S01-3,wetlands built
McClellan_et_al_2021,Sabine,S06-3,wetlands built
McClellan_et_al_2021,Sabine,S14-3,wetlands built
McClellan_et_al_2021,Sabine,S33-3,wetlands built
McClellan_et_al_2021,Sabine,S50-3A,wetlands built
McClellan_et_al_2021,Sabine,S50-6B,wetlands built
McClellan_et_al_2021,WLD,W16-1,sediment added
McClellan_et_al_2021,WLD,W29-1,sediment added
McClellan_et_al_2021,WLD,W41-1,sediment added
McClellan_et_al_2021,WLD,W60-1,sediment added
McClellan_et_al_2021,WLD,W16-2,sediment added
McClellan_et_al_2021,WLD,W29-2,sediment added
McClellan_et_al_2021,WLD,W41-2,sediment added
McClellan_et_al_2021,WLD,W60-2,sediment added
McClellan_et_al_2021,WLD,W16-3,sediment added
McClellan_et_al_2021,WLD,W29-3,sediment added
McClellan_et_al_2021,WLD,W41-3,sediment added
McClellan_et_al_2021,WLD,W60-3,sediment added
