study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon
McClellan_et_al_2021,Sabine,S01-1,single set of methods,0,5,S01-1-00,0.547,0.0605,0.0158
McClellan_et_al_2021,Sabine,S01-1,single set of methods,5,10,S01-1-05,0.823,0.0585,0.0162
McClellan_et_al_2021,Sabine,S01-1,single set of methods,10,15,S01-1-10,0.869,0.0629,0.0148
McClellan_et_al_2021,Sabine,S01-1,single set of methods,15,20,S01-1-15,0.687,0.06720000000000001,0.0152
McClellan_et_al_2021,Sabine,S01-1,single set of methods,20,25,S01-1-20,0.558,0.0681,0.0154
McClellan_et_al_2021,Sabine,S06-1,single set of methods,0,5,S06-1-00,0.2,0.093,0.0249
McClellan_et_al_2021,Sabine,S06-1,single set of methods,5,10,S06-1-05,0.808,0.07390000000000001,0.018
McClellan_et_al_2021,Sabine,S06-1,single set of methods,10,15,S06-1-10,0.926,0.0624,0.0143
McClellan_et_al_2021,Sabine,S06-1,single set of methods,15,20,S06-1-15,0.938,0.0587,0.0149
McClellan_et_al_2021,Sabine,S06-1,single set of methods,20,25,S06-1-20,0.948,0.053399999999999996,0.0132
McClellan_et_al_2021,Sabine,S06-1,single set of methods,25,30,S06-1-25,0.843,0.0608,0.0129
McClellan_et_al_2021,Sabine,S14-1,single set of methods,0,5,S14-1-00,0.185,0.21669999999999998,0.0935
McClellan_et_al_2021,Sabine,S14-1,single set of methods,5,10,S14-1-05,0.322,0.1631,0.0575
McClellan_et_al_2021,Sabine,S14-1,single set of methods,10,15,S14-1-10,0.76,0.08259999999999999,0.023600000000000003
McClellan_et_al_2021,Sabine,S14-1,single set of methods,15,20,S14-1-15,0.926,0.06670000000000001,0.016
McClellan_et_al_2021,Sabine,S14-1,single set of methods,20,25,S14-1-20,0.89,0.069,0.0157
McClellan_et_al_2021,Sabine,S14-1,single set of methods,25,30,S14-1-25,0.857,0.0663,0.0148
McClellan_et_al_2021,Sabine,S33-1,single set of methods,0,5,S33-1-00,0.826,0.0837,0.027399999999999997
McClellan_et_al_2021,Sabine,S33-1,single set of methods,5,10,S33-1-05,0.724,0.1018,0.0334
McClellan_et_al_2021,Sabine,S33-1,single set of methods,10,15,S33-1-10,0.63,0.1085,0.0343
McClellan_et_al_2021,Sabine,S33-1,single set of methods,15,20,S33-1-15,0.551,0.13,0.0423
McClellan_et_al_2021,Sabine,S33-1,single set of methods,20,25,S33-1-20,0.541,0.1225,0.0368
McClellan_et_al_2021,Sabine,S33-1,single set of methods,25,30,S33-1-25,0.416,0.157,0.047700000000000006
McClellan_et_al_2021,Sabine,S50-1A,single set of methods,0,5,S50-1-00,0.186,0.39339999999999997,0.1608
McClellan_et_al_2021,Sabine,S50-1A,single set of methods,5,10,S50-1-05,0.156,0.4972,0.2273
McClellan_et_al_2021,Sabine,S50-1A,single set of methods,10,15,S50-1-10,0.379,0.2313,0.099
McClellan_et_al_2021,Sabine,S50-1A,single set of methods,15,20,S50-1-15,0.763,0.12140000000000001,0.052899999999999996
McClellan_et_al_2021,Sabine,S50-1A,single set of methods,20,25,S50-1-20,0.907,0.07709999999999999,0.027800000000000002
McClellan_et_al_2021,Sabine,S50-1A,single set of methods,25,30,S50-1-25,0.945,0.0773,0.0258
McClellan_et_al_2021,Sabine,S50-4B,single set of methods,0,5,S50-4-00,0.114,0.4333,0.172
McClellan_et_al_2021,Sabine,S50-4B,single set of methods,5,10,S50-4-05,0.235,0.22390000000000002,0.08009999999999999
McClellan_et_al_2021,Sabine,S50-4B,single set of methods,10,15,S50-4-10,0.107,0.5582,0.21680000000000002
McClellan_et_al_2021,Sabine,S50-4B,single set of methods,15,20,S50-4-15,0.115,0.5831000000000001,0.2372
McClellan_et_al_2021,Sabine,S50-4B,single set of methods,20,25,S50-4-20,0.203,0.4746,0.1982
McClellan_et_al_2021,Sabine,S50-4B,single set of methods,25,30,S50-4-25,0.267,0.42069999999999996,0.2043
McClellan_et_al_2021,Sabine,S01-2,single set of methods,0,5,S01-2-00,1.028,0.0516,0.0154
McClellan_et_al_2021,Sabine,S01-2,single set of methods,5,10,S01-2-05,0.903,0.0554,0.016
McClellan_et_al_2021,Sabine,S01-2,single set of methods,10,15,S01-2-10,0.901,0.058,0.0181
McClellan_et_al_2021,Sabine,S01-2,single set of methods,15,20,S01-2-15,0.779,0.0644,0.0166
McClellan_et_al_2021,Sabine,S01-2,single set of methods,20,25,S01-2-20,0.652,0.0664,0.0165
McClellan_et_al_2021,Sabine,S06-2,single set of methods,0,5,S06-2-00,1.037,0.040799999999999996,0.0129
McClellan_et_al_2021,Sabine,S06-2,single set of methods,5,10,S06-2-05,1.111,0.0421,0.011
McClellan_et_al_2021,Sabine,S06-2,single set of methods,10,15,S06-2-10,1.084,0.044,0.0128
McClellan_et_al_2021,Sabine,S06-2,single set of methods,15,20,S06-2-15,1.166,0.0399,0.009699999999999999
McClellan_et_al_2021,Sabine,S06-2,single set of methods,20,25,S06-2-20,1.258,0.027100000000000003,0.0067
McClellan_et_al_2021,Sabine,S14-2,single set of methods,0,5,S14-2-00,0.367,0.1608,0.06720000000000001
McClellan_et_al_2021,Sabine,S14-2,single set of methods,5,10,S14-2-05,0.618,0.0703,0.027600000000000003
McClellan_et_al_2021,Sabine,S14-2,single set of methods,10,15,S14-2-10,0.827,0.048100000000000004,0.0179
McClellan_et_al_2021,Sabine,S14-2,single set of methods,15,20,S14-2-15,0.831,0.048,0.0178
McClellan_et_al_2021,Sabine,S14-2,single set of methods,20,25,S14-2-20,0.758,0.0489,0.0149
McClellan_et_al_2021,Sabine,S14-2,single set of methods,25,30,S14-2-25,0.709,0.052700000000000004,0.0148
McClellan_et_al_2021,Sabine,S33-2,single set of methods,0,5,S33-2-00,1.2,0.0416,0.0119
McClellan_et_al_2021,Sabine,S33-2,single set of methods,5,10,S33-2-05,1.12,0.0442,0.0155
McClellan_et_al_2021,Sabine,S33-2,single set of methods,10,15,S33-2-10,1.116,0.052,0.0166
McClellan_et_al_2021,Sabine,S33-2,single set of methods,15,20,S33-2-15,0.922,0.0562,0.020399999999999998
McClellan_et_al_2021,Sabine,S33-2,single set of methods,20,25,S33-2-20,1.04,0.0465,0.0135
McClellan_et_al_2021,Sabine,S33-2,single set of methods,25,30,S33-2-25,0.74,0.0867,0.026600000000000002
McClellan_et_al_2021,Sabine,S50-2A,single set of methods,0,5,S50-2-00,0.244,0.2687,0.10490000000000001
McClellan_et_al_2021,Sabine,S50-2A,single set of methods,5,10,S50-2-05,0.212,0.3852,0.16419999999999998
McClellan_et_al_2021,Sabine,S50-2A,single set of methods,10,15,S50-2-10,0.407,0.275,0.1303
McClellan_et_al_2021,Sabine,S50-2A,single set of methods,15,20,S50-2-15,0.441,0.29860000000000003,0.15569999999999998
McClellan_et_al_2021,Sabine,S50-2A,single set of methods,20,25,S50-2-20,0.375,0.3374,0.18080000000000002
McClellan_et_al_2021,Sabine,S50-2A,single set of methods,25,30,S50-2-25,0.263,0.36960000000000004,0.1921
McClellan_et_al_2021,Sabine,S50-5B,single set of methods,0,5,S50-5-00,0.11,0.5164,0.2078
McClellan_et_al_2021,Sabine,S50-5B,single set of methods,5,10,S50-5-05,0.21,0.2719,0.101
McClellan_et_al_2021,Sabine,S50-5B,single set of methods,10,15,S50-5-10,0.16,0.378,0.1509
McClellan_et_al_2021,Sabine,S50-5B,single set of methods,15,20,S50-5-15,0.212,0.36719999999999997,0.142
McClellan_et_al_2021,Sabine,S50-5B,single set of methods,20,25,S50-5-20,0.344,0.37960000000000005,0.1765
McClellan_et_al_2021,Sabine,S50-5B,single set of methods,25,30,S50-5-25,0.316,0.4003,0.1918
McClellan_et_al_2021,Sabine,S01-3,single set of methods,0,5,S01-3-00,0.699,0.0577,0.0169
McClellan_et_al_2021,Sabine,S01-3,single set of methods,5,10,S01-3-05,0.871,0.0589,0.0167
McClellan_et_al_2021,Sabine,S01-3,single set of methods,10,15,S01-3-10,0.817,0.052700000000000004,0.0159
McClellan_et_al_2021,Sabine,S01-3,single set of methods,15,20,S01-3-15,0.608,0.06,0.0175
McClellan_et_al_2021,Sabine,S06-3,single set of methods,0,5,S06-3-00,0.542,0.0839,0.0211
McClellan_et_al_2021,Sabine,S06-3,single set of methods,5,10,S06-3-05,0.958,0.0526,0.0146
McClellan_et_al_2021,Sabine,S06-3,single set of methods,10,15,S06-3-10,1.059,0.0494,0.013699999999999999
McClellan_et_al_2021,Sabine,S06-3,single set of methods,15,20,S06-3-15,1.077,0.0501,0.0144
