study_id,site_id,core_id,genus,species
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,Avicennia,germinans
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,Sporobolus,alterniflorus
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,Batis,maritima
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,Avicennia,germinans
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,Sporobolus,alterniflorus
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,Batis,maritima
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Mangrove,Avicennia,germinans
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Mangrove,Rhizophora,mangle
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Salt_Marsh,Juncus,roemericanus
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Salt_Marsh,Sporobolus,alterniflorus
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Transition,Rhizophora,mangle
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Transition,Sporobolus,alterniflorus
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Transition,Avicennia,germinans
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Mangrove_replicate,Avicennia,germinans
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Mangrove_replicate,Rhizophora,mangle
