study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_sd,total_pb210_activity,total_pb210_activity_sd,ra226_activity,ra226_activity_sd,excess_pb210_activity,excess_pb210_activity_sd,delta_c13,CRS_model_age,CRS_age_se,carbon_nitrogen_ratio,BACON_model_age,BACON_model_age_min,BACON_model_age_max,total_lignin_l8,lignin_l6,CV_phenols_ratio,SV_phenols_ratio,ad_al_vanillyls_ratio,ad_al_syringyls_ratio,total_amino_acids,fraction_amino_acids_nitrogen,degradation_index,DAPA_concentration,GABA_concentration,Hyp_concentration,MurA_concentration
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,26,28,Aug_Marsh_28,0.39834242260402264,0.0138,NA,NA,NA,NA,NA,NA,NA,NA,-21.32,NA,NA,16.09329781034052,518,320,709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,28,30,Aug_Marsh_30,0.4755163948893421,0.0187,NA,NA,NA,NA,NA,NA,NA,NA,-22.28,NA,NA,16.77506516462474,548,342,741,3.02649001883736,2.1739442464727,0.892252066383612,1.27519308522047,0.342950976648174,0.240589375012169,0.9104,0.2057284815384615,0.2067637384967132,0.809,11.863,37.13,1.087
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,30,32,Aug_Marsh_32,0.46460290385909486,0.0179,NA,NA,NA,NA,NA,NA,NA,NA,-22.05,NA,NA,18.976945375829732,579,389,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,32,34,Aug_Marsh_34,0.40678738590123775,0.0194,NA,NA,NA,NA,NA,NA,NA,NA,-21.73,NA,NA,15.082607609691118,611,417,784,3.5611545190173,2.68353766930715,0.792074174413422,1.42196909121081,0.356046995777192,0.254743516299044,1.2772000000000001,0.2606512608,0.4293480577849843,1.004,14.814,52.041,1.688
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,34,36,Aug_Marsh_36,0.5269657097462218,0.0174,NA,NA,NA,NA,NA,NA,NA,NA,-22.46,NA,NA,16.909624510865044,642,417,807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,36,38,Aug_Marsh_38,0.5758165743578044,0.0105,NA,NA,NA,NA,NA,NA,NA,NA,-21.91,NA,NA,15.306125634834734,672,489,826,6.16881600705669,4.48567661126958,0.921140734466079,1.454900324135,0.38773699278964,0.288158040147317,1.352,0.27839466375,0.5233053370375079,1.198,15.677,64.258,1.632
Vaughn_et_al_2020,St_Augustine,St_Augustine_Salt_Marsh,38,40,Aug_Marsh_40,0.4565477080986744,0.012199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,-22.06,NA,NA,17.784260261427026,703,514,853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,0,2,Aug_Mangrove_2,0.10479549839282604,0.0417,0.1860311209699349,0.020801140654080945,4.285167163652469,0.1629317045920166,1.470160195521194,0.3116338118428617,2.840827153346472,0.35488212443902384,-24.65,4.705131938753744,2.832284513925039,12.469166084934963,54,-16,108,5.39501167796517,4.45369199501441,0.526552218797994,1.49129115675824,0.328433332389102,0.265927180114635,2.0368,0.3420907829230769,-1.524307587617055,2.57,10.49,50.207,5.589
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,2,4,Aug_Mangrove_4,0.14172077560361837,0.0493,0.22163778290013006,0.022200104300296467,4.009539207779617,0.15482549653508923,1.3193293072620715,0.298847892524329,2.715812229870204,0.339775534900847,-25.04,11.716254669451192,3.0794925475308195,13.066528031122985,65,-8,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,4,6,Aug_Mangrove_6,0.22009653112738767,0.0509,0.23342755687253142,0.025329837379523015,3.583315072019064,0.16456534672839124,1.4443731538811082,0.28330052450427473,2.1594821767856014,0.33077549682056123,-24.98,22.216903437633217,3.3611671126274123,14.477710472717085,75,2,158,7.05094307601269,6.13919282027219,0.469254273152343,2.15968374725505,0.303260206743322,0.238500925224695,2.5328000000000004,0.4768919722325581,-0.1992505674809299,3.117,12.942,67.488,6.15
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,6,8,Aug_Mangrove_8,0.16617089318674005,0.037200000000000004,0.14068507648514192,0.013447129865931032,3.0190666392741616,0.1025524735036367,1.439275506071356,0.21985072535380037,1.5950979741106364,0.2449434953593082,-24.94,31.784486949669283,3.8263821090893972,12.394838065106986,86,11,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,8,10,Aug_Mangrove_10,0.1494108891045747,0.04190000000000001,0.2032215504786163,0.012833761207408423,3.774990490320786,0.09111499470837998,1.5406249775820466,0.13701253339394598,2.255052280277034,0.16606634525837233,-24.64,46.8433419385469,5.459891471561078,11.91780095887713,96,20,205,5.15790291101018,4.07276138891557,0.60750626277335,1.28009711191568,0.349436811306164,0.292655265034687,2.7417,0.46735128928205144,-0.7595575656818586,3.466,15.689,75.414,8.266
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,10,12,Aug_Mangrove_12,0.14979545974087868,0.043,0.14600320102709893,0.012810511334516026,2.2191762561344146,0.08249787019317796,1.454952605814025,0.27697088737089154,0.7717600320178888,0.2918460753907966,-25.11,54.37501673864049,5.932843267646736,13.929384175616795,106,30,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,12,14,Aug_Mangrove_14,0.21440852354043266,0.0377,0.17807384959110037,0.012543111673244931,2.456161649691384,0.07770040269164238,1.606661227393887,0.1637649762029119,0.858390343834064,0.18316002085825156,-25.09,71.6278738953375,8.5089598805274,13.739069915077845,117,39,246,4.55587268478437,3.62852202859563,0.54571278847277,1.13525580754728,0.352107858752723,0.29270419992719,1.8812,0.3749837788666667,-0.5932185426069224,2.265,13.837,63.595,5.313
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,14,16,Aug_Mangrove_16,0.14443485688483101,0.0353,0.08464661093973853,0.01316645216918189,2.5767933455023724,0.11793942085553809,1.4792737231183375,0.09563515011848503,1.1092889727367845,0.15346961227029343,-24.77,105.90181007306725,22.663562604426684,13.722063108816918,127,50,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,16,18,Aug_Mangrove_18,0.1770012338091377,0.0366,0.09123464458490166,0.01071570151619072,2.1622855842137776,0.08541617240087965,1.6694292039621195,0.2980416922313838,0.4982265920476504,0.3134181795349805,-24.55,NA,NA,14.227408209141622,138,59,283,5.96621711590498,4.76758965238732,0.572235829502345,1.27609136491345,0.3183953026636,0.253877864823505,1.2557,0.23905748719999997,-1.511601140233734,1.137,8.03,48.971,2.689
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,18,20,Aug_Mangrove_20,0.19724056276975568,0.025099999999999997,0.031485559106463085,0.0062547851233454655,1.2883216427600617,0.06315402388289923,1.7462800359403348,0.11003784842469284,-0.46211950543398367,0.12802579915949808,-24.42,NA,NA,14.635571559403878,148,65,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,20,22,Aug_Mangrove_22,0.29266604957804093,0.0207,0.021010472514701596,0.005490318417225962,0.6403418950668399,0.04835163243879176,1.5664917355357868,0.17053766996420092,-0.9363211553495187,0.17920636212594457,-24.14,NA,NA,15.087466697194236,159,76,321,5.66452300365658,4.51655015672151,0.541710291609306,1.1312888270815,0.325898759732423,0.243476260331179,1.4767000000000001,0.29731397062500003,-0.737306377558144,1.357,11.231,75.942,3.267
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,22,24,Aug_Mangrove_24,0.21554144784738208,0.0166,NA,NA,NA,NA,NA,NA,NA,NA,-23.86,NA,NA,16.1321705103655,169,83,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,24,26,Aug_Mangrove_26,0.253000706583583,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,-23.66,NA,NA,17.006806260927483,179,92,359,6.36680935038355,4.81443196326322,0.721193341197827,1.2366573375539,0.357244256470022,0.290508927500307,1.1850999999999998,0.2681126875,-0.9427674976868297,0.976,8.019,65.766,2.15
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,26,28,Aug_Mangrove_28,0.28183051205515264,0.0204,NA,NA,NA,NA,NA,NA,NA,NA,-24,NA,NA,18.30007108868153,190,103,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,28,30,Aug_Mangrove_30,0.1932324532663851,0.0285,NA,NA,NA,NA,NA,NA,NA,NA,-23.98,NA,NA,17.4927150112397,200,109,399,6.10862163419589,4.92661232689597,0.51656791323385,1.15305398468498,0.303145872279849,0.234492151866242,1.6332,0.3801054600000001,-0.5301904360459898,1.389,11.168,106.518,2.371
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,30,32,Aug_Mangrove_32,0.21031336595384464,0.0321,NA,NA,NA,NA,NA,NA,NA,NA,-24.08,NA,NA,17.82590958288236,211,121,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,32,34,Aug_Mangrove_34,0.24596540254444146,0.0311,NA,NA,NA,NA,NA,NA,NA,NA,-23.82,NA,NA,17.27058529681126,221,128,429,6.22244203596977,5.00083172353994,0.551709440290858,1.25849932921345,0.297511828844666,0.231706896837303,1.8127,0.41966962,0.06417052975261966,1.761,11.394,106.318,3.322
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,34,36,Aug_Mangrove_36,0.21049265902077013,0.031400000000000004,NA,NA,NA,NA,NA,NA,NA,NA,-23.41,NA,NA,17.437182582632587,232,139,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,36,38,Aug_Mangrove_38,0.26543039333196095,0.035699999999999996,NA,NA,NA,NA,NA,NA,NA,NA,-23.4,NA,NA,17.346942386146033,242,150,469,5.67468394726742,4.53204277048868,0.569200700109383,1.25761330005643,0.297883953231885,0.236026266715081,1.5112,0.35384444725,1.194816757251804,1.437,10.142,88.025,2.465
Vaughn_et_al_2020,St_Augustine,St_Augustine_Mangrove,38,40,Aug_Mangrove_40,0.2235914467073121,0.0332,NA,NA,NA,NA,NA,NA,NA,NA,-23.52,NA,NA,16.833569228207477,253,159,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,0,2,Aug_Transition_2,0.09874110932128415,0.1336,0.2389417140723881,0.026908045324743786,3.5257503413628672,0.17132859640718215,0.8241315289532416,0.13347062843143787,2.7310559178139804,0.21954814671849932,-27.66,6.670104278017562,2.0424877236825725,18.32962137648332,77,36,147,6.50383145496733,5.15208795927122,0.716157435595752,1.72959042349626,0.360512961630585,0.258668366584831,1.0329000000000002,0.267597899902439,0.9082620641288802,1.833,4.188,27.381,3.318
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,2,4,Aug_Transition_4,0.10068994700525688,0.1393,0.28012423438476863,0.02044581045222987,4.053129177369586,0.12910108913024582,0.7492446737478152,0.031275859781580144,3.3401689666179126,0.13429434997271453,-25.34,15.471988420348007,2.5049906037109952,16.57642993922238,95,44,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,4,6,Aug_Transition_6,0.07470544455228735,0.1558,0.570075850919875,0.03724256271304569,4.666065237503685,0.18002858521383364,0.5618910031019738,0.1669948101955683,4.149955958362549,0.24829476358822958,-23.57,24.18221446721807,3.189498018575971,16.980467281938598,114,55,219,7.81196527586414,5.37574397663219,1.17081632790973,1.58351276400366,0.353013990982075,0.270491167933812,0.8764,0.20964475494117651,0.003244036739234482,1.219,3.396,25.786,2.796
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,6,8,Aug_Transition_8,0.1112136704987095,0.12359999999999999,1.1406518280216653,0.047050981831227995,3.2417477376031205,0.13342815314962728,0.9436412188409465,0.10832509687506374,2.324138319706154,0.17381127243688,-24.08,36.04745175243614,4.565911963373093,19.478374553056096,133,64,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,8,10,Aug_Transition_10,0.09211506119577692,0.11359999999999999,0.9791192843283237,0.016907645768550944,1.772940114169354,0.038449913499108056,0.8002608168172256,0.15765092428952238,0.9844530797270594,0.16423624336251907,-24.76,41.494823051084694,5.391850136236334,21.36744543308419,152,70,273,7.61300587790193,5.29317021719593,1.09277409482129,1.493383212788,0.321697654078177,0.236799034124953,0.926,0.2689880020983607,0.3649755166858498,1.238,3.169,39.283,3.492
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,10,12,Aug_Transition_12,0.12407599921292944,0.095,0.4136507551117741,0.026448982654009537,0.9569154999325696,0.06715574597765665,0.798063238674653,0.200203960961175,0.16085742277249307,0.21383256430067243,-24.6,43.18785013946998,5.342524466825667,21.305229821381683,171,85,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,12,14,Aug_Transition_14,0.09068591356086361,0.1338,0.17666997224119713,0.019155217581991242,1.0332093657328443,0.0777535083658164,0.7558015327892557,0.14675121879263264,0.28110132864163706,0.1682880746885455,-24.6,44.98057364105207,5.580707320879069,19.751268088640266,190,95,309,6.98532022982931,4.90296979238829,0.991943293379646,1.33556653854057,0.410804585056021,0.334991070633199,0.7958,0.22049262368,0.7319501784653119,0.918,3.026,39.754,2.764
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,14,16,Aug_Transition_16,0.09250482873257149,0.09570000000000001,0.08591596364344452,0.009249560018346982,1.405220421304799,0.06136000319814043,1.0021174224385765,0.09210539503894331,0.40853975687051375,0.11216540557075597,-24.84,48.4949461752476,6.190208577952015,19.579565223106894,209,109,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,16,18,Aug_Transition_18,0.11991847882045431,0.09269999999999999,0.07066269371835122,0.009948037061335676,1.5643170748190507,0.07574039414410591,0.8740830452668565,0.2011823734948097,0.6573527662703583,0.2047267530254518,-23.66,59.09170406310347,7.9734468362187805,19.304460494546667,227,123,349,7.48939001739343,5.29177881693704,0.992824803828733,1.39069097606504,0.404346718675769,0.304140483490186,1.5175999999999998,0.41343598324528286,0.2724213453645519,1.779,5.677,69.231,3.677
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,18,20,Aug_Transition_20,0.16409213299050246,0.0704,0.04997392229730838,0.007379091858518127,1.604242556878065,0.06669957067755414,1.0059889294449127,0.16973693731408573,0.6065294243291022,0.1848945605689994,-23.25,86.21341872141734,14.405822682482846,18.65889601198901,245,133,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,20,22,Aug_Transition_22,0.15603693723008194,0.0928,0.05841846205360862,0.005925109843066619,1.4566069506247186,0.04768004036092027,1.0064029072020835,0.19644969976778703,0.4565486918773985,0.20500199633390556,-23.28,120.00915523271895,32.45728944068985,17.45509626928004,265,156,387,5.58169073344705,3.81904756822989,1.02046767819414,1.21100599472973,0.480021308368802,0.354136940662367,1.369,0.340030656,0.7573950575036156,1.286,6.312,60.757,2.959
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,22,24,Aug_Transition_24,0.1472022063960723,0.09230000000000001,0.09059879167159138,0.011817133376088597,1.001527674959212,0.06472590450578117,1.0266563694172508,0.29478655687536737,-0.025489353181294222,0.3061405089471966,-22.72,NA,NA,16.8185166201815,284,168,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,24,26,Aug_Transition_26,0.20475787932939973,0.0639,0.07267983373305383,0.0073995142777397785,0.7114273058789753,0.0374790469522362,0.9794024720129038,0.12125894633454033,-0.2719140665392268,0.12878446477372923,-23.77,NA,NA,19.610254196810818,303,187,427,4.29808368915715,3.11801515880433,0.803416875286039,1.12281399897351,0.521206801792931,0.401550189039805,1.3437999999999999,0.3475262036842105,-0.5983372308363031,0.94,NA,67.653,1.886
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,26,28,Aug_Transition_28,0.22528563626724568,0.050300000000000004,NA,NA,NA,NA,NA,NA,NA,NA,-24.15,NA,NA,20.949608692032307,322,204,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,28,30,Aug_Transition_30,0.32181806288002746,0.0254,NA,NA,NA,NA,NA,NA,NA,NA,-24.34,NA,NA,21.157855299308967,340,215,464,5.33031355630632,3.78289907549886,0.912986095445639,1.23193869466856,0.480618270186575,0.33360637477808,1.5325,0.43349341799999996,2.184279854001838,1.153,NA,86.564,1.817
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,30,32,Aug_Transition_32,0.3578065987773902,0.029900000000000003,NA,NA,NA,NA,NA,NA,NA,NA,-24.76,NA,NA,23.245874614936316,359,244,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,32,34,Aug_Transition_34,0.39808257757949295,0.0174,NA,NA,NA,NA,NA,NA,NA,NA,-24.65,NA,NA,22.546166014486722,378,262,498,4.90197496241631,3.36558975676356,0.994699311806154,1.17897816417219,0.453991573990286,0.307724077485955,1.3757000000000001,0.41422258266666667,1.678329648539092,0.967,NA,89.703,1.79
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,34,36,Aug_Transition_36,0.4416066191882168,0.0176,NA,NA,NA,NA,NA,NA,NA,NA,-24.54,NA,NA,25.655982016484888,397,285,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,36,38,Aug_Transition_38,0.39106676191719114,0.011399999999999999,NA,NA,NA,NA,NA,NA,NA,NA,-24.68,NA,NA,26.58892681708434,416,307,534,4.91212791630599,3.31462283056508,0.95615381046964,0.983899317756841,0.441846322219398,0.301628404810994,1.1409,0.4028632775999999,1.441021977177504,0.797,NA,86.899,1.778
Vaughn_et_al_2020,St_Augustine,St_Augustine_Transition,38,40,Aug_Transition_40,0.4927960890205668,0.011899999999999999,NA,NA,NA,NA,NA,NA,NA,NA,-24.86,NA,NA,23.12925651486138,435,322,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Salt_Marsh,0,2,Wac_Marsh_2,0.06106358076447835,0.17803999999999998,0.5524620502491545,0.046742716473283034,7.679542927009194,0.29412544976948124,3.228413723484239,0.36843950719229307,4.5242699611756905,0.4791885968531622,-21.924751455273704,26.174504398010686,13.03730177720903,15.552574185273984,NA,NA,NA,7.32354226973147,5.31084225505379,1.01388490693311,1.67530320774801,0.388778871418199,0.31102610617078,2.1153000000000004,0.46659164837209305,-0.4095111814223834,3.035,4.356,17.387,4.804
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Salt_Marsh,2,4,Wac_Marsh_4,0.09471351144107389,0.16054,0.2684851073080144,0.030291266505892353,6.187441318685664,0.24338726048887344,3.574924531004827,0.6947275432851832,2.656578761791413,0.7485428345831673,-21.963552336848885,119.30018309163559,147.87236740972415,15.892928511060672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Salt_Marsh,4,6,Wac_Marsh_6,0.07301645189284432,0.11323,0.3242711821596319,0.030969450053802867,5.051865958505566,0.20375058520448303,4.799725422656085,0.6687342237231135,0.2564149467507156,0.7109361801890053,-22.238221735367922,NA,NA,15.701150382264535,NA,NA,NA,5.36101497716768,3.51255491193222,1.37608256041577,1.61491478648578,0.453451603543178,0.373359296456921,2.0194,0.4407918511296077,1.79454253437342,2.302,5.966,20.427,3.685
Vaughn_et_al_2020,Waccasassa_Bay,Waccasassa_Bay_Salt_Marsh,6,8,Wac_Marsh_8,0.09237490622030661,0.10253,0.22664982489318458,0.016026258332698513,4.171272427559793,0.11470114733974214,5.090846522704402,0.7836496218415554,-0.9352429721508757,0.8054945179913774,-22.187167943821635,NA,NA,17.95323393495902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
