"study_id","site_id","plot_id","subtransect_id","size_class","debris_transect_length","debris_diameter","debris_class"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","a","2.5-7.5","5","2.8","rotten"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","a","2.5-7.5","5","2.6","rotten"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","b","2.5-7.5","5","6.8","rotten"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","c","2.5-7.5","5","2.72","intermediate"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","d","2.5-7.5","5","3.01","intermediate"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_5","d","2.5-7.5","5","3.11","sound"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_4","a","2.5-7.5","5","2.6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_4","a","2.5-7.5","5","2.7","rotten"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_4","b",">7.5","12","7.6","sound"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_4","b","2.5-7.5","5","3.42","intermediate"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_4","c","2.5-7.5","5","5.15","rotten"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_3","a",">7.5","12","7.63","intermediate"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_3","b","2.5-7.5","5","3.06","intermediate"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_3","c","2.5-7.5","5","5.14","intermediate"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_3","d","2.5-7.5","5","3.26","rotten"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_2","b",">7.5","12","9.35","rotten"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_2","b","2.5-7.5","5","4.6","rotten"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_2","d","2.5-7.5","5","5.3","rotten"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_2","d",">7.5","12","9.25","sound"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_2","d",">7.5","12","8.67","sound"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_1","b",">7.5","12","9.96","rotten"
"Cifuentes_et_al_2024_Nicoya","Colorado","Colorado_Manglar_1_1","d","2.5-7.5","5","4.8","rotten"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_6","a",">7.5","12","45","rotten"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_5","b","2.5-7.5","5","6.8","sound"
"Cifuentes_et_al_2024_Nicoya","Buenaventura","Buenaventura_Manglar_2_1","a","2.5-7.5","5","7.32","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_5","a","2.5-7.5","5","6.9","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_4","a",">7.5","12","16.7","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_4","b","2.5-7.5","5","6.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_4","b",">7.5","12","8.5","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_4","d",">7.5","12","8.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_3","a",">7.5","12","27.8","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_3","a",">7.5","12","13.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_3","b",">7.5","12","9.6","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_3","b",">7.5","12","20.5","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_3","b",">7.5","12","21","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_3","c",">7.5","12","8.9","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_3","d",">7.5","12","11.6","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","a",">7.5","12","15.9","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","a",">7.5","12","14.3","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","b","2.5-7.5","5","5.9","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","b","2.5-7.5","5","4.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","b","2.5-7.5","5","4.6","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","b","2.5-7.5","5","6.9","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","b","2.5-7.5","5","4.1","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","b",">7.5","12","15.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","c",">7.5","12","15.3","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","c","2.5-7.5","5","6.8","rotten"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","d",">7.5","12","20.5","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_2","d",">7.5","12","9","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","a",">7.5","12","13","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","a","2.5-7.5","5","7.5","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","a",">7.5","12","10.2","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","a",">7.5","12","9.6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","b",">7.5","12","19.3","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","b","2.5-7.5","5","7.2","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","b",">7.5","12","11.8","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","b",">7.5","12","9.1","sound"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","c",">7.5","12","8.6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","c",">7.5","12","10.7","intermediate"
"Cifuentes_et_al_2024_Nicoya","Níspero","Níspero_Manglar_3_1","c",">7.5","12","15.1","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","a",">7.5","12","9.5","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","a","2.5-7.5","5","3.2","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","a","2.5-7.5","5","4.3","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","a","2.5-7.5","5","4.4","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","a","2.5-7.5","5","4.9","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","b","2.5-7.5","5","4.4","intermediate"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","d",">7.5","12","7.7","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","d","2.5-7.5","5","4.2","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","d","2.5-7.5","5","7","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","d","2.5-7.5","5","5.7","intermediate"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","d","2.5-7.5","5","6.3","intermediate"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","d",">7.5","12","9.4","intermediate"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","d",">7.5","12","7.7","intermediate"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_2","d",">7.5","12","10.5","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","a","2.5-7.5","5","6","intermediate"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","a",">7.5","12","11.1","intermediate"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","a","2.5-7.5","5","3.9","intermediate"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","a",">7.5","12","12.2","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","a",">7.5","12","26","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","a",">7.5","12","9.6","sound"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","a",">7.5","12","18.8","rotten"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","a",">7.5","12","12.2","intermediate"
