"study_id","site_id","plot_id","depth_min","depth_max","percent_nitrogen","percent_carbon","dry_bulk_density","soil_carbon"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","0","15","0.21","2.62","0.430062630480167","16.9014613778706"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","15","30","0.21","2.49","0.465727209464161","17.3949112734864"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","30","50","0.2","2.6","0.362560890744607","18.8531663187196"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","50","100","0.19","2.44","0.417536534446764","50.9394572025052"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_1","100","200","0.18","2.23","0.553757828810021","246.975991649269"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_2","0","15","0.19","2.65","0.698503827418232","27.7655271398747"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_2","15","30","0.18","2.65","0.583159359777314","23.1805845511482"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_2","30","50","0.17","2.42","0.653096729297147","31.6098816979819"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_2","50","100","0.15","2.07","0.57446068197634","59.4566805845512"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_2","100","200","0.12","2.18","0.643006263048017","280.350730688935"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","0","15","0.19","2.68","0.712073764787752","28.6253653444676"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","15","30","0.19","2.53","0.787926235212248","29.9018006263048"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","30","50","0.15","1.94","0.708246346555324","27.4799582463466"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","50","100","0.18","2.58","0.565066109951287","72.8935281837161"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_3","100","200","0.17","2.8","0.507828810020877","284.384133611691"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","0","15","0.19","3.03","0.667710508002784","30.3474425887265"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","15","30","0.18","2.47","0.46624913013222","17.2745302713987"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","30","50","0.17","2.4","0.612908837856646","29.419624217119"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","50","100","0.17","2.36","0.689457202505219","81.3559498956159"
"Cifuentes_et_al_2024_Nicoya","Bebedero","Bebedero_Manglar_4_4","100","200","0.15","2.37","0.458768267223382","217.456158663883"
