study_id,BIBTEXKEY
Abino_et_al_2014,Abino_et_al_2014
Adame_et_al_2013,Adame_et_al_2013
Adame_et_al_2015,Adame_et_al_2015
Ajonina_et_al_2014,Ajonina_et_al_2014
Allen_et_al_2007,Allen_et_al_2007
Alongi_1996,Alongi_1996
Alongi_et_al_1999,Alongi_et_al_1999
Alongi_et_al_2000,Alongi_et_al_2000
Alongi_et_al_2000,Alongi_et_al_2000
Alongi_et_al_2001,Alongi_et_al_2001
Alongi_et_al_2004,Alongi_et_al_2004
Alongi_et_al_2005,Alongi_et_al_2005
Alongi_et_al_2008,Alongi_et_al_2008
Andreetta_et_al_2014,Andreetta_et_al_2014
Andreetta_et_al_2016,Andreetta_et_al_2016
Ashton_and_Macintosh_2002,Ashton_and_Macintosh_2002
Banerjee_et_al_2012,Banerjee_et_al_2012
Bhomia_et_al_2016_Honduras,Bhomia_et_al_2016
Bhomia_et_al_2016_Honduras,Bhomia_et_al_2016
Bhomia_et_al_2016_India,Bhomia_et_al_2016
Bhomia_et_al_2016_India,Bhomia_et_al_2016
Bouillon_et_al_2003,Bouillon_et_al_2003
Bouillon_et_al_2004_FEMS,Bouillon_et_al_2004
Boyd_2012,Boyd_2012
Boyd_and_Sommerfield_2016,Boyd_and_Sommerfield_2016
Breithaupt_et_al_2014,Breithaupt_et_al_2014
Breithaupt_et_al_2017,Breithaupt_et_al_2017
Brunskill_et_al_2002,Brunskill_et_al_2002
Brunskill_et_al_2004,Brunskill_et_al_2004
Bukoski_et_al_2017,Bukoski_et_al_2017
Bulmer_et_al_2016,Bulmer_et_al_2016
Cahoon_and_Lynch_1997,Cahoon_and_Lynch_1997
Callaway_et_al_1997,Callaway_et_al_1997
Callaway_et_al_2012,Callaway_et_al_2012
Campbell_et_al_2015,Campbell_et_al_2015
Cardona_and_Botero_1998,Cardona_and_Botero_1998
Chanda_et_al_2013,Chanda_et_al_2013
Chen_and_Twilley_1999,Chen_and_Twilley_1999
Chen_et_al_2010,Chen_et_al_2010
Chen_et_al_2012,Chen_et_al_2012
Chen_et_al_2014,Chen_et_al_2014
Chen_et_al_2016,Chen_et_al_2016
Chmura_et_al_2003,Chmura_et_al_2003
Cochran_et_al_1998,Cochran_et_al_1998
Craft_2007,Craft_2007
CRMS_Database,CRMS_Database
Crooks_et_al_2014,Crooks_et_al_2014
Deegan_et_al_2012,Deegan_et_al_2012
Deegan_et_al_2012,Deegan_et_al_2012
DelVecchia_et_al_2014,DelVecchia_et_al_2014
Dissanayake_and_Chandrasekara_2014,Dissanayake_and_Chandrasekara_2014
Donato_et_al_2011,Donato_et_al_2011
Donato_et_al_2012,Donato_et_al_2012
Drake_et_al_2015,Drake_et_al_2015
Drexler_et_al_2009,Drexler_et_al_2009
Dung_et_al_2016,Dung_et_al_2016
Dutta_et_al_2013,Dutta_et_al_2013
Eid_and_Shaltout_2016_Egypt,Eid_and_Shaltout_2016
Eid_et_al_2016_Saudi_Arabia,Eid_et_al_2016
Elsey_Quirk_et_al_2011,Elsey_Quirk_et_al_2011
Ensign_et_al_2015,Ensign_et_al_2015
Ezcurra_et_al_2016,Ezcurra_et_al_2016
Ferreira_et_al_2007,Ferreira_et_al_2007
Fujimoto_et_al_1999,Fujimoto_et_al_1999
Gerlach_et_al_2017,Gerlach_et_al_2017
Giblin_and_Forbrich_2018,Giblin_and_Forbrich_2018
Gillis_et_al_2017,Gillis_et_al_2017
Gleason_and_Ewel_2002,Gleason_and_Ewel_2002
Gomes_et_al_2016,Gomes_et_al_2016
Gonneea_et_al_2004,Gonneea_et_al_2004
Gonneea_et_al_2018,Gonneea_et_al_2018
He_et_al_2002,He_et_al_2002
