"SCIENTIFIC_NAME","COMP_BIOGRP","COMP","COMPONENT_DESCR","OUT_UNITS","EQUATION","INPUT_PARAMETERS","R2","SE","N","MIND","MAXD","ORIGIN","NOTES","AUTHOR","YEAR","CITATION","DOI"
"All species","Aboveground","Stem","Heartwood, sapwood and bark","kg","0.1*(Sg*(Pi*(DBH*0.5)^2*HGT))","Sg - specific gravity wood (g/cm3), Pi  - mathematical constant (3.14159265359), DBH - diameter at breast height (cm), HGT - height (m)",NA,NA,NA,NA,NA,"Non specific",NA,"NA",NA,"Not Available",NA
"All species","Aboveground","Aboveground root","Stilt roots from the ground to the lower bole (stem)","kg","AGBwood*0.101","AGBwood - above ground wood biomass (kg)",NA,NA,NA,NA,5,"Australia","Equation based on min/max diameter range","Kauffman and Cole","2010","Kauffman, J.B.; Cole, T. 2010. Micronesian mangrove forest structure and tree response to a severe typhoon. Wetlands 30: 1077-1084. https://doi.org/10.1007/s13157-010-0114-y","#https://doi.org/10.1007/s13157-010-0114-y#"
"All species","Aboveground","Aboveground root","Stilt roots from the ground to the lower bole (stem)","kg","AGBwood*0.204","AGBwood - above ground wood biomass (kg)",NA,NA,NA,5,10,"Australia","Equation based on min/max diameter range","Kauffman and Cole","2010","Kauffman, J.B.; Cole, T. 2010. Micronesian mangrove forest structure and tree response to a severe typhoon. Wetlands 30: 1077-1084. https://doi.org/10.1007/s13157-010-0114-y","#https://doi.org/10.1007/s13157-010-0114-y#"
"All species","Aboveground","Aboveground root","Stilt roots from the ground to the lower bole (stem)","kg","AGBwood*0.356","AGBwood - above ground wood biomass (kg)",NA,NA,NA,10,15,"Australia","Equation based on min/max diameter range","Kauffman and Cole","2010","Kauffman, J.B.; Cole, T. 2010. Micronesian mangrove forest structure and tree response to a severe typhoon. Wetlands 30: 1077-1084. https://doi.org/10.1007/s13157-010-0114-y","#https://doi.org/10.1007/s13157-010-0114-y#"
"All species","Aboveground","Aboveground root","Stilt roots from the ground to the lower bole (stem)","kg","AGBwood*0.273","AGBwood - above ground wood biomass (kg)",NA,NA,NA,15,20,"Australia","Equation based on min/max diameter range","Kauffman and Cole","2010","Kauffman, J.B.; Cole, T. 2010. Micronesian mangrove forest structure and tree response to a severe typhoon. Wetlands 30: 1077-1084. https://doi.org/10.1007/s13157-010-0114-y","#https://doi.org/10.1007/s13157-010-0114-y#"
"All species","Aboveground","Aboveground root","Stilt roots from the ground to the lower bole (stem)","kg","AGBwood*0.210","AGBwood - above ground wood biomass (kg)",NA,NA,NA,20,NA,"Australia","Equation based on min/max diameter range","Kauffman and Cole","2010","Kauffman, J.B.; Cole, T. 2010. Micronesian mangrove forest structure and tree response to a severe typhoon. Wetlands 30: 1077-1084. https://doi.org/10.1007/s13157-010-0114-y","#https://doi.org/10.1007/s13157-010-0114-y#"
"All species","Aboveground","Stem","Heartwood, sapwood and bark","kg","0.1*Sg*((Pi * HGT) / 12 * (DBASE^2 + DBH^2 + (DBASE * DBH)))","Sg - specific gravity wood (g/cm3), Pi  - mathematical constant (3.14159265359), DBH - diameter at breast height (cm), HGT - height (m), DBASE - diameter at base (cm)",NA,NA,NA,NA,NA,"Non specific",NA,"Larsen, D.R.","2017","Larsen, D.R. 2017. Simple taper: Taper equations for the field forester. Proceedings of the 20th Central Hardwood Forest Conference. 2016 March 28-April 1. Columbia, MO.",NA
"All species","Coarse woody debris","CWD","Large wood: > 7.6 cm (1000hr rotten or solid)","Mg/ha","Sg*(Pi^2*((d1^2+d2^2+d3^2+...dn^2)/(8*L)))","Sp - Specific gravity wood (g/cm3), Pi  - mathematical constant (3.14159265359), d1,d2,etc = diameters of intersecting pieces (cm), L - length of transect (m)",NA,NA,NA,8,NA,"Non specific",NA,"Kauffman and Cole","2010","Kauffman, J.B.; Cole, T. 2010. Micronesian mangrove forest structure and tree response to a severe typhoon. Wetlands 30: 1077-1084. https://doi.org/10.1007/s13157-010-0114-y","#https://doi.org/10.1007/s13157-010-0114-y#"
"All species","Fine woody debris","FWD","Fine woody debris: 0 - 7.6 cm (1, 10 & 100hr)","Mg/ha","Sg*(Pi^2*(( N*QMD^2)/(8*L)))","Sp - Specific gravity wood (g/cm3), Pi  - mathematical constant (3.14159265359), N - count of pieces, QMD - quadratic mean diameter (cm), L - length of transect (m)",NA,NA,NA,0,8,"Non specific",NA,"Kauffman and Cole","2010","Kauffman, J.B.; Cole, T. 2010. Micronesian mangrove forest structure and tree response to a severe typhoon. Wetlands 30: 1077-1084. https://doi.org/10.1007/s13157-010-0114-y","#https://doi.org/10.1007/s13157-010-0114-y#"
"All species","Understory","Understory","All understory and surface organic material, including shrubs, grasses, forbs, and litter","Mg/ha","0.01*(DWT/A)","DWT - sample dry weight (g), A - sample area (m2)",NA,NA,NA,NA,NA,"Non specific",NA,"NA",NA,"Not Available",NA
"Avicennia marina","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","0.308*DBH^2.11","DBH - diameter at breast height (cm)",0.97,NA,22,NA,35,"Australia",NA,"Komiyama et al.","2008","Komiyama, A.; Ong, J.E.; Poungparn, S. 2008. Allometry, biomass, and productivity of mangrove forests: A review. Aquatic Botany 89: 128-137. doi: https://doi.org/10.1016/j.aquabot.2007.12.006","#https://doi.org/10.1016/j.aquabot.2007.12.006#"
"Avicennia marina","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","0.1848*DBH^2.3524","DBH - diameter at breast height (cm)",NA,NA,NA,NA,NA,"Indonesia",NA,"Desch, H.E.","1996","Desch, H.E. 1996. Timber: structure, properties, conversion and use. 7th Edition. Palgrave Macmillan, New York.",NA
"Avicennia marina","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","0.19633*DBH^2.08791*ùêª^0.29654","DBH - diameter at breast height (cm), H - total tree height (m)",NA,NA,NA,NA,NA,"Tanzania",NA,"Njana, M. et al.","2015","Njana, M., O.M., Bollandsas, T. Eid, E. Zahabu, R.E. Malimwi. 2015. Above- and belowgroujnd tree biomass models for trhee mangrove species using a nonlinear mixed effects modeling approach. Annals For. Sci. DOI 10.1007/s13595-015-0524-3",NA
"Avicennia marina","Aboveground","Aboveground total","Above-ground total including leaf, stem, branch and above-ground root where applicable.","kg","10^(-0.511 + 2.113 * Log10(DBH))","DBH - diameter at breast height (cm), Log10 - logarithm to the base 10",0.97,NA,22,NA,NA,"Northern Australia",NA,"Comley, B. and McGuinness, K.","2005","Comley, B., McGuinness, K. 2005. Above-and below-ground biomass, and allometry, of four common northern Australian mangroves. Australian Journal of Botany. DOI 10.1071/BT04162","https://doi.org/10.1071/BT04162"
"Avicennia marina","Belowground","Belowground root",NA,"kg","1.28*DBH^1.17","DBH - diameter at breast height (cm)",0.8,NA,14,NA,35,"Australia",NA,"Komiyama et al.","2008","Komiyama, A.; Ong, J.E.; Poungparn, S. 2008. Allometry, biomass, and productivity of mangrove forests: A review. Aquatic Botany 89: 128-137. doi: https://doi.org/10.1016/j.aquabot.2007.12.006","#https://doi.org/10.1016/j.aquabot.2007.12.006#"
"Avicennia marina","Belowground","Belowground root",NA,"kg","1.4204*DBHÌ∞∑^1.44260","DBH - diameter at breast height (cm)",NA,NA,NA,NA,NA,"Tanzania",NA,"Njana, M. et al.","2015","Njana, M., O.M., Bollandsas, T. Eid, E. Zahabu, R.E. Malimwi. 2015. Above- and belowgroujnd tree biomass models for trhee mangrove species using a nonlinear mixed effects modeling approach. Annals For. Sci. DOI 10.1007/s13595-015-0524-3",NA
"Avicennia marina","Belowground","Belowground root",NA,"kg","10^(0.106 + 1.171 * Log10(DBH))","DBH - diameter at breast height (cm), Log10 - logarithm to the base 10",0.8,NA,14,NA,NA,"Northern Australia",NA,"Comley, B. and McGuinness, K.","2005","Comley, B., McGuinness, K. 2005. Above-and below-ground biomass, and allometry, of four common northern Australian mangroves. Australian Journal of Botany. DOI 10.1071/BT04162","https://doi.org/10.1071/BT04162"
"Bruguiera gymnorrhiza","Aboveground","Live wood","Live wood above-ground: including stem and branch","kg","0.0754*DBH^2.505*Sg","DBH - diameter at breast height (cm), Sg - specific gravity wood (g/cm3)",0.91,NA,326,NA,132,"Micronesia",NA,"Kauffman and Donato","2012","Kauffman, J.B.; Donato, D.C. 2012 Protocols for the measurement, monitoring and reporting of structure, biomass and carbon stocks in mangrove forests. Working Paper 86. CIFOR, Bogor, Indonesia. doi:10.17528/cifor/003749.","10.17528/cifor/003749#http://10.17528/cifor/003749#"
"Bruguiera gymnorrhiza","Aboveground","Leaf","Foliage attached to tree","kg","0.0679*DBH^1.4914","DBH - diameter at breast height (cm)",0.854,1.57,17,2,24,"Australia",NA,"Kauffman and Donato","2012","Kauffman, J.B.; Donato, D.C. 2012 Protocols for the measurement, monitoring and reporting of structure, biomass and carbon stocks in mangrove forests. Working Paper 86. CIFOR, Bogor, Indonesia. doi:10.17528/cifor/003749.","10.17528/cifor/003749#http://10.17528/cifor/003749#"
