species_code,resolved_taxa,data_source,score
Acanthus ilicifolius,Acanthus ilicifolius,National Center for Biotechnology Information,0.988
Acer rubrum,Acer rubrum,National Center for Biotechnology Information,0.988
Achillea millefolium,Achillea millefolium,National Center for Biotechnology Information,0.988
Acrostichium aureum,Acrostichum aureum,Catalogue of Life - June 2021,0.75
Aegiceras corniculatum,Aegiceras corniculatum,National Center for Biotechnology Information,0.988
Agrostis spp.,Agrostis,Catalogue of Life - June 2021,0.75
Agrostis stolonifera,Agrostis stolonifera,National Center for Biotechnology Information,0.988
Alnus rubra,Alnus rubra,Wikispecies,0.988
Alnus serrulata,Alnus serrulata,Wikispecies,0.988
Alternanthera philoxeroides,Alternanthera philoxeroides,Wikispecies,0.988
Amaranthus cannabinus,Amaranthus cannabinus,Wikispecies,0.988
Ambrosia psilostachya,Ambrosia psilostachya,Wikispecies,0.988
Ambrosia trifida,Ambrosia trifida,National Center for Biotechnology Information,0.988
Ampelopsis arborea,Ampelopsis arborea,Freebase,0.988
Amphibolis antarctica,Amphibolis antarctica,Wikispecies,0.988
Amphibolis australis,Amphibolis,Catalogue of Life - June 2021,0.75
Angelica lucida,Angelica lucida,National Center for Biotechnology Information,0.988
Asparagus officinalis,Asparagus officinalis,Wikispecies,0.988
Athyrium filix-femina,Athyrium filix-femina,Wikispecies,0.988
Avicennia africana,Avicennia africana,uBio NameBank,0.988
Avicennia alba,Avicennia alba,National Center for Biotechnology Information,0.988
Avicennia corniculatum,Avicennia,Catalogue of Life - June 2021,0.75
Avicennia germinans,Avicennia germinans,National Center for Biotechnology Information,0.988
Avicennia marina,Avicennia marina,National Center for Biotechnology Information,0.988
Avicennia officinalis,Avicennia officinalis,National Center for Biotechnology Information,0.988
Avicennia schaueriana,Avicennia schaueriana,National Center for Biotechnology Information,0.988
Avicennia schauerianna,Avicennia schaueriana,Catalogue of Life - June 2021,0.75
Avicennia spp.,Avicennia,Catalogue of Life - June 2021,0.75
Baccharis halimifolia,Baccharis halimifolia,National Center for Biotechnology Information,0.988
Batis maritima,Batis maritima,National Center for Biotechnology Information,0.988
Bidens laevis,Bidens laevis,Wikispecies,0.988
Bolboschoenus fluviatilis,Bolboschoenus fluviatilis,Wikispecies,0.988
Bolboschoenus maritimus,Bolboschoenus maritimus,Wikispecies,0.988
Borrichia frutescens,Borrichia frutescens,Wikispecies,0.988
Bromus pacificus,Bromus pacificus,National Center for Biotechnology Information,0.988
Bruguiera cylindrica,Bruguiera cylindrica,National Center for Biotechnology Information,0.988
Bruguiera gymnorrhiza,Bruguiera gymnorrhiza,Freebase,0.988
Bruguiera parviflora,Bruguiera parviflora,National Center for Biotechnology Information,0.988
