species_code,resolved_taxa,data_source,score
Bruguiera sexangula,Bruguiera sexangula,National Center for Biotechnology Information,0.988
Bulboschoenus robustus,Bolboschoenus robustus,Catalogue of Life - June 2021,0.75
Carex lyngbyei,Carex lyngbyei,Wikispecies,0.988
Carex obnupta,Carex obnupta,Wikispecies,0.988
Carex pluriflora,Carex pluriflora,National Center for Biotechnology Information,0.988
Castilleja hyetophila,Castilleja hyetophila,Encyclopedia of Life,0.988
Ceratophyllum demersum,Ceratophyllum demersum,Wikispecies,0.988
Ceriops australis,Ceriops australis,National Center for Biotechnology Information,0.988
Ceriops decanda,Ceriops decandra,Catalogue of Life - June 2021,0.75
Ceriops tagal,Ceriops tagal,National Center for Biotechnology Information,0.988
Chrysopsis pilosa,Chrysopsis pilosa,CU*STAR,0.988
Cladium mariscus,Cladium mariscus,Wikispecies,0.988
Conioselinum gmelinii,Conioselinum gmelinii,National Center for Biotechnology Information,0.988
Conocarpus erectus,Conocarpus erectus,Wikispecies,0.988
Cornus sericea,Cornus sericea,Wikispecies,0.988
Cotula coronopifolia,Cotula coronopifolia,National Center for Biotechnology Information,0.988
Crassostrea virginica,Crassostrea virginica,National Center for Biotechnology Information,0.988
Cuscuta salina,Cuscuta salina,Wikispecies,0.988
Cuscuta spp.,Cuscuta,Catalogue of Life - June 2021,0.75
Cymodocea nodosa,Cymodocea nodosa,National Center for Biotechnology Information,0.988
Cymodocea rotundata,Cymodocea rotundata,National Center for Biotechnology Information,0.988
Cymodocea serrulata,Cymodocea serrulata,National Center for Biotechnology Information,0.988
Cymodocea spp.,Cymodocea,Catalogue of Life - June 2021,0.75
Cyperus strigosus,Cyperus strigosus,National Center for Biotechnology Information,0.988
Dalbergia ecastaphyllum,Dalbergia ecastaphyllum,National Center for Biotechnology Information,0.988
Deschampsia cespitosa,Deschampsia cespitosa,Wikispecies,0.988
Dichanthelium scoparium,Dichanthelium scoparium,National Center for Biotechnology Information,0.988
Distichlis spicata,Distichlis spicata,National Center for Biotechnology Information,0.988
Echinochloa spp.,Echinochloa,Catalogue of Life - June 2021,0.75
Echinochloa walteri,Echinochloa walteri,National Center for Biotechnology Information,0.988
Eleocharis cellulosa,Eleocharis cellulosa,Wikispecies,0.988
Eleocharis palustris,Eleocharis palustris,Wikispecies,0.988
Eleocharis spp.,Eleocharis,Catalogue of Life - June 2021,0.75
Elymus athericus,Elymus athericus,National Center for Biotechnology Information,0.988
Enhalus acoroides,Enhalus acoroides,National Center for Biotechnology Information,0.988
Enhalus spp.,Enhalus,Catalogue of Life - June 2021,0.75
Excoecaria agallocha,Excoecaria agallocha,National Center for Biotechnology Information,0.988
Festuca rubra,Festuca rubra,National Center for Biotechnology Information,0.988
Fimbristylis castanea,Fimbristylis castanea,uBio NameBank,0.988
Frankenia salina,Frankenia salina,National Center for Biotechnology Information,0.988
Fraxinus spp,Fraxinus,Catalogue of Life - June 2021,0.75
Fritillaria camschatcensis,Fritillaria camschatcensis,National Center for Biotechnology Information,0.988
Galium trifidum,Galium trifidum,Wikispecies,0.988
Glaux maritima,Glaux maritima,National Center for Biotechnology Information,0.988
Grindelia stricta,Grindelia stricta,National Center for Biotechnology Information,0.988
Halodule spp.,Halodule,Catalogue of Life - June 2021,0.75
Halodule uninervis,Halodule uninervis,Wikispecies,0.988
Halodule wrightii,Halodule wrightii,National Center for Biotechnology Information,0.988
Halophila australis,Halophila australis,National Center for Biotechnology Information,0.988
Halophila decipiens,Halophila decipiens,National Center for Biotechnology Information,0.988
Halophila engelmanni,Halophila engelmanni,Encyclopedia of Life,0.988
Halophila minor,Halophila minor,National Center for Biotechnology Information,0.988
Halophila ovalis,Halophila ovalis,Wikispecies,0.988
Halophila stipulacea,Halophila stipulacea,National Center for Biotechnology Information,0.988
Heritiera littoralis,Heritiera littoralis,National Center for Biotechnology Information,0.988
Heterozostera nigraulis,Heterozostera nigricaulis,Catalogue of Life - June 2021,0.75
Hibiscus spp.,Hibiscus,Catalogue of Life - June 2021,0.75
Hordeum brachyantherum,Hordeum brachyantherum,National Center for Biotechnology Information,0.988
Hypericum mutilum,Hypericum mutilum,National Center for Biotechnology Information,0.988
Ilex decidua,Ilex decidua,National Center for Biotechnology Information,0.988
Ilex vomitoria,Ilex vomitoria,National Center for Biotechnology Information,0.988
Impatiens capensis,Impatiens capensis,National Center for Biotechnology Information,0.988
Ipomoea sagittata,Ipomoea sagittata,Wikispecies,0.988
Iva frutescens,Iva frutescens,National Center for Biotechnology Information,0.988
Jaumea carnosa,Jaumea carnosa,National Center for Biotechnology Information,0.988
Juncus arcticus,Juncus arcticus,National Center for Biotechnology Information,0.988
Juncus balticus,Juncus balticus,National Center for Biotechnology Information,0.988
Juncus coriaceus,Juncus coriaceus,National Center for Biotechnology Information,0.988
Juncus roemerianus,Juncus roemerianus,National Center for Biotechnology Information,0.988
Juncus roemericanus,Juncus roemerianus,Catalogue of Life - June 2021,0.75
Juncus romerianus,Juncus roemerianus,Catalogue of Life - June 2021,0.75
Kandelia candel,Kandelia candel,National Center for Biotechnology Information,0.988
Kandelia obovata,Kandelia obovata,National Center for Biotechnology Information,0.988
Kosteletzkya virginica,Kosteletzkya virginica,Union 4,0.988
Laguncularia racemosa,Laguncularia racemosa,Wikispecies,0.988
Lathyrus palustris,Lathyrus palustris,National Center for Biotechnology Information,0.988
Ligusticum hultenii,Ligusticum hultenii,Encyclopedia of Life,0.988
Limonium carolinianum,Limonium carolinianum,National Center for Biotechnology Information,0.988
Liquidambar styraciflua,Liquidambar styraciflua,National Center for Biotechnology Information,0.988
Lolium perenne,Lolium perenne,National Center for Biotechnology Information,0.988
Lonicera involucrata,Lonicera involucrata,Wikispecies,0.988
Ludwigia alternifolia,Ludwigia alternifolia,National Center for Biotechnology Information,0.988
Ludwigia spp.,Ludwigia,Catalogue of Life - June 2021,0.75
Lumnitzera littorea,Lumnitzera littorea,Wikispecies,0.988
Lumnitzera racemosa,Lumnitzera racemosa,National Center for Biotechnology Information,0.988
Lupinus nootkatensis,Lupinus nootkatensis,National Center for Biotechnology Information,0.988
Lycium carolinianum,Lycium carolinianum,National Center for Biotechnology Information,0.988
Lysichiton americanus,Lysichiton americanus,Wikispecies,0.988
Maianthemum dilatatum,Maianthemum dilatatum,National Center for Biotechnology Information,0.988
Malus fusca,Malus fusca,National Center for Biotechnology Information,0.988
Monanthochloe littoralis,Monanthochloe littoralis,Encyclopedia of Life,0.988
Morella cerifera,Morella cerifera,National Center for Biotechnology Information,0.988
Murdannia keisak,Murdannia keisak,National Center for Biotechnology Information,0.988
Nanozostera noltii,Nanozostera noltii,uBio NameBank,0.988
Nuphar advena,Nuphar advena,National Center for Biotechnology Information,0.988
Nuphar lutea,Nuphar lutea,National Center for Biotechnology Information,0.988
Nyssa aquatica,Nyssa aquatica,National Center for Biotechnology Information,0.988
Nyssa biflora,Nyssa biflora,Encyclopedia of Life,0.988
Oenanthe sarmentosa,Oenanthe sarmentosa,National Center for Biotechnology Information,0.988
Panicum hallii,Panicum hallii,National Center for Biotechnology Information,0.988
Panicum hemitomon,Panicum hemitomon,Encyclopedia of Life,0.988
Panicum repens,Panicum repens,National Center for Biotechnology Information,0.988
Panicum virgatum,Panicum virgatum,National Center for Biotechnology Information,0.988
Paspalum vaginatum,Paspalum vaginatum,Wikispecies,0.988
Pelliciera rhizophorae,Pelliciera rhizophorae,National Center for Biotechnology Information,0.988
Peltandra virginica,Peltandra virginica,National Center for Biotechnology Information,0.988
Phalaris arundinacea,Phalaris arundinacea,National Center for Biotechnology Information,0.988
Phragmites australis,Phragmites australis,National Center for Biotechnology Information,0.988
Picea sitchensis,Picea sitchensis,Wikispecies,0.988
Pilea pumila,Pilea pumila,National Center for Biotechnology Information,0.988
Plantago macrocarpa,Plantago macrocarpa,National Center for Biotechnology Information,0.988
Plantago maritima,Plantago maritima,National Center for Biotechnology Information,0.988
Poaceae spp.,Poaceae,Catalogue of Life - June 2021,0.75
Polygonum arifolium,Polygonum arifolium,The International Plant Names Index,0.988
Polygonum hydropiperoides,Polygonum hydropiperoides,Freebase,0.988
Polygonum punctatum,Polygonum punctatum,CU*STAR,0.988
Polygonum sagittatum,Polygonum sagittatum,Freebase,0.988
Polygonum spp.,Polygonum,Catalogue of Life - June 2021,0.75
Posidonia australis,Posidonia australis,Wikispecies,0.988
Posidonia oceanica,Posidonia oceanica,National Center for Biotechnology Information,0.988
Posidonia sinuosa,Posidonia sinuosa,National Center for Biotechnology Information,0.988
Potentilla anserina,Potentilla anserina,National Center for Biotechnology Information,0.988
Potentilla spp.,Potentilla,Catalogue of Life - June 2021,0.75
Prunus emarginata,Prunus emarginata,National Center for Biotechnology Information,0.988
Puccinellia maritima,Puccinellia maritima,National Center for Biotechnology Information,0.988
Quercus laurifolia,Quercus laurifolia,National Center for Biotechnology Information,0.988
Quercus nigra,Quercus nigra,National Center for Biotechnology Information,0.988
Rhisophora mucronata,Rhizophora mucronata,Catalogue of Life - June 2021,0.75
Rhizophora apiculata,Rhizophora apiculata,National Center for Biotechnology Information,0.988
Rhizophora mangle,Rhizophora mangle,National Center for Biotechnology Information,0.988
Rhizophora mucronata,Rhizophora mucronata,National Center for Biotechnology Information,0.988
Rhizophora racemosa,Rhizophora racemosa,National Center for Biotechnology Information,0.988
Rhizophora spp,Rhizophora,Catalogue of Life - June 2021,0.75
Rhizophora stylosa,Rhizophora stylosa,National Center for Biotechnology Information,0.988
Rosa californica,Rosa californica,National Center for Biotechnology Information,0.988
Rosa nutkana,Rosa nutkana,National Center for Biotechnology Information,0.988
Rosa pisocarpa,Rosa pisocarpa,National Center for Biotechnology Information,0.988
Rubus spectabilis,Rubus spectabilis,National Center for Biotechnology Information,0.988
Rubus trivialis,Rubus trivialis,National Center for Biotechnology Information,0.988
Rumex occidentalis,Rumex occidentalis,National Center for Biotechnology Information,0.988
Rumex verticillatus,Rumex verticillatus,National Center for Biotechnology Information,0.988
Ruppia maritima,Ruppia maritima,National Center for Biotechnology Information,0.988
Ruppia megacarpa,Ruppia megacarpa,National Center for Biotechnology Information,0.988
Sabatia arenicola,Sabatia arenicola,National Center for Biotechnology Information,0.988
Saccharum giganteum,Saccharum giganteum,National Center for Biotechnology Information,0.988
Sagittaria lancifolia,Sagittaria lancifolia,National Center for Biotechnology Information,0.988
Sagittaria latifolia,Sagittaria latifolia,National Center for Biotechnology Information,0.988
Salicornia bigelovii,Salicornia bigelovii,Wikispecies,0.988
Salicornia depressa,Salicornia depressa,Wikispecies,0.988
Salicornia pacifica,Salicornia pacifica,Wikispecies,0.988
Salicornia virginica,Salicornia virginica,Wikispecies,0.988
Salix hookeriana,Salix hookeriana,National Center for Biotechnology Information,0.988
Salix lasiolepis,Salix lasiolepis,National Center for Biotechnology Information,0.988
Samolus valerandi,Samolus valerandi,National Center for Biotechnology Information,0.988
Sarcocornia pacifica,Sarcocornia pacifica,Encyclopedia of Life,0.988
Sarcocornia perennis,Sarcocornia perennis,Encyclopedia of Life,0.988
Scheonoplectus americanus,Schoenoplectus americanus,Catalogue of Life - June 2021,0.75
Schizachyrium scoparium,Schizachyrium scoparium,National Center for Biotechnology Information,0.988
Schoenoplectus acutus,Schoenoplectus acutus,Wikispecies,0.988
Schoenoplectus americanus,Schoenoplectus americanus,Wikispecies,0.988
Schoenoplectus californicus,Schoenoplectus californicus,Wikispecies,0.988
Schoenoplectus maritimus,Schoenoplectus maritimus,uBio NameBank,0.988
Schoenoplectus montevidensis,Schoenoplectus,Catalogue of Life - June 2021,0.75
Schoenoplectus robustus,Schoenoplectus robustus,CU*STAR,0.988
Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,Wikispecies,0.988
Scirpus acutus,Scirpus acutus,Freebase,0.988
Scirpus americanus,Scirpus americanus,Encyclopedia of Life,0.988
Scirpus micranthus,Scirpus micranthus,CU*STAR,0.988
Scirpus microcarpus,Scirpus microcarpus,Wikispecies,0.988
Scirpus robustus,Scirpus robustus,CU*STAR,0.988
Sesbania herbacea,Sesbania herbacea,National Center for Biotechnology Information,0.988
Sesuvium portulacastrum,Sesuvium portulacastrum,National Center for Biotechnology Information,0.988
Sonneratia alba,Sonneratia alba,National Center for Biotechnology Information,0.988
Sonneratia apetala,Sonneratia apetala,National Center for Biotechnology Information,0.988
Sonneratia caseolaris,Sonneratia caseolaris,National Center for Biotechnology Information,0.988
Sonneratia lanceolata,Sonneratia lanceolata,National Center for Biotechnology Information,0.988
Spartina alterniflora,Spartina alterniflora,Freebase,0.988
Spartina bakeri,Spartina bakeri,Encyclopedia of Life,0.988
Spartina cynosuroides,Spartina cynosuroides,Encyclopedia of Life,0.988
Spartina foliosa,Spartina foliosa,Freebase,0.988
Spartina patens,Spartina patens,Freebase,0.988
Spartina spp.,Spartina,Integrated Taxonomic Information SystemITIS,0.75
Spergularia canadensis,Spergularia canadensis,Wikispecies,0.988
Spiraea douglasii,Spiraea douglasii,Wikispecies,0.988
Sporobolus alterniflorus,Sporobolus alterniflorus,Wikispecies,0.988
Sporobolus virginicus,Sporobolus virginicus,National Center for Biotechnology Information,0.988
Stellaria humifusa,Stellaria humifusa,Wikispecies,0.988
Suaeda linearis,Suaeda linearis,Wikispecies,0.988
Suaeda spp.,Suaeda,Catalogue of Life - June 2021,0.75
Symphyotrichum subspicatum,Symphyotrichum subspicatum,Wikispecies,0.988
Symphyotrichum tenuifolium,Symphyotrichum tenuifolium,Wikispecies,0.988
Syringodium filiforme,Syringodium filiforme,Wikispecies,0.988
Syringodium isoetifolium,Syringodium isoetifolium,Wikispecies,0.988
Syringodium spp.,Syringodium,Catalogue of Life - June 2021,0.75
Taxodium distichum,Taxodium distichum,Wikispecies,0.988
Thalassia hemprichii,Thalassia hemprichii,National Center for Biotechnology Information,0.988
Thalassia spp.,Thalassia,Catalogue of Life - June 2021,0.75
Thalassia testudinum,Thalassia testudinum,National Center for Biotechnology Information,0.988
Thalassodendron ciliatum,Thalassodendron ciliatum,Wikispecies,0.988
Thuja plicata,Thuja plicata,Wikispecies,0.988
Toxicodendron radicans,Toxicodendron radicans,National Center for Biotechnology Information,0.988
Trapa natans,Trapa natans,National Center for Biotechnology Information,0.988
Trientalis arctica,Trientalis arctica,Encyclopedia of Life,0.988
Triglochin maritima,Triglochin maritima,National Center for Biotechnology Information,0.988
Triglochin maritimum,Triglochin maritimum,Encyclopedia of Life,0.988
Typha angustifolia,Typha angustifolia,Wikispecies,0.988
Typha domingensis,Typha domingensis,National Center for Biotechnology Information,0.988
Typha latifolia,Typha latifolia,National Center for Biotechnology Information,0.988
Typha spp.,Typha,Catalogue of Life - June 2021,0.75
Xylocarpus granatum,Xylocarpus granatum,National Center for Biotechnology Information,0.988
Zizania aquatica,Zizania aquatica,National Center for Biotechnology Information,0.988
Zizaniopsis miliacea,Zizaniopsis miliacea,National Center for Biotechnology Information,0.988
Zostera capensis,Zostera capensis,National Center for Biotechnology Information,0.988
Zostera capricorni,Zostera capricorni,National Center for Biotechnology Information,0.988
Zostera japonica,Zostera japonica,National Center for Biotechnology Information,0.988
Zostera marina,Zostera marina,National Center for Biotechnology Information,0.988
Zostera muelleri,Zostera muelleri,National Center for Biotechnology Information,0.988
Zostera noltii,Zostera noltii,Encyclopedia of Life,0.988
