study_id,site_id,core_id,core_latitude,core_longitude,core_position_method,core_elevation,core_elevation_datum
Thorne_et_al_2015,Bandon,BM01,43.14237109346368,-124.40345999514061,RTK,2.17,NAVD88
Thorne_et_al_2015,Bandon,BM02,43.14238864532613,-124.40349728731043,RTK,2.2,NAVD88
Thorne_et_al_2015,Bandon,BM03,43.138731003126146,-124.404372709982,RTK,1.58,NAVD88
Thorne_et_al_2015,Bandon,BM04,43.138541203197356,-124.40442984587598,RTK,1.56,NAVD88
Thorne_et_al_2015,Bandon,BM05,43.14014236898623,-124.40236381245452,RTK,2.18,NAVD88
Thorne_et_al_2015,Bandon,BM06,43.14010816853244,-124.40221547371958,RTK,2.19,NAVD88
Thorne_et_al_2015,Coos Bay,CB00,43.36717504541264,-124.17005744882469,RTK,2.43,NAVD88
Thorne_et_al_2015,Coos Bay,CB01,43.36705674857348,-124.1701785972751,RTK,2.413,NAVD88
Thorne_et_al_2015,Coos Bay,CB02,43.367111521959075,-124.17010559673567,RTK,2.415,NAVD88
Thorne_et_al_2015,Coos Bay,CB03,43.37102106084798,-124.16994624452369,RTK,2.25,NAVD88
Thorne_et_al_2015,Coos Bay,CB04,43.37111146584869,-124.16991095327808,RTK,2.23,NAVD88
Thorne_et_al_2015,Coos Bay,CB05,43.37501629272785,-124.17372621853494,RTK,2.12,NAVD88
Thorne_et_al_2015,Coos Bay,CB06,43.37387245505405,-124.17375353002086,RTK,1.95,NAVD88
Thorne_et_al_2015,Grays Harbor,GH01,46.978817060526715,-123.92796837755475,RTK,2.7,NAVD88
Thorne_et_al_2015,Grays Harbor,GH02,46.978637534400626,-123.92791267792576,RTK,2.77,NAVD88
Thorne_et_al_2015,Grays Harbor,GH03,46.98010475330262,-123.93008130285246,RTK,2.43,NAVD88
Thorne_et_al_2015,Grays Harbor,GH04,46.980165600354134,-123.930345332519,RTK,2.37,NAVD88
Thorne_et_al_2015,Grays Harbor,GH05,46.98079877847794,-123.93215771291226,RTK,1.82,NAVD88
Thorne_et_al_2015,Grays Harbor,GH06,46.980924316747235,-123.93221249064193,RTK,1.76,NAVD88
Thorne_et_al_2015,Nisqually,NQ01,47.09135612698854,-122.69633392436555,RTK,3.05,NAVD88
Thorne_et_al_2015,Nisqually,NQ02,47.09152716821658,-122.69635930415721,RTK,3.02,NAVD88
Thorne_et_al_2015,Nisqually,NQ03,47.092040477562975,-122.693128235852,RTK,2.79,NAVD88
Thorne_et_al_2015,Nisqually,NQ04,47.091887503241416,-122.69312911455812,RTK,2.73,NAVD88
Thorne_et_al_2015,Nisqually,NQ05,47.091745649079364,-122.69057377502745,RTK,2.44,NAVD88
Thorne_et_al_2015,Nisqually,NQ06,47.091971145018576,-122.69077011060116,RTK,2.44,NAVD88
Thorne_et_al_2015,PortSusan,PS01,48.194930026942146,-122.36367212159428,RTK,2.79,NAVD88
Thorne_et_al_2015,PortSusan,PS02,48.19494066145041,-122.36396803287114,RTK,2.78,NAVD88
Thorne_et_al_2015,PortSusan,PS03,48.19246168043429,-122.36309717092024,RTK,2.51,NAVD88
Thorne_et_al_2015,PortSusan,PS04,48.19248123818102,-122.36337950148712,RTK,2.44,NAVD88
Thorne_et_al_2015,PortSusan,PS05,48.185888091379034,-122.3620484742188,RTK,1.98,NAVD88
Thorne_et_al_2015,PortSusan,PS06,48.18607649177977,-122.36195195686214,RTK,2.06,NAVD88
Thorne_et_al_2015,Skokomish,SK01,47.34065297591656,-123.1452588464271,RTK,2.93,NAVD88
Thorne_et_al_2015,Skokomish,SK02,47.340715963297754,-123.1452590191924,RTK,2.87,NAVD88
Thorne_et_al_2015,Skokomish,SK03,47.342436969128826,-123.14339714089436,RTK,2.67,NAVD88
Thorne_et_al_2015,Skokomish,SK04,47.34247311090436,-123.14327809406392,RTK,2.54,NAVD88
Thorne_et_al_2015,Skokomish,SK05,47.343393212231994,-123.14144042794203,RTK,2.01,NAVD88
Thorne_et_al_2015,Skokomish,SK06,47.34352833211184,-123.14132164177836,RTK,2.03,NAVD88
Thorne_et_al_2015,Siletz,SZ01,44.88809120768272,-123.99563636337145,RTK,2.36,NAVD88
Thorne_et_al_2015,Siletz,SZ02,44.888083090026434,-123.99553491728861,RTK,2.37,NAVD88
Thorne_et_al_2015,Siletz,SZ03,44.892331623730364,-124.00278881058372,RTK,2.49,NAVD88
Thorne_et_al_2015,Siletz,SZ04,44.892313622297365,-124.00278849773126,RTK,2.49,NAVD88
Thorne_et_al_2015,Siletz,SZ05,44.89635654455872,-124.01287683857832,RTK,2.2,NAVD88
Thorne_et_al_2015,Siletz,SZ06,44.89637611825123,-124.0126998711906,RTK,2.21,NAVD88
Thorne_et_al_2015,Willapa,WB01,46.37193669485561,-124.00573820079033,RTK,2.74,NAVD88
Thorne_et_al_2015,Willapa,WB02,46.37202564938127,-124.00585685191689,RTK,2.73,NAVD88
Thorne_et_al_2015,Willapa,WB03,46.375599486714435,-124.00575343694389,RTK,2.37,NAVD88
Thorne_et_al_2015,Willapa,WB04,46.37570678091653,-124.00583342423973,RTK,2.32,NAVD88
Thorne_et_al_2015,Willapa,WB05,46.379345463324405,-124.00449583933906,RTK,2.07,NAVD88
Thorne_et_al_2015,Willapa,WB06,46.37943784513057,-124.00422445441863,RTK,2.016,NAVD88
