"[Abbreviations: ID, identification; cm, centimeter; µm, micron; Φ, phi particle size scale; %, percent; Dx, x% of particles are finer than reported value]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample/Core ID,"Depth
 (cm)","Sediment Texture 
(Folk, 1954)",Averaged Sample Runs,"Mean Grain Size 
(µm)","Mean Grain Size 
Standard Deviation
(µm)","Sorting 
(µm)","Sorting
 Standard Deviation 
(µm)","Skewness
 (µm)","Skewness 
Standard Deviation 
(µm)","Kurtosis 
(µm)","Kurtosis
 Standard Deviation 
(µm)","Mean Grain Size 
(Φ)","Mean Grain Size 
Standard Deviation 
(Φ)","Sorting 
(Φ)","Sorting 
Standard Deviation 
(Φ)","Skewness 
(Φ)","Skewness
 Standard Deviation 
(Φ)","Kurtosis
(Φ)","Kurtosis 
Standard Deviation 
(Φ)","Mean Grain Size 
(Descriptive)","Sorting
(Descriptive)","Skewness 
(Descriptive)","Kurtosis 
(Descriptive)","D10 
(µm)","D10 
Standard Deviation
 (µm)","D50 
(µm)","D50 
Standard Deviation 
(µm)","D90 
(µm)","D90 
Standard Deviation 
(µm)","Sand 
(%)","Sand 
Standard Deviation 
(%)","Mud 
(%)","Mud 
Standard Deviation 
(%)","Very Coarse Sand 
(%)","Coarse Sand
(%)","Medium Sand 
(%)","Fine Sand 
(%)","Very Fine Sand 
(%)","Very Coarse Silt 
(%)","Coarse Silt 
(%)","Medium Silt 
(%)","Fine Silt 
(%)","Very Fine Silt 
(%)","Clay 
(%)",,,,,,,
16CCT03-GB200G(A),0-1,Sandy Mud,N=8,23.59,1.40,4.281,0.090,-0.350,0.020,0.960,0.034,5.408,0.086,2.098,0.030,0.350,0.020,0.960,0.034,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.60,0.13,33.43,1.63,111.91,11.01,27.5,2.0,72.5,2.0,0.0,0.3,1.2,6.2,19.7,24.5,15.0,9.9,8.7,6.9,7.5,,,,,,,
16CCT03-GB200G(B),Bulk,Sandy Mud,N=6,34.72,0.96,5.278,0.165,-0.260,0.027,1.235,0.029,4.849,0.040,2.399,0.045,0.260,0.027,1.235,0.029,Very Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,3.18,0.05,48.96,1.29,215.87,33.24,41.5,0.8,58.5,0.8,1.2,4.0,3.3,9.8,23.1,21.0,11.4,7.6,6.8,5.3,6.4,,,,,,,
16CCT03-GB230G1,0-1,Sandy Mud,N=8,49.95,0.62,2.669,0.039,-0.376,0.010,1.868,0.006,4.323,0.018,1.416,0.021,0.376,0.010,1.868,0.006,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,11.39,0.73,55.50,0.25,115.97,0.48,42.3,0.3,57.7,0.3,0.0,0.0,0.0,7.9,34.3,35.2,10.6,3.7,2.1,2.0,4.3,,,,,,,
16CCT03-GB231G,0-1,Sand,N=8,150.71,1.77,2.021,0.004,-0.032,0.003,1.302,0.023,2.730,0.017,1.015,0.003,0.032,0.003,1.302,0.023,Fine Sand,Poorly Sorted,Symmetrical,Leptokurtic,63.87,0.67,145.44,1.66,351.91,3.27,90.3,0.2,9.7,0.2,0.0,2.7,18.1,40.0,29.5,4.8,1.2,0.7,0.6,0.7,1.7,,,,,,,
16CCT03-GB232G,0-1,Sandy Mud,N=8,46.29,0.87,3.689,0.015,-0.344,0.009,1.542,0.015,4.433,0.027,1.883,0.006,0.344,0.009,1.542,0.015,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.40,0.32,56.69,0.47,162.05,2.53,45.7,0.4,54.3,0.4,0.0,0.8,4.0,11.6,29.3,25.3,11.8,5.3,3.3,3.0,5.7,,,,,,,
16CCT03-GB233G,0-1,Sandy Mud,N=8,43.21,0.11,3.207,0.016,-0.482,0.002,1.662,0.003,4.532,0.004,1.681,0.007,0.482,0.002,1.662,0.003,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.16,0.09,55.50,0.13,117.34,0.45,43.1,0.1,56.9,0.1,0.0,0.0,0.1,8.2,34.9,29.1,11.0,4.8,3.0,2.9,6.0,,,,,,,
16CCT03-GB234G,0-1,Muddy Sand,N=8,62.33,0.59,2.545,0.007,-0.361,0.005,2.101,0.003,4.004,0.014,1.348,0.004,0.361,0.005,2.101,0.003,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,16.10,0.41,67.09,0.41,136.48,1.17,55.2,0.5,44.8,0.5,0.0,0.0,0.0,12.9,42.3,28.8,6.1,2.5,1.7,1.7,3.9,,,,,,,
16CCT03-GB235G,0-1,Muddy Sand,N=8,63.32,1.23,2.716,0.045,-0.384,0.006,1.646,0.009,3.981,0.028,1.441,0.024,0.384,0.006,1.646,0.009,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,14.70,0.97,71.12,0.98,150.97,1.16,57.0,0.8,43.0,0.8,0.0,0.0,0.2,18.0,38.7,24.6,8.0,3.2,1.8,1.7,3.7,,,,,,,
16CCT03-GB236G,0-1,Muddy Sand,N=8,72.77,0.97,2.848,0.049,-0.317,0.009,1.704,0.018,3.781,0.019,1.510,0.025,0.317,0.009,1.704,0.018,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,15.65,0.70,78.74,0.53,188.91,0.77,62.6,0.4,37.4,0.4,0.0,0.5,3.0,22.3,36.8,21.2,6.2,2.9,1.8,1.7,3.6,,,,,,,
16CCT03-GB237G2,0-1,Sandy Mud,N=8,49.04,2.04,2.996,0.097,-0.413,0.014,1.727,0.038,4.351,0.060,1.582,0.047,0.413,0.014,1.727,0.038,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,8.12,1.44,57.58,0.87,127.98,0.40,45.3,0.8,54.7,0.8,0.0,0.0,0.0,10.8,34.5,30.4,10.1,4.3,2.6,2.4,4.9,,,,,,,
16CCT03-GB238G,0-1,Sandy Mud,N=8,54.07,2.93,2.999,0.049,-0.332,0.042,2.166,0.009,4.211,0.078,1.584,0.023,0.332,0.042,2.166,0.009,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,9.05,1.12,59.60,1.76,147.49,17.39,46.8,2.0,53.2,2.0,0.0,0.4,2.5,10.2,33.7,32.9,7.6,3.3,2.2,2.2,5.1,,,,,,,
16CCT03-GB239G,0-1,Muddy Sand,N=8,94.09,6.13,2.520,0.200,-0.438,0.039,1.956,0.083,3.413,0.094,1.329,0.115,0.438,0.039,1.956,0.083,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,25.42,6.64,105.70,3.93,193.94,5.92,77.1,2.4,22.9,2.4,0.0,0.1,2.1,35.7,39.2,11.4,3.5,1.8,1.4,1.4,3.4,,,,,,,
16CCT03-GB240G3,0-1,Sandy Mud,N=8,34.77,2.26,4.636,0.038,-0.540,0.010,1.144,0.036,4.849,0.094,2.213,0.012,0.540,0.010,1.144,0.036,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.33,0.14,59.06,2.68,148.20,10.22,47.6,1.9,52.4,1.9,0.0,0.0,0.5,15.0,32.1,18.9,8.9,6.2,5.1,4.5,8.9,,,,,,,
16CCT03-GB241G2,0-1,Sandy Mud,N=8,53.60,0.46,2.833,0.015,-0.410,0.002,1.922,0.010,4.222,0.012,1.502,0.008,0.410,0.002,1.922,0.010,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,10.92,0.31,60.53,0.33,126.88,0.39,48.0,0.3,52.0,0.3,0.0,0.0,0.0,10.6,37.4,31.0,8.9,3.5,1.9,1.8,5.0,,,,,,,
16CCT03-GB242G1,0-1,Sandy Mud,N=8,51.85,0.81,2.615,0.014,-0.381,0.005,1.942,0.003,4.270,0.022,1.387,0.008,0.381,0.005,1.942,0.003,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,12.53,0.50,57.11,0.66,115.84,1.43,43.9,0.8,56.1,0.8,0.0,0.0,0.0,7.8,36.1,35.1,9.6,3.3,1.9,1.8,4.3,,,,,,,
16CCT03-GB243G3,0-1,Muddy Sand,N=8,33.98,0.20,4.964,0.020,-0.558,0.003,1.014,0.010,4.879,0.008,2.311,0.006,0.558,0.003,1.014,0.010,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,2.37,0.04,63.47,0.37,159.61,0.62,50.6,0.2,49.4,0.2,0.0,0.0,0.6,18.5,31.5,16.3,7.5,5.3,5.8,6.3,8.3,,,,,,,
16CCT03-GB244G,0-1,Muddy Sand,N=8,105.06,2.20,2.675,0.022,0.053,0.014,1.414,0.042,3.251,0.030,1.420,0.012,-0.053,0.014,1.414,0.042,Very Fine Sand,Poorly Sorted,Symmetrical,Leptokurtic,34.33,0.54,92.08,0.86,358.34,12.91,72.8,0.3,27.2,0.3,0.0,3.4,13.7,17.9,37.8,18.1,3.4,1.5,0.9,1.0,2.3,,,,,,,
16CCT03-GB245G,0-1,Sandy Mud,N=8,24.35,0.28,4.612,0.048,-0.366,0.001,1.102,0.008,5.360,0.017,2.205,0.015,0.366,0.001,1.102,0.008,Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Mesokurtic,1.77,0.05,34.07,0.20,120.69,0.92,29.0,0.1,71.0,0.1,0.0,0.0,0.1,9.1,19.7,23.6,16.1,10.2,6.1,4.3,10.7,,,,,,,
16CCT03-GB250G,0-1,Muddy Sand,N=8,81.07,3.27,3.001,0.025,-0.074,0.017,1.440,0.011,3.626,0.058,1.585,0.012,0.074,0.017,1.440,0.011,Very Fine Sand,Poorly Sorted,Symmetrical,Leptokurtic,19.36,3.94,77.00,1.48,284.59,9.76,60.2,1.0,39.8,1.0,0.0,1.8,10.6,18.1,29.8,24.9,6.0,2.9,1.8,1.3,2.8,,,,,,,
16CCT03-GB251G,0-1,Muddy Sand,N=8,65.54,2.34,4.054,0.024,-0.340,0.005,1.431,0.004,3.932,0.051,2.019,0.009,0.340,0.005,1.431,0.004,Very Fine Sand,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,7.38,0.38,79.21,2.19,253.64,8.60,59.0,1.0,41.0,1.0,0.0,1.0,9.3,21.0,27.7,17.3,8.9,4.5,2.7,2.3,5.3,,,,,,,
16CCT03-GB252G,0-1,Sandy Mud,N=8,38.54,1.69,3.570,0.049,-0.495,0.001,1.476,0.028,4.699,0.063,1.836,0.020,0.495,0.001,1.476,0.028,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Leptokurtic,3.63,0.34,52.09,1.77,117.10,2.86,41.2,1.6,58.8,1.6,0.0,0.0,0.0,7.9,33.3,26.7,12.5,5.9,3.4,2.8,7.5,,,,,,,
16CCT03-GB253G,0-1,Sandy Mud,N=8,44.86,0.84,4.856,0.032,-0.332,0.004,1.240,0.005,4.479,0.027,2.280,0.010,0.332,0.004,1.240,0.005,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,3.45,0.03,59.69,0.83,229.03,5.45,48.4,0.5,51.6,0.5,0.0,1.4,7.0,16.8,23.2,20.0,10.2,6.1,4.6,3.8,6.9,,,,,,,
16CCT03-GB254G(A),0-1,Muddy Sand,N=8,96.56,0.34,1.988,0.014,-0.265,0.008,1.486,0.037,3.372,0.005,0.991,0.010,0.265,0.008,1.486,0.037,Very Fine Sand,Moderately Sorted,Fine Skewed,Leptokurtic,39.94,0.31,100.94,0.27,189.22,1.31,78.7,0.1,21.3,0.1,0.0,0.2,2.5,31.3,44.7,13.6,2.6,1.2,0.8,0.8,2.3,,,,,,,
16CCT03-GB254G(B),0-1,Muddy Sand,N=8,100.48,0.30,1.879,0.005,-0.205,0.008,1.344,0.005,3.315,0.004,0.910,0.004,0.205,0.008,1.344,0.005,Very Fine Sand,Moderately Sorted,Fine Skewed,Leptokurtic,44.46,0.09,103.75,0.17,195.44,1.80,80.9,0.0,19.1,0.0,0.0,0.5,3.2,32.2,45.0,12.8,2.1,0.9,0.6,0.7,2.0,,,,,,,
16CCT03-GB256G,0-1,Muddy Sand,N=8,96.93,0.03,1.744,0.005,-0.217,0.003,1.861,0.014,3.367,0.000,0.802,0.005,0.217,0.003,1.861,0.014,Very Fine Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,52.46,0.12,97.06,0.04,164.29,0.12,85.5,0.0,14.5,0.0,0.0,0.0,0.2,25.4,59.9,8.3,1.4,0.9,0.8,0.8,2.3,,,,,,,
16CCT03-GB258G,0-1,Muddy Sand,N=8,55.49,1.41,3.041,0.035,-0.382,0.004,1.577,0.004,4.172,0.037,1.605,0.017,0.382,0.004,1.577,0.004,Very Coarse Silt,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,10.08,0.72,63.79,1.26,149.62,2.16,51.0,1.0,49.0,1.0,0.0,0.0,0.2,16.9,33.9,26.1,9.9,4.2,2.3,2.1,4.5,,,,,,,
16CCT03-GB260G,0-1,Muddy Sand,N=8,66.10,0.64,2.108,0.054,-0.347,0.015,2.137,0.072,3.919,0.014,1.076,0.037,0.347,0.015,2.137,0.072,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,24.93,1.65,69.81,0.38,123.45,0.51,59.8,0.5,40.2,0.5,0.0,0.0,0.0,9.6,50.2,28.1,4.6,1.8,1.4,1.2,3.0,,,,,,,
16CCT03-GB263G,0-1,Sand,N=8,167.23,0.47,1.901,0.009,-0.183,0.005,1.169,0.011,2.580,0.004,0.927,0.007,0.183,0.005,1.169,0.011,Fine Sand,Moderately Sorted,Fine Skewed,Leptokurtic,73.34,0.50,173.70,0.45,338.17,0.94,92.3,0.1,7.7,0.1,0.0,2.0,23.7,43.7,22.8,3.5,1.0,0.7,0.5,0.5,1.5,,,,,,,
16CCT03-GB265G,0-1,Sandy Mud,N=8,32.67,0.95,4.258,0.087,-0.562,0.004,1.262,0.035,4.937,0.042,2.090,0.030,0.562,0.004,1.262,0.035,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.37,0.08,54.71,0.27,123.98,0.20,43.5,0.2,56.5,0.2,0.0,0.0,0.1,9.7,33.8,23.5,9.5,5.7,4.6,4.5,8.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
