study_id,site_id,plot_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,fraction_organic_matter,salinity,pH,percent_silt,percent_clay,percent_sand,depth_interval_notes
Adotey_et_al_2024,Amanzule,AM_A,AM_A_1,single set of methods,0,15,0.71567599999999998,0.043073059999999996,0.12457774813349176,9.0239999999999991,3.63,6.906641994965247,21.537534694579726,71.55582331045503,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A,AM_A_1,single set of methods,15,30,0.82750000000000001,0.06302967,0.032786885245900114,10.495999999999999,3.51,9.241545751537862,22.38769363589102,68.37076061257112,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A,AM_A_1,single set of methods,30,50,0.71851299999999996,0.06234771,0.02844856724377537,8.9600000000000009,3.55,5.821158973973564,21.106395763698686,73.07244526232775,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A,AM_A_1,single set of methods,50,100,1.3093109999999999,0.07827079999999999,0.08270025462286282,6.7839999999999998,3.58,6.929081270610728,21.893392327920193,71.17752640146908,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A,AM_A_2,single set of methods,0,15,0.39653100000000002,0.1204371,0.01468567821469706,15.167999999999999,3.72,4.752887007537919,17.897590137759305,77.34952285470278,Sandy loam
Adotey_et_al_2024,Amanzule,AM_A,AM_A_2,single set of methods,15,30,0.46751199999999998,0.1240739,0.09362495548153296,13.952,3.85,6.808706764711808,23.861898476944887,69.32939475834331,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A,AM_A_2,single set of methods,30,50,0.432805,0.1201686,0.0185353145503649,12.032,3.53,4.477035893477949,23.697414125819723,71.82554998070233,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A,AM_A_2,single set of methods,50,100,0.58508800000000005,0.1060754,0.04266570926768558,9.8559999999999999,3.49,13.448868102117912,27.324684397954936,59.226447499927154,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A,AM_A_3,single set of methods,0,15,0.507606,0.11357239999999999,0.2032172255140387,16.64,2.5,16.73687935975153,41.465447363313544,41.79767327693493,Clay
Adotey_et_al_2024,Amanzule,AM_A,AM_A_3,single set of methods,15,30,0.68938200000000005,0.1052579,0.21971879881964831,14.975999999999999,2.0699999999999998,25.43539894694198,40.849389573569546,33.715211479488474,Clay
Adotey_et_al_2024,Amanzule,AM_A,AM_A_3,single set of methods,30,50,1.1336029999999999,0.08388123,0.20457616637273351,9.2160000000000011,2.54,26.774466915554143,37.40180023361795,35.82373285082791,Clay loam
Adotey_et_al_2024,Amanzule,AM_A,AM_A_3,single set of methods,50,100,1.166194,0.01814475,0.1460892049127389,8.1280000000000001,2.5,25.502012219279706,36.01142690326744,38.48656087745285,Clay loam
Adotey_et_al_2024,Amanzule,AM_A,AM_A_4,single set of methods,0,15,0.70889599999999997,0.037528320000000004,NA,8.5760000000000005,2.72,NA,NA,NA,NA
Adotey_et_al_2024,Amanzule,AM_A,AM_A_4,single set of methods,15,30,0.62247799999999998,0.00925283,NA,9.152000000000001,2.72,NA,NA,NA,NA
