study_id,DOI,
SWAMP_Data-Soil carbon-Barreto-2017-Brazil,10.17528/cifor/data.00132,
SWAMP_Data-Soil carbon-Baouth-2014-Senega,10.17528/cifor/data.00155,
SWAMP_Data-Soil carbon-Bhitakarnika-2013-India,10.17528/cifor/data.00151,
SWAMP_Dataset-Mangrove soil carbon-Bintuni-2011,10.17528/cifor/data.00092,
SWAMP_Data-Soil carbon-Bunaken-2011,10.17528/cifor/data.00141,
SWAMP_Data-Soil carbon-Caete-2017-Brazil,10.17528/cifor/data.00164,
SWAMP_Data-Soil carbon-Ca Mau-2012-Vietnam,10.17528/cifor/data.00149,
SWAMP_Data-Soil carbon-CanGio-2012-Vietnam,10.17528/cifor/data.00148,
SWAMP_Data-Soil carbon-Cauassu Oeste Shrimp-2016-Brazil,10.17528/cifor/data.00173,
SWAMP_Data-Soil carbon-Cauassu Leste Shrimp-2016-Brazil,10.17528/cifor/data.00172,
SWAMP_Data-Soil carbon-Cumbe Leste Camaro-2016-Brazil,10.17528/cifor/data.00174,
SWAMP_Data-Soil carbon-Cumbe norte Camarao-2016-Brazil,10.17528/cifor/data.00175,
SWAMP_Data-Soil carbon-Berahan kulon-2019,10.17528/cifor/data.00282,
SWAMP_Data-Soil carbon-Timbulsloko-2019,10.17528/cifor/data.00282,
SWAMP_Data-Soil carbon-Diamniadio-2014-Senegal,10.17528/cifor/data.00156,
SWAMP_Data-Soil carbon-Djirnda-2014-Senegal,10.17528/cifor/data.00154,
SWAMP_Data-Soil carbon-Fambine-2014-Senegal,10.17528/cifor/data.00153,
SWAMP_Data-Soil carbon-Furo de Chato-2017-Brazil,10.17528/cifor/data.00165,
SWAMP_Data-Soil carbon-Furo Grande-2017-Brazil,10.17528/cifor/data.00166,
SWAMP_Dataset-Soil carbon-Katingan-2015,10.17528/cifor/data.00093,
SWAMP_Data-Soil carbon-Kubu Raya-2011-Indonesia,10.17528/cifor/data.00143,
SWAMP_Data-Soil carbon-Mangue Sul-2017-Brazil,10.17528/cifor/data.00167,
SWAMP_Data-Soil carbon-Marisma High-2017-Brazil,10.17528/cifor/data.00244,
SWAMP_Data-Soil carbon-Marisma Low-2017-Brazil,10.17528/cifor/data.00244,
SWAMP_Data-Soil carbon-Marisma Medium-2017-Brazil,10.17528/cifor/data.00244,
SWAMP_Data-Soil carbon-Mauripe-2017-Brazil,10.17528/cifor/data.00168,
SWAMP_Data-Soil carbon-Mounde-2014-Senegal,10.17528/cifor/data.00150,
