study_id,site_id,core_id,method_id,depth_min,depth_max,fraction_organic_matter,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,th234_activity,th234_activity_se,k40_activity,k40_activity_se
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",1,2,NA,NA,NA,1.47,0.046,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",3,4,NA,NA,NA,1.37,0.024,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",5,6,NA,NA,NA,1.62,0.052,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",5,6,NA,NA,NA,1.62,0.016,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",7,8,NA,NA,NA,2.28,0.024,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",9,10,NA,NA,NA,1.99,0.122,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",11,12,NA,NA,NA,1.76,0.096,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",13,14,NA,NA,NA,1.94,0.024,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",15,16,NA,NA,NA,1.95,0.103,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",17,18,NA,NA,NA,1.98,0.09,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",17,18,NA,NA,NA,2.02,0.02,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",19,20,NA,NA,NA,1.81,0.01,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",23,24,NA,NA,NA,1.81,0.034,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",27,28,NA,NA,NA,2.09,0.007,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",31,32,NA,NA,NA,1.89,0.012,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",31,32,NA,NA,NA,1.98,0.022,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",35,36,NA,NA,NA,2.06,0.053,NA,NA,NA,NA,NA,NA
Everhart_et_al_2020,Mockhorn_Island,ES_A,"Serrated Push Core, alpha spectroscopy",39,40,NA,NA,NA,1.93,0.028,NA,NA,NA,NA,NA,NA
