study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,0,1,0.170645447,0.492227979,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,1,2,0.275862069,0.355769231,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,2,3,0.197170645,0.381165919,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,3,4,0.259062776,0.324232082,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,4,5,0.268788683,0.315789474,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,5,6,0.492484527,0.157989228,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,6,7,0.302387268,0.257309942,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,7,8,0.467727675,0.198487713,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,8,9,0.440318302,0.194779116,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,9,10,0.480990274,0.204044118,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,10,11,0.677276746,0.114882507,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,11,12,0.644562334,0.085048011,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,12,13,1.119363395,0.052922591,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,13,14,1.069849691,0.04214876,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,14,15,1.149425287,0.037692308,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,15,16,1.107869142,0.036711891,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,16,17,1.295313882,0.042320819,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,17,18,1.132625995,0.049180328,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,18,19,1.298850575,0.039482641,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,19,20,1.280282935,0.031077348,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,20,21,1.32714412,0.037308461,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,21,22,1.180371353,0.031460674,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,22,23,1.138815208,0.036490683,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,23,24,1.291777188,0.026009582,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,24,25,1.442086649,0.03126916,NA
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,LOI methods,25,26,1.175950486,0.048120301,NA
