study_id,site_id,plot_id,plot_area,plot_center_latitude,plot_center_longitude,salinity_class,year,month,day,field_or_manipulation_code,habitat,aboveground_carbon_MgC_ha,plant_plot_detail_present,soil_core_present
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM1,154,27.580883333333333,-82.56366666666666,brackish,2015,8,7,field,mangrove,34.521704437960025,no,yes
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM2,154,27.580683333333333,-82.56363333333333,brackish,2015,8,7,field,mangrove,58.427838921361655,no,yes
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM3,154,27.580816666666667,-82.56346666666667,brackish,2015,8,7,field,mangrove,41.06646268909379,no,yes
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM4,154,27.581,-82.56375,brackish,2015,8,7,field,mangrove,27.34591205842348,no,yes
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM5,154,27.581166666666668,-82.56388333333334,brackish,2015,8,7,field,mangrove,45.32642011022262,no,yes
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM6,154,27.5813,-82.56395,brackish,2015,8,7,field,mangrove,22.951661757738655,no,yes
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM1,154,27.846333333333334,-82.60153333333334,brackish,2015,7,10,field,mangrove,46.49945144339902,no,yes
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM2,154,27.846183333333332,-82.6015,brackish,2015,7,10,field,mangrove,42.44589895127888,no,yes
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM3,154,27.846016666666667,-82.60148333333333,brackish,2015,7,10,field,mangrove,49.325110276678984,no,yes
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM4,154,27.8458,-82.60151666666667,brackish,2015,7,10,field,mangrove,42.943632518741,no,yes
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM5,154,27.845633333333332,-82.60145,brackish,2015,7,10,field,mangrove,40.33099427894064,no,yes
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM6,154,27.84545,-82.60143333333333,brackish,2015,7,10,field,mangrove,64.79409349964169,no,yes
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM1,154,27.627083333333335,-82.71515,brackish,2015,10,2,field,mangrove,69.76161626878874,no,yes
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM2,154,27.627183333333335,-82.71525,brackish,2015,10,2,field,mangrove,42.71119363395208,no,yes
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM3,154,27.627066666666668,-82.7157,brackish,2015,10,2,field,mangrove,97.67375596816976,no,yes
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM4,154,27.627416666666665,-82.7154,brackish,2015,10,2,field,mangrove,45.03408311229014,no,yes
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM5,154,27.627533333333332,-82.71525,brackish,2015,10,2,field,mangrove,46.869915119363306,no,yes
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM6,154,27.627666666666666,-82.71513333333333,brackish,2015,10,2,field,mangrove,48.555883289124914,no,yes
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH1,154,27.59925,-82.5518,brackish,2015,10,23,field,mangrove,43.982584031953145,no,yes
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH2,154,27.599116666666667,-82.5516,brackish,2015,10,23,field,mangrove,45.277737930053576,no,yes
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH3,154,27.59905,-82.55143333333334,brackish,2015,10,23,field,mangrove,38.4091353733973,no,yes
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH4,154,27.59905,-82.55121666666666,brackish,2015,10,23,field,mangrove,28.55241801931202,no,yes
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH5,154,27.598916666666668,-82.55111666666667,brackish,2015,10,23,field,mangrove,41.23364806714969,no,yes
Radabaugh_et_al_2018,Bishop_Harbor_Mangroves,BISH6,154,27.59875,-82.551,brackish,2015,10,23,field,mangrove,54.38962129591011,no,yes
Radabaugh_et_al_2018,EG_Simmons_Park_Mangroves,EGSM1,154,27.742216666666668,-82.46771666666666,brackish,2015,8,28,field,mangrove,41.97419078629597,no,yes
