Site (core),Depth (cm),Material dated,Lab No.,c14_age_years_bp,1?_age_range_ce
Mud Slough (2),205,Sarcocornia rhizome,CAMS-125879,25+-40,1700–1915
Mud Slough (3),123,Sarcocornia rhizome,CAMS-140639,305+-35,1521–1645
Coyote Creek (1),195,Sarcocornia rhizome,CAMS-140638,500+-80,1313–1468
Coyote Creek (4),210,Sarcocornia rhizome,CAMS-140640,145+-35,1675–1814
Alviso (1),196,Sarcocornia seeds,CAMS-91578,320+-40,1541–1641
Ravenswood Slough (2),210,Sarcocornia rhizome,CAMS-125880,685+-35,1276–1382
Greco Island (1),190,Sarcocornia rhizome,CAMS-125883,350+-40,1475–1631
Bair Island (1),254,Sarcocornia rhizome,CAMS-125882,1710+-35,259–387
Bair Island (2),199,Sarcocornia rhizome,CAMS-140636,1045+-35,974–1023
Bair Island (3),210,Sarcocornia rhizome,CAMS-140643,150+-35,1670–1813
Bair Island (4),220,Sarcocornia rhizome,CAMS-140644,1155+-35,783–963
Corkscrew Slough (1),130,Sarcocornia rhizome,CAMS-140637,295+-35,1521–1649
S. Belmont Slough (1),163,Sarcocornia rhizome,CAMS-140642,Modern,>1950
Plummer Slough,310,Sarcocornia rhizome,CAMS-125881,1820+-50,128–248
Damon Slough (2),173,Sarcocornia rhizome,CAMS-140641,1395+-35,621–661
