study_id,bibliography_id,publication_type,bibtype,title,author,doi,url,year,journal
Royna_et_al_2024,Royna_et_al_2024_data,primary dataset,Misc,SWAMP Dataset-Soil-Banten-2022,Milkah Royna; Daniel Murdiyarso; Sigit D. Sasmito; Desra Arriyadi; Joeni Setijo Rahajoe; Mufidah Ghina Zahro; Trialaksita Sari Priska Ardhani, https://doi.org/10.17528/CIFOR/DATA.LKVADC,https://data.cifor.org/dataset.xhtml?persistentId=doi%3A10.17528%2FCIFOR%2FDATA.LKVADC,2024,NA
Royna_et_al_2024,Royna_et_al_2024_paper,article,Article,"Carbon stocks and effluxes in mangroves converted into aquaculture: a case study from Banten Province, Indonesia","Royna M, Murdiyarso D, Sasmito SD, Arriyadi D, Rahajoe JS, Zahro MG, Ardhani TSP",https://doi.org/10.3389/fevo.2024.1340531,https://doi.org/10.3389/fevo.2024.1340531,2024,Frontiers in Ecology and Evolution
