study_id,site_id,core_id,year,latitude,longitude,position_method,position_notes,salinity_class,salinity_method,habitat
Royna_et_al_2024,BAN,BAN_Fringe_1,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Fringe_2,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Fringe_3,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Interior_1,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Interior_2,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Interior_3,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Sparse_Silvofishery_1,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Sparse_Silvofishery_2,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Sparse_Silvofishery_3,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Dense_Silvofishery_1,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Dense_Silvofishery_2,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Dense_Silvofishery_3,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Dense_Silvofishery_4,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Dense_Silvofishery_5,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Dense_Silvofishery_6,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Pond_1,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Pond_2,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Pond_3,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Pond_4,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Pond_5,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
Royna_et_al_2024,BAN,BAN_Pond_6,2022,-6.1847,106.1939,other low resolution,"site-level position, minimun listed bounding longitude and latitude",estuarine,measurement,mangrove
