study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Rovai_et_al_2022,SC1,S25L1MG1,single set of methods,5,10,0.753,0.0104,0.012
Rovai_et_al_2022,SC1,S25L1MG1,single set of methods,20,25,0.563,0.1521,0.028
Rovai_et_al_2022,SC1,S25L1MG1,single set of methods,37.5,42.5,1.371,0.0512,0.001
Rovai_et_al_2022,SC1,S25L1MG1,single set of methods,67.5,72.5,1.572,0.1131,0.001
Rovai_et_al_2022,SC1,S25L1MG2,single set of methods,5,10,0.437,0.2311,0.043
Rovai_et_al_2022,SC1,S25L1MG2,single set of methods,20,25,0.356,0.2342,0.055
Rovai_et_al_2022,SC1,S25L1MG2,single set of methods,37.5,42.5,0.931,0.1005,0.009
Rovai_et_al_2022,SC1,S25L1MG2,single set of methods,67.5,72.5,0.465,0.1533,0.035
Rovai_et_al_2022,SC1,S25L1MG3,single set of methods,5,10,0.476,0.1175,0.057
Rovai_et_al_2022,SC1,S25L1MG3,single set of methods,20,25,0.493,0.1788,0.042
Rovai_et_al_2022,SC1,S25L1MG3,single set of methods,37.5,42.5,1.157,0.0267,0.007
Rovai_et_al_2022,SC1,S25L1MG3,single set of methods,67.5,72.5,0.534,0.1403,0.031
Rovai_et_al_2022,SC2,S25L2MG1,single set of methods,5,10,0.462,0.1447,0.057
Rovai_et_al_2022,SC2,S25L2MG1,single set of methods,20,25,0.478,0.1252,0.048
Rovai_et_al_2022,SC2,S25L2MG1,single set of methods,37.5,42.5,0.504,0.1581,0.044
Rovai_et_al_2022,SC2,S25L2MG1,single set of methods,67.5,72.5,1.061,0.0619,0.008
Rovai_et_al_2022,SC2,S25L2MG2,single set of methods,5,10,0.925,0.0366,0.011
Rovai_et_al_2022,SC2,S25L2MG2,single set of methods,20,25,1,0.0289,0.008
Rovai_et_al_2022,SC2,S25L2MG2,single set of methods,37.5,42.5,0.672,0.075,0.023
Rovai_et_al_2022,SC2,S25L2MG2,single set of methods,67.5,72.5,1.011,0.0463,0.012
Rovai_et_al_2022,SC2,S25L2MG3,single set of methods,5,10,0.809,0.073,0.021
Rovai_et_al_2022,SC2,S25L2MG3,single set of methods,20,25,0.868,0.0566,0.056
Rovai_et_al_2022,SC2,S25L2MG3,single set of methods,37.5,42.5,0.804,0.0703,0.019
Rovai_et_al_2022,SC2,S25L2MG3,single set of methods,67.5,72.5,1.157,0.0272,0.007
Rovai_et_al_2022,SC3,S25L3MG1,single set of methods,5,10,0.65,0.0939,0.025
Rovai_et_al_2022,SC3,S25L3MG1,single set of methods,20,25,1.001,0.0383,0.01
