study_id,site_id,core_id,impact_class
Adotey_et_al_2024,Amanzule,AM_A_1,natural
Adotey_et_al_2024,Amanzule,AM_A_2,natural
Adotey_et_al_2024,Amanzule,AM_A_3,natural
Adotey_et_al_2024,Amanzule,AM_A_4,natural
Adotey_et_al_2024,Amanzule,AM_A_5,natural
Adotey_et_al_2024,Amanzule,AM_A_6,natural
Adotey_et_al_2024,Amanzule,AM_B_1,natural
Adotey_et_al_2024,Amanzule,AM_B_2,natural
Adotey_et_al_2024,Amanzule,AM_B_3,natural
Adotey_et_al_2024,Amanzule,AM_B_4,natural
Adotey_et_al_2024,Amanzule,AM_B_5,natural
Adotey_et_al_2024,Amanzule,AM_B_6,natural
Adotey_et_al_2024,Amanzule,AM_C_1,natural
Adotey_et_al_2024,Amanzule,AM_C_2,natural
Adotey_et_al_2024,Amanzule,AM_C_3,natural
Adotey_et_al_2024,Amanzule,AM_C_4,natural
Adotey_et_al_2024,Amanzule,AM_C_5,natural
Adotey_et_al_2024,Amanzule,AM_C_6,natural
Adotey_et_al_2024,Kakum,KA_A_1,firewood extraction
Adotey_et_al_2024,Kakum,KA_A_2,firewood extraction
Adotey_et_al_2024,Kakum,KA_A_3,firewood extraction
Adotey_et_al_2024,Kakum,KA_A_4,firewood extraction
Adotey_et_al_2024,Kakum,KA_A_5,firewood extraction
Adotey_et_al_2024,Kakum,KA_A_6,firewood extraction
Adotey_et_al_2024,Kakum,KA_B_1,firewood extraction
Adotey_et_al_2024,Kakum,KA_B_2,firewood extraction
Adotey_et_al_2024,Kakum,KA_B_3,firewood extraction
Adotey_et_al_2024,Kakum,KA_B_4,firewood extraction
Adotey_et_al_2024,Kakum,KA_B_5,firewood extraction
Adotey_et_al_2024,Kakum,KA_B_6,firewood extraction
Adotey_et_al_2024,Kakum,KA_C_1,firewood extraction
Adotey_et_al_2024,Kakum,KA_C_2,firewood extraction
Adotey_et_al_2024,Kakum,KA_C_3,firewood extraction
Adotey_et_al_2024,Kakum,KA_C_4,firewood extraction
Adotey_et_al_2024,Kakum,KA_C_5,firewood extraction
Adotey_et_al_2024,Kakum,KA_C_6,firewood extraction
