study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,depth_interval_notes
Adotey_et_al_2024,Amanzule,AM_A_1,single set of methods,0,15,0.715676,0.12457774813349176,0.04307306,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A_1,single set of methods,15,30,0.8275,0.032786885245900114,0.06302967,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A_1,single set of methods,30,50,0.718513,0.02844856724377537,0.06234771,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A_1,single set of methods,50,100,1.309311,0.08270025462286282,0.07827079999999999,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A_2,single set of methods,0,15,0.396531,0.01468567821469706,0.1204371,Sandy loam
Adotey_et_al_2024,Amanzule,AM_A_2,single set of methods,15,30,0.467512,0.09362495548153296,0.1240739,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A_2,single set of methods,30,50,0.432805,0.0185353145503649,0.1201686,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A_2,single set of methods,50,100,0.585088,0.04266570926768558,0.1060754,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_A_3,single set of methods,0,15,0.507606,0.2032172255140387,0.1135724,Clay
Adotey_et_al_2024,Amanzule,AM_A_3,single set of methods,15,30,0.689382,0.21971879881964831,0.1052579,Clay
Adotey_et_al_2024,Amanzule,AM_A_3,single set of methods,30,50,1.133603,0.20457616637273351,0.08388123,Clay loam
Adotey_et_al_2024,Amanzule,AM_A_3,single set of methods,50,100,1.166194,0.1460892049127389,0.01814475,Clay loam
Adotey_et_al_2024,Amanzule,AM_A_4,single set of methods,0,15,0.708896,NA,0.03752832,NA
Adotey_et_al_2024,Amanzule,AM_A_4,single set of methods,15,30,0.622478,NA,0.00925283,NA
Adotey_et_al_2024,Amanzule,AM_A_4,single set of methods,30,50,0.57285,NA,0.02973121,NA
Adotey_et_al_2024,Amanzule,AM_A_4,single set of methods,50,100,0.496096,NA,0.01908587,NA
Adotey_et_al_2024,Amanzule,AM_A_5,single set of methods,0,15,0.367055,NA,0.06268945000000001,NA
Adotey_et_al_2024,Amanzule,AM_A_5,single set of methods,15,30,0.317533,NA,0.0929762,NA
Adotey_et_al_2024,Amanzule,AM_A_5,single set of methods,30,50,0.315463,NA,0.09966993,NA
Adotey_et_al_2024,Amanzule,AM_A_5,single set of methods,50,100,0.438623,NA,0.07485214,NA
Adotey_et_al_2024,Amanzule,AM_A_6,single set of methods,0,15,0.318016,NA,0.1152411,NA
Adotey_et_al_2024,Amanzule,AM_A_6,single set of methods,15,30,0.318972,NA,0.1410728,NA
Adotey_et_al_2024,Amanzule,AM_A_6,single set of methods,30,50,0.390684,NA,0.08247363,NA
Adotey_et_al_2024,Amanzule,AM_A_6,single set of methods,50,100,0.370958,NA,0.09094592,NA
Adotey_et_al_2024,Amanzule,AM_B_1,single set of methods,0,15,0.513378,0.022661969613478,0.1384268,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B_1,single set of methods,15,30,0.342761,0.1617069630863057,0.2083897,Sandy clay
Adotey_et_al_2024,Amanzule,AM_B_1,single set of methods,30,50,0.298453,0.26121352968800743,0.2837111,Clay loam
Adotey_et_al_2024,Amanzule,AM_B_1,single set of methods,50,100,0.38555,0.06466980787112084,0.28840340000000003,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B_2,single set of methods,0,15,0.427551,0.03852131330211954,0.2738869,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B_2,single set of methods,15,30,0.316609,0.11678986719759411,0.2773688,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B_2,single set of methods,30,50,0.33643,0.11660317460316837,0.2517711,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B_2,single set of methods,50,100,0.498934,0.3215721587378124,0.16583279999999995,Clay
Adotey_et_al_2024,Amanzule,AM_B_3,single set of methods,0,15,0.412674,0.08399240093336553,0.162748,Sandy clay loam
Adotey_et_al_2024,Amanzule,AM_B_3,single set of methods,15,30,0.421252,0.16019647696477354,0.2055792,Clay
Adotey_et_al_2024,Amanzule,AM_B_3,single set of methods,30,50,0.466234,0.4909945295873631,0.1378344,Clay
Adotey_et_al_2024,Amanzule,AM_B_3,single set of methods,50,100,0.288931,0.6647279699608518,0.2349342,Clay
Adotey_et_al_2024,Amanzule,AM_B_4,single set of methods,0,15,0.365707,NA,0.114528181,NA
Adotey_et_al_2024,Amanzule,AM_B_4,single set of methods,15,30,0.319752,NA,0.13759912500000002,NA
Adotey_et_al_2024,Amanzule,AM_B_4,single set of methods,30,50,0.246613,NA,0.262446142,NA
Adotey_et_al_2024,Amanzule,AM_B_4,single set of methods,50,100,0.209141,NA,0.27660966800000003,NA
