study_id,bibliography_id,publication_type,bibtype,title,author,doi,url,year,journal
Adotey_et_al_2024,Adotey_et_al_2024_data,primary dataset,Misc,"Dataset: Carbon Stock Assessment in the Kakum and Amanzule Estuary Mangrove Forests, Ghana","Joshua Adotey, Denis Worlanyo Aheto, John Blay, Emmanuel Acheampong",10.25573/serc.25148561,https://doi.org/10.25573/serc.25148561.v1,2024,NA
Adotey_et_al_2024,Adotey_et_al_2022,article,Misc,"Carbon Stock Assessment in the Kakum and Amanzule Estuary Mangrove Forests, Ghana","Joshua Adotey,Emmanuel Acheampong, Denis Worlanyo Aheto, and John Blay", https://doi.org/10.3390/su141912782,https://www.mdpi.com/2071-1050/14/19/12782,2022,Sustainability
