study_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,fraction_carbon_type
Boyd_2012,BBRC_1,0,2,0.28,0.28,NA,NA
Boyd_2012,BBRC_1,4,6,0.41000000000000003,0.23,NA,NA
Boyd_2012,BBRC_1,8,10,0.4,0.27,NA,NA
Boyd_2012,BBRC_1,12,14,0.48000000000000004,0.2,NA,NA
Boyd_2012,BBRC_1,16,18,0.54,0.18,NA,NA
Boyd_2012,BBRC_1,20,22,0.59,0.16,NA,NA
Boyd_2012,BBRC_1,24,26,0.56,0.18,NA,NA
Boyd_2012,BBRC_1,28,30,0.45,0.2,NA,NA
Boyd_2012,BBRC_1,32,34,0.37,0.24000000000000002,NA,NA
Boyd_2012,BBRC_1,36,38,0.36,0.27,NA,NA
Boyd_2012,BBRC_1,40,42,0.36,0.24000000000000002,NA,NA
Boyd_2012,BBRC_1,44,46,0.37,0.25,NA,NA
Boyd_2012,BBRC_1,48,50,0.38,0.28,NA,NA
Boyd_2012,BBRC_1,52,54,0.41000000000000003,0.26,NA,NA
Boyd_2012,BBRC_1,56,58,0.45,0.23,NA,NA
Boyd_2012,BBRC_1,60,62,0.38,0.25,NA,NA
Boyd_2012,BBRC_1,64,66,0.32,0.29000000000000004,NA,NA
Boyd_2012,BBRC_1,68,70,0.31,0.31,NA,NA
Boyd_2012,BBRC_1,72,74,0.32,0.32,NA,NA
Boyd_2012,BBRC_1,76,78,0.31,0.32,NA,NA
Boyd_2012,BBRC_2,0,2,0.5,0.17,NA,NA
Boyd_2012,BBRC_2,4,6,0.52,0.15000000000000002,NA,NA
Boyd_2012,BBRC_2,8,10,0.41000000000000003,0.23,NA,NA
Boyd_2012,BBRC_2,12,14,0.45,0.22,NA,NA
Boyd_2012,BBRC_2,16,18,0.4,0.29000000000000004,NA,NA
Boyd_2012,BBRC_2,20,22,0.44,0.27,NA,NA
Boyd_2012,BBRC_2,24,26,0.3,0.31,NA,NA
Boyd_2012,BBRC_2,28,30,0.37,0.32,NA,NA
Boyd_2012,BBRC_2,32,34,0.4,0.29000000000000004,NA,NA
Boyd_2012,BBRC_2,36,38,0.31,0.39,NA,NA
Boyd_2012,BBRC_2,40,42,0.27,0.46,NA,NA
Boyd_2012,BBRC_2,44,46,0.32,0.37,NA,NA
Boyd_2012,BBRC_2,48,50,0.35,0.32999999999999996,NA,NA
