"ID","AUTHOR","YEAR","CITATION","DOI"
1,"Agus et al.","2009","Agus, F.; Gunarso, P.; Sahardjo, B.H.; Harris, N.; van Noordwijk, M.; Killeen, T.J. 2013. Historical CO2 emissions from land use and land use change from the oil palm industry in Indonesia, Malaysia and Papua New Guinea. In Killeen TJ and Goon J, eds. Reports from the Technical Panels of the 2nd Greenhouse Gas Working Group of the Roundtable on Sustainable Palm Oil (RSPO). Kuala Lumpur, Malaysia: RSPO.",
2,"Akbar and Priyanto","2011","Akbar, A.; Priyanto, E. 2011. Perhitungan karbon untuk perbaikan faktor emisi dan serapan GRK kehutanan pada hutan alam gambut. Laporan Hasil Penelitian Pusat Penelitian Sosial Ekonomi dan Kebijakan Kehutanan, Bogor.",
3,"Alongi","2008","Alongi, D.M. 2008. Mangrove forests: resilience, protection from tsunamis, and responses to global climate change. Estuarine, Coastal and Shelf Science 76:1–13. doi: 10.1016/j.ecss.2007.08.024","10.1016/j.ecss.2007.08.024#http://10.1016/j.ecss.2007.08.024#"
4,"Amira","2008","Amira, S. 2008. An estimation of Rhizophora apiculata Bl. biomass in mangrove forest in Batu Ampar Kubu Raya Regency, West Kalimantan. Undergraduate Thesis, Bogor Agricultural University, Indonesia.",
5,"Anderson-Teixeira et al.","2009","Anderson-Teixeira, K.J.; Davies, S.J.; Bennett, A.C.; Gonzalez-Akre, E.B.; Muller-Landau, H.; Wright, S.J.; Abu Salim, K.; Almeyda Zambrano, A.M.; Alonso, A.; Baltzer, J.L.; et al. 2014. CTFS-ForestGEO: a worldwide network monitoring forests in an era of global change. Global Change Biology 21(2):528–49.",
6,"Andriesse ","1998","Andriesse, J.P. 1998. Nature and management of tropical peat soils. Rome: FAO. 19–43.",
7,"Angoli","2009","Alongi, D.M. 2009. The energetics of mangrove forests. Springer Science and Business Media BV, New York. 216p.",
8,"Anshari et al.","2009","Anshari, G. Z.; Afifudin, M.; Nuriman, M.; Gusmayanti, E.; Arianie, L.; Susana, R.; Nusantara, R.W.; Sugardjito, J.; Rafiastanto, A. 2010. Drainage and land use impacts on changes in selected peat properties and peat degradation in West Kalimantan Province, Indonesia, Biogeosciences, 7, 3403–3419. doi:10.5194/bg-7-3403-2010.","10.5194/bg-7-3403-2010#http://10.5194/bg-7-3403-2010#"
9,"Ashton","1998","Ashton, P. 1998. Cotylelobium burckii. The IUCN Red List of Threatened Species 1998: e.T33068A9754781. http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T33068A9754781.en (March 6, 2018)."," http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T33068A9754781.en#http:// http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T33068A9754781.en#"
10,"Baker and Chao","2009","Baker, T.R.; Chao, K.J. 2009. Manual for coarse woody debris measurement in RAINFOR plots. University of Leeds, Leeds, UK. http://www.geog.leeds.ac.uk/projects/rainfor/manuals/CWD_protocol_RAINFOR_2009.pdf. (December 14, 2011).",
11,"Baldocchi","2003","Baldocchi, D.D. 2003. Assessing the eddy covariance technique for evaluating carbon dioxide exchange rates of ecosystems: past, present and future. Global Change Biology 9:479–92.",
12,"Ballhorn et al.","2009","Ballhorn, U.; Siegert, F.; Mason, M.; Limin, S. 2009. Derivation of burn scar depths and estimation of carbon emissions with LIDAR in Indonesian peatlands, P. Natl. Acad. Sci. USA, 106, 21213–21218.",
13,"Basuki","2017","Basuki, I. 2017. Carbon dynamics in response to land cover changes in tropical peatlands, Kalimantan, Indonesia [PhD dissertation]. Corvallis, OR, USA: Oregon State University.",
14,"Bouillon et al.","2008","Bouillon, S.; Borges, A.V.; Castaneda-Moya, E.; Diele, K.; Dittmar, T.; Duke N.C.; Kristensen, E.; Lee, S.Y.; Marchand, C.; Middelburg, J.J.; et al. 2008. Mangrove production and carbon sinks: a revision of global budget estimates. Global Biogeochemical Cycles 22, GB2013. doi:10.1029/2007GB003052.","10.1029/2007GB003052#http://10.1029/2007GB003052#"
15,"Brady","1997","Brady, M.A. 1997. Organic matter dynamics of coastal peat deposits in Sumatra, Indonesia, Ph.D. University of British Columbia, Vancouver Canada.",
16,"Brown","1971","Brown, J.K. 1971. A planar intersect method for sampling fuel volume and surface area. Forest Science 17: 96-102.",
17,"Brown and Roussopoulos","1974","Brown, J.K.; Roussopoulos, P.J. 1974. Eliminating biases in the planar intersect method for estimating volumes of small fuels. Forest Science 20: 350-356.",
18,"BSN","2011","[BSN] Badan Standardisasi Nasional. 2011. SNI 7724:2011: Pengukuran dan penghitungan cadangan karbon – Pengukuran lapangan untuk penaksiran cadangan karbon hutan (ground-based forest carbon accounting). Jakarta, Indonesia: BSN.",
19,"Burton and Pregitzer","2008","Burton, A.J.; Pregitzer, K.S. 2008. Measuring forest floor, mineral soil, and root carbon stocks. In: Hoover, C.M. (ed.) Field measurements for forest carbon monitoring. Springer, New York. p. 129-142.",
20,"CABI","2018","[CABI] Center for Agriculture and Bioscience International. 2018. Elaeis guineensis. Invasive Species Compendium. https://www.cabi.org/isc/datasheet/20295 (February 27, 2018).",
21,"Cahoon et al.","2003","Cahoon, D.R.; Henzel, P.; Rybczyz, J.; McKee, K.L.; Proffitt, C.E.; Perez, B.C. 2003. Mass tree mortality leads to mangrove peat collapse at Bay Islands, Honduras after Hurricane Mitch. Journal of Ecology 91: 1093-1105.",
22,"Cairns et al.","1997","Cairns, M.A.; Brown, S.; Helmer, E.H.; Baumgardner, G.A. 1997. Root biomass allocation in the world’s upland forests. Oecologia 111:1–11.",
23,"Chave et al.","2005","Chave, J.; Andalo, C.; Brown, S.; Cairns, M.A.; Chambers, J.Q.; Eamus, D.; Fölster, H.; Fromard, F.; Higuchi, N.; Kira, T.; et al. 2005. Tree allometry and improved estimation of carbon stocks and balance in tropical forests. Oecologia 145: 87-99.",
24,"Chave et al.","2009","Chave, J.; Réjou-Méchain, M.; Búrquez, A.; Chidumayo, E.; Colgan, M.S.; Delitti, W.B.; Duque, A.; Eid, T.; Fearnside, P.M.; Goodman, R.C.; et al. 2014. Improved allometric models to estimate the aboveground biomass of tropical trees. Global Change Biology. 10:3177–90. doi:10.1111/gcb.12629.","10.1111/gcb.12629#http://10.1111/gcb.12629#"
25,"Chimner and Ewel","2005","Chimner, R.A.; Ewel, K.C. 2005. A tropical freshwater wetland II. Production, decomposition, and peat formation, Wetl. Ecol. Manag. 13, 671–684.",
26,"CIFOR","2012","[CIFOR] Center for International Forestry Research. 2012. Tropical wetlands initiative: For climate adaptation and mitigation. CIFOR, Bogor, Indonesia. doi:10.17528/cifor/003761","10.17528/cifor/003761#http://10.17528/cifor/003761#"
27,"Cintrón and Schaeffer-Novelli","1984","Cintrón, G.; Schaeffer-Novelli, Y. 1984. Methods for studying mangrove structures. In The mangrove ecosystem:research methods, ed. S. C. Saenger, and J. G. Snedaker, 91-113. UNESCO Monographs in Oceanographic Methodology 8.",
28,"Cintron et al.","1978","Cintron, G.; Lugo, A.E.; Pool, D.J; Morris, G. 1978. Mangroves of arid environments in Puerto Rico and adjacent islands. Biotropica 10: 110-121.",
29,"Clark et al.","2001","Clark, D.A.; Brown, S.; Kicklighter, D.W.; Chambers, J.Q.; Thomlinson, J.R.; Ni, J.; Holland, E.A. 2001. Net primary production in tropical forests: an evaluation and synthesis of existing field data. Ecological Applications 11:371–84.",
30,"Clough and Scott","1989","Clough, B.F.; Scott, K. 1989. Allometric relationships for estimating above-ground biomass in six mangrove species. Forest Ecology and Management 27: 117-127. https://doi.org/10.1016/0378-1127(89)90034-0.","#https://doi.org/10.1016/0378-1127(89)90034-0#"
31,"Cole et al.","1999","Cole, T.G.; Ewel, K.; Devoe, N.N. 1999. Structure of mangrove trees and forests in Micronesia. Forest Ecology and Management 117: 95-109. https://doi.org/10.1016/S0378-1127(98)00474-5.","#https://doi.org/10.1016/S0378-1127(98)00474-5#"
32,"Comeau et al.","2013","Comeau, L.P.; Hergoualc’h, K.; Smith, J.U.; Verchot, L. 2013. Conversion of intact peat swamp forest to oil palm plantation: effects on soil CO2 fluxes in Jambi, Sumatra. Working Paper 110. Bogor, Indonesia: CIFOR.",
33,"Coronado-Molina et al.","2004","Coronado-Molina, C.; Day, J.W.; Reyes, E.; Perez B.C. 2004. Standing crop and aboveground biomass partitioning of a dwarf mangrove forest in Taylor River Slough, Florida. Wetlands Ecology and Management 12: 157-164.",
34,"Cummings et al.","2002","Cummings, D.L.; Kauffman, J.B.; Perry, D.A.; Hughes, R.F. 2002. Aboveground biomass and structure of rainforest in the Southwestern Brazilian Amazon. Forest Ecology and Management 163: 293-307.",
35,"Dewi et al.","2009","Dewi, S.; Khasanah, N.; Rahayu, S.; Ekadinata, A.; van Noordwijk, M. 2010. Carbon footprint of Indonesian palm oil production. I. A pilot study. Bogor, Indonesia: World Agroforestry Centre. http://www.worldagroforestry.org/sea/Publications/files/poster/PO0236-10.PDF (October 22, 2016).",
36,"Dharmawan and Siregar","2008","Dharmawan, I.W.S.; Siregar, C.A. 2008. Soil carbon and carbon estimation of Avicennia marina (Forsk) Vierh in Ciasem, Purwakarta. J Penelitian Hutan dan Konservasi Alam Vol V(4): 317-328.",
37,"Dharmawan et al.","2009","Dharmawan, I.W.S.; Arifanti, V.B.; Lugina, M.; Naito, R.; Hartoyo, M.E.; Ginoga, K.L. 2013. Enhanced approaches to estimate net emission reductions from deforestation and degradation of undrained peat swamp forests in Central Kalimantan, Indonesia. Report for Activity 1, 2, and 3 ITTO Project REDD+ Feasibility Study for the Bilateral Offset Scheme FY 2012 in Central Kalimantan, Indonesia. Bogor, Indonesia: Center for Climate Change and Policy Research and Development, Ministry of Forestry.",
38,"Donato et al.","2009","Donato, D.C.; Kauffman, J.B.; Stidham, M.A. 2009. Protocols for measuring and reporting carbon stocks in mangrove forests. Unpublished report prepared for the workshops on Global Climate Change and Carbon Financing: Opportunities for Bangladesh. Dhaka, Bangladesh, 28 October–9 November 2009.",
39,"Donato et al.","2011","Donato, D.C.; Kauffman, J.B.; Murdiyarso, D.; Kurnianto, S.; Stidham, M.; Kanninen, M. 2011. Mangroves among the most carbon-rich forests in the tropics. Nature Geosciences 4: 293-297. doi:10.1038/NGEO1123","10.1038/NGEO1123#http://10.1038/NGEO1123#"
40,"Duke et al.","2007","Duke, N.C.; Meynecke, J.O.; Dittmann, S.; Ellison, A.M.; Anger, K.; Berger, U.; Cannicci, S.; Diele, K.; Ewel, K.C.; Field, C.D.; Koedam, N.; Lee, S.Y.; Marchand, C.; Nordhaus, I.; Dahdouh-Guebas, F. 2007. A world without mangroves. Science 317: 41.",
41,"Duke et al.","2010a","Duke, N.; Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S. & Miyagi, T.  2010. ""Rhizophora apiculata"". The IUCN Red List of Threatened Species. IUCN. 2010: e.T31382A9623321. doi:10.2305/IUCN.UK.2010-2.RLTS.T31382A9623321.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T31382A9623321.en#"
42,"Duke et al.","2010b","Duke, N., Kathiresan, K., Salmo III, S.G., Fernando, E.S., Peras, J.R., Sukardjo, S. & Miyagi, T. 2010. Avicennia alba. The IUCN Red List of Threatened Species 2010: e.T178830A7620385. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178830A7620385.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178830A7620385.en#"
43,"Duke et al.","2010c","Duke, N.; Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S. & Miyagi, T. 2010c. Avicennia officinalis. The IUCN Red List of Threatened Species 2010: e.T178820A7616950. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178820A7616950.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178820A7616950.en#"
44,"Duke et al.","2010d","Duke, N.; Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S. & Miyagi, T. 2010d. Bruguiera gymnorhiza. The IUCN Red List of Threatened Species 2010: e.T178803A7610926. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178803A7610926.en (February 12, 2018).","#http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178803A7610926.en#"
45,"Duke et al.","2010e","Duke, N.; Kathiresan, K.; Salmo III, S.G.; Fernando, E.S.; Peras, J.R.; Sukardjo, S. & Miyagi, T. 2010e. Ceriops decandra. The IUCN Red List of Threatened Species 2010: e.T178853A7627935. http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178853A7627935.en (February 12, 2018)."," http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178853A7627935.en#http:// http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178853A7627935.en#"
