Source,Site,n_cores,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor,Vegetation
Gispert et al 2020,La Pletera,9,Saltmarsh,42.03,3.19,direct from dataset,SPAIN,2015,0,0.05,Walkley Black,0.41,1.34,0.71,"SOM/1,724",A.fruticosum
Gispert et al 2020,La Pletera,9,Saltmarsh,42.03,3.19,direct from dataset,SPAIN,2015,0.05,0.2,Walkley Black,1.49,1.25,2.56,"SOM/1,724",A.fruticosum
Gispert et al 2020,La Pletera,9,Saltmarsh,42.03,3.19,direct from dataset,SPAIN,2015,0.2,0.4,Walkley Black,0.6,1.37,0.43,"SOM/1,724",A.fruticosum
Gispert et al 2020,La Pletera,9,Saltmarsh,42.04,3.19,direct from dataset,SPAIN,2015,0,0.05,Walkley Black,0.59,1.3,1.02,"SOM/1,724",S. patula
Gispert et al 2020,La Pletera,9,Saltmarsh,42.04,3.19,direct from dataset,SPAIN,2015,0.05,0.2,Walkley Black,0.37,1.34,1.4,"SOM/1,724",S. patula
Gispert et al 2020,La Pletera,9,Saltmarsh,42.04,3.19,direct from dataset,SPAIN,2015,0.2,0.4,Walkley Black,0.196,1.4,0.39,"SOM/1,724",S. patula
Gispert et al 2021,La Pletera,15,Saltmarsh,42.03,3.19,direct from dataset,SPAIN,2018,0,0.05,Walkley Black,1.71,1.27,2.74,"SOM/1,724",S. fruticosa
Gispert et al 2021,La Pletera,15,Saltmarsh,42.03,3.19,direct from dataset,SPAIN,2018,0.05,0.2,Walkley Black,0.66,1.34,1.15,"SOM/1,724",S. fruticosa
Gispert et al 2021,La Pletera,15,Saltmarsh,42.04,3.19,direct from dataset,SPAIN,2018,0,0.05,Walkley Black,0.59,1.31,1.02,"SOM/1,724",S. patula
Gispert et al 2021,La Pletera,15,Saltmarsh,42.04,3.19,direct from dataset,SPAIN,2018,0.05,0.2,Walkley Black,0.32,1.35,0.55,"SOM/1,724",S. patula
