study_id,site_id,core_id,Class,Sedimentar
Adame_et_al_2013,MFA13 Isla Pitaya,M0173,Lagoon,Carbonate
Adame_et_al_2013,MFA13 Cayo Culebra,M0174,Lagoon,Carbonate
Adame_et_al_2013,MFA13 Hualaxtoc,M0175,Lagoon,Carbonate
Adame_et_al_2013,MFA13 Laguna Negra,M0176,Lagoon,Carbonate
Adame_et_al_2013,MFA13 Laguna Xamach,M0177,Lagoon,Carbonate
Adame_et_al_2013,MFA13 La Raya,M0178,Lagoon,Carbonate
Adame_et_al_2013,MFA13 El Playon,M0179,Lagoon,Carbonate
Adame_et_al_2015,MFA15 Panzacola,M0355,Lagoon,Terrigenous
Adame_et_al_2015,MFA15 Teculapa,M0356,Lagoon,Terrigenous
Adame_et_al_2015,MFA15 Paixtalon,M0357,Lagoon,Terrigenous
Adame_et_al_2015,MFA15 Esterillo,M0358,Lagoon,Terrigenous
Adame_et_al_2015,MFA15 Santa Chila,M0359,Lagoon,Terrigenous
Adame_et_al_2015,MFA15 Zacapulco,M0360,Lagoon,Terrigenous
Adame_et_al_2015,MFA15 Las Palmas,M0361,Lagoon,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-13-10,M1716,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-13-2,M1717,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-13-7,M1718,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-13-8,M1719,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-14-2,M1720,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-14-9,M1721,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-5-4,M1722,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-5-5,M1723,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-9-11,M1725,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-9-12,M1726,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-9-13,M1727,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-9-14,M1728,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-9-2,M1729,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-9-5,M1730,Delta,Terrigenous
AfSIS_Sentinel_Sites,Ihassunge-9-8,M1731,Delta,Terrigenous
AfSPDB,CD_SOTER_MA26,M1711,Delta,Terrigenous
AfSPDB,GW_6050_X/207,M1715,Estuary,Terrigenous
Akther_et_al_2021,Sundarbans,S1,Delta,Terrigenous
Akther_et_al_2021,Sundarbans,S2,Delta,Terrigenous
Akther_et_al_2021,Sundarbans,S3,Delta,Terrigenous
