Site,Soil_type,Habitat_type,U_depth_cm,L_depth_cm,pH_H2O,Ctot_perc,Cinorg_perc,Ntot_perc,Corg_Ntot,Lat_detail_N,Lat_D,Lat_M,Lat_S,Latitude,Long_detail_E,Long_D,Long_M,Long_S,Longitude
Plot I,Primitive gyttja slimy-light loamy marsh soil,Marsh,0,3,7.17,9.1,1.8,0.89,10,68°19?49.0??,68,19,49,68.33027778,59°31?05.0??,59,31,5,59.51805556
Plot I,Primitive gyttja slimy-light loamy marsh soil,Marsh,3,24,5.98,41,NA,3.3,14,68°19?49.0??,68,19,49,68.33027778,59°31?05.0??,59,31,5,59.51805556
Plot I,Primitive gyttja slimy-light loamy marsh soil,Marsh,24,67,6.82,10.7,0.4,0.79,15,68°19?49.0??,68,19,49,68.33027778,59°31?05.0??,59,31,5,59.51805556
Plot I,Primitive gyttja slimy-light loamy marsh soil,Marsh,67,89,7.19,14.4,0.8,0.98,16,68°19?49.0??,68,19,49,68.33027778,59°31?05.0??,59,31,5,59.51805556
Plot II,Soddy gley loamy sandy marsh soil,Marsh,0,10,4.77,75,NA,5,18,68°19?49.4??,68,19,49.4,68.33038889,59°31?07.8??,59,31,7.8,59.51883333
Plot II,Soddy gley loamy sandy marsh soil,Marsh,10,19,5.52,13.4,NA,0.95,16,68°19?49.4??,68,19,49.4,68.33038889,59°31?07.8??,59,31,7.8,59.51883333
Plot II,Soddy gley loamy sandy marsh soil,Marsh,19,30,3.58,4.8,NA,0.43,13,68°19?49.4??,68,19,49.4,68.33038889,59°31?07.8??,59,31,7.8,59.51883333
Plot II,Soddy gley loamy sandy marsh soil,Marsh,30,63,4.1,7.1,NA,0.57,15,68°19?49.4??,68,19,49.4,68.33038889,59°31?07.8??,59,31,7.8,59.51883333
Plot II,Soddy gley loamy sandy marsh soil,Marsh,63,78,5.45,11.4,NA,0.88,15,68°19?49.4??,68,19,49.4,68.33038889,59°31?07.8??,59,31,7.8,59.51883333
Plot III,Marsh Primitive soddy gley heavy loamy marsh soil,Marsh,0,4,6.21,6.1,0,0.49,15,68°18?26.5??,68,18,26.5,68.30736111,59°4?12.8??,59,4,12.8,59.07022222
Plot III,Marsh Primitive soddy gley heavy loamy marsh soil,Marsh,4,11,6.46,38,0,3,15,68°18?26.5??,68,18,26.5,68.30736111,59°4?12.8??,59,4,12.8,59.07022222
Plot III,Marsh Primitive soddy gley heavy loamy marsh soil,Marsh,11,30,6.69,26,0,1.8,17,68°18?26.5??,68,18,26.5,68.30736111,59°4?12.8??,59,4,12.8,59.07022222
Plot III,Marsh Primitive soddy gley heavy loamy marsh soil,Marsh,30,57,7.2,5.3,0.6,0.32,17,68°18?26.5??,68,18,26.5,68.30736111,59°4?12.8??,59,4,12.8,59.07022222
Plot IV,Permafrost-affected oligotrophic peat soil,Peat,0,1,3.87,434,NA,7.9,64,8°20?05.7??,8,20,5.7,8.334916667,59°33?21.9??,59,33,21.9,59.55608333
Plot IV,Permafrost-affected oligotrophic peat soil,Peat,1,16,3.96,447,NA,14,37,8°20?05.7??,8,20,5.7,8.334916667,59°33?21.9??,59,33,21.9,59.55608333
Plot IV,Permafrost-affected oligotrophic peat soil,Peat,16,23,3.98,444,NA,18,29,8°20?05.7??,8,20,5.7,8.334916667,59°33?21.9??,59,33,21.9,59.55608333
Plot IV,Permafrost-affected oligotrophic peat soil,Peat,23,30,4.04,468,NA,20,27,8°20?05.7??,8,20,5.7,8.334916667,59°33?21.9??,59,33,21.9,59.55608333
Plot V,Permafrost-affected cryogenically ferruginized peat gley soil,Peat,0,3,4.16,403,NA,5,94,68°16?58.9??,68,16,58.9,68.28302778,59°54?49.5??,59,54,49.5,59.91375
Plot V,Permafrost-affected cryogenically ferruginized peat gley soil,Peat,3,11,3.93,409,NA,6.5,73,68°16?58.9??,68,16,58.9,68.28302778,59°54?49.5??,59,54,49.5,59.91375
Plot V,Permafrost-affected cryogenically ferruginized peat gley soil,Peat,11,13,4.43,310,NA,12.5,29,68°16?58.9??,68,16,58.9,68.28302778,59°54?49.5??,59,54,49.5,59.91375
Plot V,Permafrost-affected cryogenically ferruginized peat gley soil,Peat,13,27,5.51,3.7,NA,0.34,13,68°16?58.9??,68,16,58.9,68.28302778,59°54?49.5??,59,54,49.5,59.91375
Plot V,Permafrost-affected cryogenically ferruginized peat gley soil,Peat,27,38,5.48,3.9,NA,0.35,13,68°16?58.9??,68,16,58.9,68.28302778,59°54?49.5??,59,54,49.5,59.91375
Plot V,Permafrost-affected cryogenically ferruginized peat gley soil,Peat,38,55 (69),5.53,7.5,NA,0.5,16,68°16?58.9??,68,16,58.9,68.28302778,59°54?49.5??,59,54,49.5,59.91375
Plot V,Permafrost-affected cryogenically ferruginized peat gley soil,Peat,55 (69),76,5.92,4.6,NA,0.33,18,68°16?58.9??,68,16,58.9,68.28302778,59°54?49.5??,59,54,49.5,59.91375
