Date,Core.ID,Latitude,Longitude,Elevation,Name.per.Vegetation,section,section.depth..paren.cm.paren.,bulk.density..paren.g.per.cm3.paren.,C.percent.,N.percent.,v_137Cs..paren.mBq.per.g.paren.,v_210Pb..paren.Bq.per.g.paren.,v_214Pb..paren.Bq.per.g.paren.,v_214.Bi..paren.Bq.per.g.paren.
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,1,1.53,0.19,13.27,0.95,0.055,0.322,0.022,0.021
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,3,2.45,0.22,16.83,1.01,0.033,0.293,0.021,0.017
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,5,2.2,0.23,16.61,1.04,0.044,0.229,0.019,0.019
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,7,1.93,0.22,16.58,1.01,0.053,0.176,0.021,0.02
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,9,2.1,0.22,17.84,1.04,0.052,0.163,0.019,0.019
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,11,2.98,0.22,19.99,1.09,0.053,0.135,0.014,0.017
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,13,1.68,0.23,19.43,1.06,0.074,0.117,0.016,0.015
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,15,2.1,0.21,20.27,0.97,0.088,0.086,0.019,0.017
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,17,1.9,0.19,18.54,1.07,0.079,0.073,0.019,0.017
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,19,1.85,0.17,16.79,0.98,0.07,0.054,0.02,0.02
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,21,1.8,0.19,12.96,0.85,0.246,0.084,0.022,0.022
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,23,2.4,0.24,10.81,0.67,0.282,0.09,0.023,0.02
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,25,1.95,0.21,11.59,0.68,0.159,0.079,0.023,0.02
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,27,2.43,0.16,13.39,0.77,0.059,0.071,0.021,0.02
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,29,2.35,0.14,13.41,0.74,0.03,0.07,0.021,0.019
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,31,2.15,0.18,12.02,0.68,0.023,0.071,0.022,0.021
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,33,2.7,0.21,10.46,0.65,0.028,0.064,0.023,0.022
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,35,2.1,0.28,10.48,0.72,0.007,0.062,0.024,0.022
2014-10-30,Core 1,42.742579,-70.830535,1.36,S. patens,37,2.15,0.27,11.68,0.83,0.017,0.058,0.026,0.025
