Location,Longitude,Latitude,Year,AT_C,AB_g_m2,SM_perc,pH,SOC_g_kg,Sailinity_ppt,SO4_2_mg_L,CH4,CO2,N2O,References
Yellow River Estuary,118.97,38.01,2013,12.1,1281.92,25.01,7.95,4.57,3.97,NA,0.201,241.97,NA,"Song aNA Liu, 2016"
Yellow River Delta,119.25,37.71,2013,13.68,0,14.08,8.46,3.14,28.59,NA,0.071,31.7,NA,"Chen et al., 2018"
Yellow River Delta,119.15,37.75,2013,13.68,573.31,19.9,8.44,2.19,1.44,NA,0.071,17.1,NA,"Chen et al., 2018"
Yellow River Delta,119.1,37.75,2013,13.68,1015.69,24.14,8.27,3.27,0.61,NA,0.075,5.4,NA,"Chen et al., 2018"
Yellow River Delta,119.18,37.78,2013,13.68,1400,20.58,8.3,2.56,8.67,NA,0.075,14.3,NA,"Chen et al., 2018"
Jiulong River Estuary,117.91,24.39,2013,21,1401,45.65,6.48,15.3,17.12,NA,0.127,NA,48.885,"Chen et al., 2017"
Jiulong River Estuary,117.91,24.39,2013,21,1402,45.68,6.64,18.78,17.12,NA,0.22,NA,49.966,"Chen et al., 2018"
Yangtze River Estuary,122.02,31.5,2012,15.3,380.15,54.03,8.45,7.55,1.15,NA,0.942,NA,0.132,"Li et al., 2018"
Min River Estuary,119.63,26.03,2009,20.4,1862.2,58,6.6,19.3,3.7,NA,NA,377,NA,"Tong et al.,2014"
Min River Estuary,119.63,26.03,2009,20.2,573.2,58.5,6.5,22.1,4.2,NA,NA,535,NA,"Tong et al.,2015"
Min River Estuary,119.63,26.03,2009,20.3,588.2,59,6.7,19.7,3.6,NA,NA,433.4,NA,"Tong et al.,2016"
Yangtze River Estuary,122.02,31.5,2004,15.3,587.08,63,8.23,5.29,5.55,NA,NA,NA,98.3,"Yu et al., 2012"
Yangtze River Estuary,121.97,31.53,2008-2009,15.3,2717.23,72.36,8.8,5.2,5.03,NA,NA,185.8,NA,"Bu et al., 2015"
Yangtze River Estuary,121.97,31.53,2008-2009,15.3,1340.35,56.02,8.76,4.5,6.59,NA,NA,142.3,NA,"Bu et al., 2015"
Yangtze River Estuary,121.97,31.53,2009-2010,15.3,2717.23,93.29,8.66,4.3,8.67,NA,NA,159.7,NA,"Bu et al., 2015"
Yangtze River Estuary,121.97,31.53,2009-2010,15.3,587.08,85,8.65,2.8,8.67,NA,NA,112,NA,"Bu et al., 2015"
Min River Estuary,119.58,26.06,2014-2015,20.19,1188,73,6.98,20.43,3.5,455.04,0.388,955.264,NA,"Hu et al., 2017"
Yancheng coastal,120.68,33.37,2012,15.1,1700,26,8.85,13.55,16.06,1220,0.19,NA,-8.092,"Yuan et al., 2015"
Yancheng coastal,120.68,33.37,2012,15.1,790,26.5,8.67,5.42,3.16,250,0.12,NA,-4.46,"Yuan et al., 2015"
Yancheng coastal,120.68,33.37,2012,15.1,410,27,9.03,3.95,7.75,470,0.06,NA,6.61,"Yuan et al., 2015"
Yancheng coastal,120.68,33.37,2012,15.1,0,27.5,9.15,1.88,9.96,510,0.05,NA,4.461,"Yuan et al., 2015"
Zhangjiang River Estuary,117.42,23.92,2014,21.2,2796.6,50.47,7.04,10.48,14.53,332.53,2.261,5.74,NA,"Gao et al., 2018"
Liaohe Delta,121.61,40.87,2012,9,367.33,27,7.52,5.3,7.2,NA,0.01,278,NA,"Olsson et al., 2015"
Liaohe Delta,121.81,40.96,2012,9,371.71,37,7.49,6.9,28,NA,-0.01,423,NA,"Olsson et al., 2015"
Liaohe Delta,121.6,40.87,2012,9,301,41,7.23,16.7,7.62,NA,0.15,484,NA,"Olsson et al., 2015"
Liaohe Delta,121.8,40.16,2012,9,68.41,48,7.35,11.81,8.49,NA,1.01,811,NA,"Olsson et al., 2015"
Yellow River Estuary,119.05,37.92,2009-2010,15.32,573.31,35.3,8,4.53,8.28,NA,-0.011,NA,32.5,"Sun et al., 2013"
Yellow River Estuary,119.05,37.92,2009-2010,14.57,573.31,34.3,8.05,4.58,8.28,NA,-0.017,NA,8.9,"Sun et al., 2013"
Yellow River Estuary,119.05,37.92,2009-2010,13.39,573.31,34.7,8.1,4.52,8.28,NA,-0.014,NA,11.9,"Sun et al., 2013"
Yellow River Estuary,119.05,37.92,2009-2010,14.28,0,35.8,8.15,4.64,8.28,NA,-0.009,NA,14,"Sun et al., 2013"
Yangtze River Estuary,121.97,31.5,2012,15.3,1021.7,63.5,8.62,5.39,7.63,NA,7.198,826,14.516,"Sheng et al., 2014"
Yangtze River Estuary,121.97,31.5,2012,15.3,650.7,64,8.56,4.99,6.07,NA,5.739,691.667,4.399,"Sheng et al., 2014"
Hangzhou Bay,121.19,30.34,2014,16,3250,37,8.38,4.67,1.94,NA,1.573,NA,NA,"Shao et al., 2017"
Min River Estuary,119.63,26.03,2007-2009,19.6,1862.2,65,6.32,18.97,4.2,NA,10.925,NA,NA,"Tong et al., 2012"
Min River Estuary,119.63,26.03,2007-2009,19.6,573.2,58,6.55,21.41,4.2,NA,4.441,NA,NA,"Tong et al., 2012"
Min River Estuary,119.63,26.03,2007-2009,19.6,588.2,58.5,6.53,18.67,4.2,NA,1.244,NA,NA,"Tong et al., 2012"
Liaohe Delta,121.87,40.8,2003,9,616.7,59,7.46,18.67,17.2,NA,0.691,NA,NA,"Huang et al., 2005"
Min River Estuary,119.63,26.03,2007,25.41,1351.28,59.5,6.85,18.67,4.2,NA,5.13,NA,NA,"Tong et al., 2010"
Min River Estuary,119.63,26.03,2007,25.41,1351.28,60,6.78,18.67,4.2,NA,5.06,NA,NA,"Tong et al., 2010"
Min River Estuary,119.63,26.03,2007,25.41,1351.28,60.5,6.98,18.67,4.2,NA,4.74,NA,NA,"Tong et al., 2010"
Kuan-du wetlaNA,120.45,25.12,1995-1999,22.2,1279.43,59.8,6.7,20.7,12.56,NA,1.82,NA,NA,"Chang aNA Yang, 2003"
Yangtze River Estuary,121.95,31.45,2004-2005,15.7,587.08,63.5,7.53,3.98,5.51,NA,2.06,NA,NA,"Wang et al., 2009"
Yangtze River Estuary,121.95,31.45,2004-2005,15.7,0,64,8.69,1.87,5.51,NA,0.04,NA,NA,"Wang et al., 2009"
Hangzhou Bay,121.19,30.34,2014,16,3743.5,64.5,8.38,5.04,1.95,NA,2.75,NA,NA,"Shao et al., 2017a"
