"","Source","Original_source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean","DOI"
"1","Hu et al 2020","Shao et al 2017","MH China 33","Hangzhou Bay","China 33","Coastal wetland",30.34,121.19,"direct from dataset","2","China","2014",0,0.2,NA,0.467,"https://doi.org/10.1016/j.envres.2020.109576"
"2","Hu et al 2020","Shao et al 2017a","MH China 44","Hangzhou Bay","China 44","Coastal wetland",30.34,121.19,"direct from dataset","2","China","2014",0,0.2,NA,0.504,"https://doi.org/10.1016/j.envres.2020.109576"
"3","Hu et al 2020","Wang et al 2014","MH China 104","Hangzhou Bay","China 104","Coastal wetland",30.31,121.07,"direct from dataset","2","China","2013",0,0.2,NA,0.597,"https://doi.org/10.1016/j.envres.2020.109576"
"4","Hu et al 2020","Wang et al 2014","MH China 105","Hangzhou Bay","China 105","Coastal wetland",30.3,121.08,"direct from dataset","2","China","2013",0,0.2,NA,0.589,"https://doi.org/10.1016/j.envres.2020.109576"
"5","Hu et al 2020","Wang et al 2014","MH China 106","Hangzhou Bay","China 106","Coastal wetland",30.31,121.08,"direct from dataset","2","China","2013",0,0.2,NA,0.795,"https://doi.org/10.1016/j.envres.2020.109576"
"6","Hu et al 2020","Wang et al 2014","MH China 107","Hangzhou Bay","China 107","Coastal wetland",30.32,121.07,"direct from dataset","2","China","2013",0,0.2,NA,0.652,"https://doi.org/10.1016/j.envres.2020.109576"
"7","Hu et al 2020","Du et al 2014","MH China 120","Jiaozhou Bay","China 120","Coastal wetland",36.24,120.12,"direct from dataset","2","China","2009-2010",0,0.2,NA,1.018,"https://doi.org/10.1016/j.envres.2020.109576"
"8","Hu et al 2020","Du et al 2015","MH China 121","Jiaozhou Bay","China 121","Coastal wetland",36.24,120.11,"direct from dataset","2","China","2009-2010",0,0.2,NA,0.872,"https://doi.org/10.1016/j.envres.2020.109576"
"9","Hu et al 2020","Xie et al 2011","MH China 122","Jiaozhou Bay","China 122","Coastal wetland",36.17,120.17,"direct from dataset","2","China","2009-2012",0,0.2,NA,0.954,"https://doi.org/10.1016/j.envres.2020.109576"
"10","Hu et al 2020","Chen et al 2017","MH China 6","Jiulong River Estuary","China 6","Coastal wetland",24.39,117.91,"direct from dataset","2","China","2013",0,0.2,NA,1.53,"https://doi.org/10.1016/j.envres.2020.109576"
