"","Core","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0,0.05,"EA",18.8,0.152822222,"https://doi.org/10.1007/s12237-023-01260-4"
"2","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",19.4,0.130190931,"https://doi.org/10.1007/s12237-023-01260-4"
"3","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.1,0.2,"EA",18.2,0.134683401,"https://doi.org/10.1007/s12237-023-01260-4"
"4","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.2,0.3,"EA",5.97,0.343905709,"https://doi.org/10.1007/s12237-023-01260-4"
"5","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.3,0.4,"EA",1.37,0.802547114,"https://doi.org/10.1007/s12237-023-01260-4"
"6","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.4,0.5,"EA",0.85,0.840720669,"https://doi.org/10.1007/s12237-023-01260-4"
"7","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.5,0.62,"EA",0.69,2.291678863,"https://doi.org/10.1007/s12237-023-01260-4"
"8","AC_2_B","Russell et al submitted","SKR AC_2_B","Acraman Creek","Intertidal saltmarsh",-32.450237,134.04693,"direct from dataset",1,"Australia",2021,0,0.05,"EA",20.8,0.202716298,"https://doi.org/10.1007/s12237-023-01260-4"
"9","AC_2_B","Russell et al submitted","SKR AC_2_B","Acraman Creek","Intertidal saltmarsh",-32.450237,134.04693,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",19.4,0.174336931,"https://doi.org/10.1007/s12237-023-01260-4"
"10","AC_2_B","Russell et al submitted","SKR AC_2_B","Acraman Creek","Intertidal saltmarsh",-32.450237,134.04693,"direct from dataset",1,"Australia",2021,0.1,0.2,"EA",16.7,0.176984681,"https://doi.org/10.1007/s12237-023-01260-4"
