"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","SOM_perc_Heiri","DOI"
"1","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0,0.05,"EA",4.18,1.62,2.96,"https://doi.org/10.3390/biology7020027"
"2","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.05,0.1,"EA",3.99,0.79,1.52,"https://doi.org/10.3390/biology7020027"
"3","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.1,0.15,"EA",3.13,0.69,1.26,"https://doi.org/10.3390/biology7020027"
"4","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.15,0.2,"EA",1.68,0.95,1.43,"https://doi.org/10.3390/biology7020027"
"5","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.2,0.25,"EA",1.04,0.68,0.9,"https://doi.org/10.3390/biology7020027"
"6","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.25,0.3,"EA",0.86,0.48,1.16,"https://doi.org/10.3390/biology7020027"
"7","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.3,0.35,"EA",0.94,0.38,0.64,"https://doi.org/10.3390/biology7020027"
"8","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.35,0.4,"EA",1.29,0.47,0.74,"https://doi.org/10.3390/biology7020027"
"9","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.4,0.45,"EA",1.09,0.46,1.05,"https://doi.org/10.3390/biology7020027"
"10","Beasy and Ellison 2013","KMB Tasmania Site 2","Rubicon Estuary","Site 2","Salt marsh",-41.2402306,146.5764921,"direct from dataset","1","Australia","Tasmania","2011",0.45,0.5,"EA",1.31,0.38,0.67,"https://doi.org/10.3390/biology7020027"
"11","Beasy and Ellison 2013","KMB Tasmania Site 3","Rubicon Estuary","Site 3","Salt marsh",-41.2373907,146.5615575,"direct from dataset","1","Australia","Tasmania","2011",0,0.05,"EA",3.45,0.71,1.3,"https://doi.org/10.3390/biology7020027"
