"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"1","Ruranska et al 2020","PR Aberlady Bay 1","Aberlady Bay","Aberlady Bay 1","Salt marsh","Sandy",56.022622,-2.869309,"direct from dataset","1","UK",2019,0,0.1,"EA",6.56,1.25,1.35,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"2","Ruranska et al 2020","PR Aberlady Bay 2","Aberlady Bay","Aberlady Bay 2","Salt marsh","Sandy",56.022698,-2.869026,"direct from dataset","1","UK",2019,0,0.1,"EA",4.79,1.85,1.43,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"3","Ruranska et al 2020","PR Aberlady Bay 3","Aberlady Bay","Aberlady Bay 3","Salt marsh","Sandy",56.023257,-2.868471,"direct from dataset","1","UK",2019,0,0.1,"EA",11.97,1.9,1.29,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"4","Ruranska et al 2020","PR Aberlady Bay 4","Aberlady Bay","Aberlady Bay 4","Salt marsh","Sandy",56.02342,-2.868163,"direct from dataset","1","UK",2019,0,0.1,"EA",12.52,2.55,1.4,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"5","Ruranska et al 2020","PR Aberlady Bay 5","Aberlady Bay","Aberlady Bay 5","Salt marsh","Sandy",56.023522,-2.867744,"direct from dataset","1","UK",2019,0,0.1,"EA",11.52,3.39,1.23,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"6","Ruranska et al 2020","PR Annan 1","Annan","Annan 1","Salt marsh","Sandy",54.9708,-3.2647,"direct from dataset","1","UK",2019,0,0.1,"EA",9.39,7.17,1.14,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"7","Ruranska et al 2020","PR Annan 2","Annan","Annan 2","Salt marsh","Sandy",54.9698,-3.2639,"direct from dataset","1","UK",2019,0,0.1,"EA",8.66,7.07,1.05,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"8","Ruranska et al 2020","PR Annan 3","Annan","Annan 3","Salt marsh","Not Sandy",54.9712,-3.2654,"direct from dataset","1","UK",2019,0,0.1,"EA",9.19,20.6,0.4,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"9","Ruranska et al 2020","PR Annan 4","Annan","Annan 4","Salt marsh","Not Sandy",54.9711,-3.2654,"direct from dataset","1","UK",2019,0,0.1,"EA",10.02,22.1,0.54,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"10","Ruranska et al 2020","PR Annan 5","Annan","Annan 5","Salt marsh","Sandy",54.9697,-3.2633,"direct from dataset","1","UK",2019,0,0.1,"EA",6.49,2.19,1.4,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"11","Ruranska et al 2020","PR Ardelve 1","Ardelve","Ardelve 1","Salt marsh","Not Sandy",57.28130278,-5.533855556,"direct from dataset","1","UK",2019,0,0.1,"EA",13.82,44.1,0.25,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"12","Ruranska et al 2020","PR Ardelve 2","Ardelve","Ardelve 2","Salt marsh","Not Sandy",57.2812,-5.533833333,"direct from dataset","1","UK",2019,0,0.1,"EA",18.23,36.49,0.24,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"13","Ruranska et al 2020","PR Ardelve 3","Ardelve","Ardelve 3","Salt marsh","Not Sandy",57.28144722,-5.53365,"direct from dataset","1","UK",2019,0,0.1,"EA",29.36,58.1,0.16,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"14","Ruranska et al 2020","PR Ardelve 4","Ardelve","Ardelve 4","Salt marsh","Not Sandy",57.28132222,-5.533666667,"direct from dataset","1","UK",2019,0,0.1,"EA",16.13,52.88,0.17,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"15","Ruranska et al 2020","PR Ardelve 5","Ardelve","Ardelve 5","Salt marsh","Not Sandy",57.28148611,-5.533491667,"direct from dataset","1","UK",2019,0,0.1,"EA",22.83,63.15,0.18,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"16","Ruranska et al 2020","PR Ardmore 1","Ardmore","Ardmore 1","Salt marsh","Not Sandy",55.973184,-4.6924957,"direct from dataset","1","UK",2019,0,0.1,"EA",23.35,30.54,0.37,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"17","Ruranska et al 2020","PR Ardmore 2","Ardmore","Ardmore 2","Salt marsh","Not Sandy",55.973241,-4.6924737,"direct from dataset","1","UK",2019,0,0.1,"EA",5.24,16.41,0.52,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"18","Ruranska et al 2020","PR Ardmore 3","Ardmore","Ardmore 3","Salt marsh","Not Sandy",55.973103,-4.6925247,"direct from dataset","1","UK",2019,0,0.1,"EA",21.69,57.93,0.22,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"19","Ruranska et al 2020","PR Ardmore 4","Ardmore","Ardmore 4","Salt marsh","Not Sandy",55.972979,-4.6925622,"direct from dataset","1","UK",2019,0,0.1,"EA",17.85,36.02,0.26,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"20","Ruranska et al 2020","PR Ardmore 5","Ardmore","Ardmore 5","Salt marsh","Not Sandy",55.97288,-4.6925864,"direct from dataset","1","UK",2019,0,0.1,"EA",16.95,52.48,0.23,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"21","Ruranska et al 2020","PR Belhaven 1","Belhaven","Belhaven 1","Salt marsh","Not Sandy",56.00373111,-2.6013844,"direct from dataset","1","UK",2018,0,0.1,"EA",7.18,NA,0.56,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
"22","Ruranska et al 2020","PR Belhaven 2","Belhaven","Belhaven 2","Salt marsh","Not Sandy",56.00373111,-2.6013844,"direct from dataset","1","UK",2018,0,0.1,"EA",9.2,NA,0.45,"https://doi.org/10.5285/81a1301f-e5e2-44f9-afe0-0ea5bb08010f"
