"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"1","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0,0.01,"EA",3.21,17.08,NA,"https://doi.org/10.17882/73534"
"2","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.01,0.02,"EA",2.81,17.32,NA,"https://doi.org/10.17882/73534"
"3","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.02,0.03,"EA",3.2,17.93,NA,"https://doi.org/10.17882/73534"
"4","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.03,0.04,"EA",3.45,18.36,NA,"https://doi.org/10.17882/73534"
"5","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.04,0.05,"EA",3.34,17.88,NA,"https://doi.org/10.17882/73534"
"6","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.05,0.06,"EA",3.22,17.9,NA,"https://doi.org/10.17882/73534"
"7","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.06,0.07,"EA",3.23,17.48,NA,"https://doi.org/10.17882/73534"
"8","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.07,0.08,"EA",2.97,17.61,NA,"https://doi.org/10.17882/73534"
"9","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.08,0.09,"EA",2.75,18.37,NA,"https://doi.org/10.17882/73534"
"10","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.09,0.1,"EA",2.82,17.71,NA,"https://doi.org/10.17882/73534"
"11","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.1,0.11,"EA",2.6,16.95,NA,"https://doi.org/10.17882/73534"
"12","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.11,0.12,"EA",2.64,17.29,NA,"https://doi.org/10.17882/73534"
"13","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.12,0.13,"EA",2.76,17.49,NA,"https://doi.org/10.17882/73534"
"14","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.13,0.14,"EA",3.09,12.17,NA,"https://doi.org/10.17882/73534"
"15","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.14,0.15,"EA",2.94,17.12,NA,"https://doi.org/10.17882/73534"
"16","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.15,0.16,"EA",3.13,17.3,NA,"https://doi.org/10.17882/73534"
"17","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.16,0.17,"EA",2.06,16.9,NA,"https://doi.org/10.17882/73534"
"18","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.17,0.18,"EA",2.99,17.77,NA,"https://doi.org/10.17882/73534"
"19","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.18,0.19,"EA",3.32,18.43,NA,"https://doi.org/10.17882/73534"
