Core_type,Marsh_type,Marsh_zone,delta_c13,Source,Site_name,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,accuracy_code,Country,State,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,N_perc,BD_reported_g_cm3,DOI
Narrow,Embayment,High,-27.225,Miller et al 2022,LCM Fleet C1,Cambusmore Lodge (Loch Fleet),Fleet C1,Salt marsh,57.9502173,-4.08237605,direct from dataset,1,UK,Highland,2020,0,0.05,EA,22.287,2.053,0.499247365,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C1,Cambusmore Lodge (Loch Fleet),Fleet C1,Salt marsh,57.9502173,-4.08237605,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,7.6,NA,1.237388413,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C1,Cambusmore Lodge (Loch Fleet),Fleet C1,Salt marsh,57.9502173,-4.08237605,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,0.832,NA,2.524514395,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-28.538,Miller et al 2022,LCM Fleet C10,Cambusmore Lodge (Loch Fleet),Fleet C10,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0,0.05,EA,24.724,2.2,0.361233642,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C10,Cambusmore Lodge (Loch Fleet),Fleet C10,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.4,0.45,EA,2.853,NA,1.804927495,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C10,Cambusmore Lodge (Loch Fleet),Fleet C10,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,2.73,NA,2.076088279,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C10,Cambusmore Lodge (Loch Fleet),Fleet C10,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.3,0.35,EA,0.646,NA,2.316952677,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C10,Cambusmore Lodge (Loch Fleet),Fleet C10,Salt marsh,57.94673653,-4.08130251,direct from dataset,1,UK,Highland,2020,0.2,0.25,EA,0.431,NA,2.669368324,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,-27.949,Miller et al 2022,LCM Fleet C11,Cambusmore Lodge (Loch Fleet),Fleet C11,Salt marsh,57.94631,-4.08114,direct from dataset,1,UK,Highland,2020,0,0.05,EA,0.55,1.558,0.558920563,https://doi.org/10.7489/12422-1
Narrow,Embayment,High,NA,Miller et al 2022,LCM Fleet C11,Cambusmore Lodge (Loch Fleet),Fleet C11,Salt marsh,57.94631,-4.08114,direct from dataset,1,UK,Highland,2020,0.1,0.15,EA,0.884,NA,2.225511778,https://doi.org/10.7489/12422-1
