"","Core","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","Conv_factor","BD_reported_g_cm3","DOI"
"1","Sp1a","Santos et al 2019","RS Sp1a","Ria Formosa","Saltmarsh",36.983,-7.888,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",1.564,7.09,NA,0.8,"https://doi.org/10.1038/s41598-018-37031-6"
"2","Sp1b","Santos et al 2019","RS Sp1b","Ria Formosa","Saltmarsh",36.983,-7.888,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.22,7.98,NA,0.802,"https://doi.org/10.1038/s41598-018-37031-6"
"3","Sp1c","Santos et al 2019","RS Sp1c","Ria Formosa","Saltmarsh",36.983,-7.888,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",1.197,6.01,NA,0.91,"https://doi.org/10.1038/s41598-018-37031-6"
"4","Sp1d","Santos et al 2019","RS Sp1d","Ria Formosa","Saltmarsh",36.983,-7.888,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",3.627,10.65,NA,0.624,"https://doi.org/10.1038/s41598-018-37031-6"
"5","Sp2a","Santos et al 2019","RS Sp2a","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.943,11.92,NA,0.564,"https://doi.org/10.1038/s41598-018-37031-6"
"6","Sp2b","Santos et al 2019","RS Sp2b","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.426,9.94,NA,0.636,"https://doi.org/10.1038/s41598-018-37031-6"
"7","Sp2c","Santos et al 2019","RS Sp2c","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.106,9.63,NA,0.615,"https://doi.org/10.1038/s41598-018-37031-6"
"8","Sp2d","Santos et al 2019","RS Sp2d","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.333,10.32,NA,0.689,"https://doi.org/10.1038/s41598-018-37031-6"
"9","Sp3a","Santos et al 2019","RS Sp3a","Ria Formosa","Saltmarsh",36.999,-7.879,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.671,10.31,NA,0.58,"https://doi.org/10.1038/s41598-018-37031-6"
"10","Sp3b","Santos et al 2019","RS Sp3b","Ria Formosa","Saltmarsh",36.999,-7.879,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.575,10.49,NA,0.648,"https://doi.org/10.1038/s41598-018-37031-6"
"11","Sp3c","Santos et al 2019","RS Sp3c","Ria Formosa","Saltmarsh",36.999,-7.879,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.476,11.73,NA,0.608,"https://doi.org/10.1038/s41598-018-37031-6"
"12","Sp3d","Santos et al 2019","RS Sp3d","Ria Formosa","Saltmarsh",36.999,-7.879,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.634,10.01,NA,0.621,"https://doi.org/10.1038/s41598-018-37031-6"
"13","Sp4a","Santos et al 2019","RS Sp4a","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.552,10.51,NA,0.65,"https://doi.org/10.1038/s41598-018-37031-6"
"14","Sp4b","Santos et al 2019","RS Sp4b","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.55,10.19,NA,0.678,"https://doi.org/10.1038/s41598-018-37031-6"
"15","Sp4c","Santos et al 2019","RS Sp4c","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.396,10.43,NA,0.628,"https://doi.org/10.1038/s41598-018-37031-6"
"16","Sp4d","Santos et al 2019","RS Sp4d","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.771,10.67,NA,0.628,"https://doi.org/10.1038/s41598-018-37031-6"
"17","Sm1_5","de los Santos et al 2022 (a)","CBdlS Sm1_5","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.38,7.885,"OC = -0.066 + 0.3102*OM",0.501,"https://doi.org/10.1016/j.ecss.2022.107896"
"18","Sm1_10","de los Santos et al 2022 (a)","CBdlS Sm1_10","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",0.486,1.779,"OC = -0.066 + 0.3102*OM",0.935,"https://doi.org/10.1016/j.ecss.2022.107896"
"19","Sm2_5","de los Santos et al 2022 (a)","CBdlS Sm2_5","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.173,7.219,"OC = -0.066 + 0.3102*OM",0.703,"https://doi.org/10.1016/j.ecss.2022.107896"
"20","Sm2_10","de los Santos et al 2022 (a)","CBdlS Sm2_10","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.09,6.951,"OC = -0.066 + 0.3102*OM",0.695,"https://doi.org/10.1016/j.ecss.2022.107896"
