"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 1","Agua Amarga",1,"Salt marsh",38.29806413,-0.52094415,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.254,1.82,"https://doi.org/10.1016/j.catena.2014.11.012"
"2","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 2","Agua Amarga",2,"Salt marsh",38.28931323,-0.52242501,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.323,1.58,"https://doi.org/10.1016/j.catena.2014.11.012"
"3","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 3","Agua Amarga",3,"Salt marsh",38.28796898,-0.522618691,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.479,1.41,"https://doi.org/10.1016/j.catena.2014.11.012"
"4","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 4","Agua Amarga",4,"Salt marsh",38.29098641,-0.521264451,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.77,1.56,"https://doi.org/10.1016/j.catena.2014.11.012"
"5","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 5","Agua Amarga",5,"Salt marsh",38.29857196,-0.521228905,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.824,2.09,"https://doi.org/10.1016/j.catena.2014.11.012"
"6","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 6","Agua Amarga",6,"Salt marsh",38.28893161,-0.522974649,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.211,1.81,"https://doi.org/10.1016/j.catena.2014.11.012"
"7","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 7","Agua Amarga",7,"Salt marsh",38.28852149,-0.52195497,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.21,1.54,"https://doi.org/10.1016/j.catena.2014.11.012"
"8","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 8","Agua Amarga",8,"Salt marsh",38.28743641,-0.522154084,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.106,1.35,"https://doi.org/10.1016/j.catena.2014.11.012"
"9","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 9","Agua Amarga",9,"Salt marsh",38.28227604,-0.523775784,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.491,1.44,"https://doi.org/10.1016/j.catena.2014.11.012"
"10","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 10","Agua Amarga",10,"Salt marsh",38.28147387,-0.524394218,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.493,1.88,"https://doi.org/10.1016/j.catena.2014.11.012"
