"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","DOI"
"1","Hansen et al 2016","KH 1a","Elbe Estuary","1a","Salt marsh",53.6499515909381,9.55198209165036,"estimated from GEE","2","Germany","2010",0,0.03,"EA",5.4,"https://doi.org/10.1007/s11368-016-1500-8"
"2","Hansen et al 2016","KH 1a","Elbe Estuary","1a","Salt marsh",53.6499515909381,9.55198209165036,"estimated from GEE","2","Germany","2010",0.03,0.4,"EA",3.75,"https://doi.org/10.1007/s11368-016-1500-8"
"3","Hansen et al 2016","KH 1a","Elbe Estuary","1a","Salt marsh",53.6499515909381,9.55198209165036,"estimated from GEE","2","Germany","2010",0.4,0.7,"EA",3,"https://doi.org/10.1007/s11368-016-1500-8"
"4","Hansen et al 2016","KH 1a","Elbe Estuary","1a","Salt marsh",53.6499515909381,9.55198209165036,"estimated from GEE","2","Germany","2010",0.7,1,"EA",3.26,"https://doi.org/10.1007/s11368-016-1500-8"
"5","Hansen et al 2016","KH 1b","Elbe Estuary","1b","Salt marsh",53.6501581978589,9.55268539639718,"estimated from GEE","2","Germany","2010",0,0.1,"EA",4.09,"https://doi.org/10.1007/s11368-016-1500-8"
"6","Hansen et al 2016","KH 1b","Elbe Estuary","1b","Salt marsh",53.6501581978589,9.55268539639718,"estimated from GEE","2","Germany","2010",0.1,0.45,"EA",4.21,"https://doi.org/10.1007/s11368-016-1500-8"
"7","Hansen et al 2016","KH 1b","Elbe Estuary","1b","Salt marsh",53.6501581978589,9.55268539639718,"estimated from GEE","2","Germany","2010",0.45,0.7,"EA",4.58,"https://doi.org/10.1007/s11368-016-1500-8"
"8","Hansen et al 2016","KH 1b","Elbe Estuary","1b","Salt marsh",53.6501581978589,9.55268539639718,"estimated from GEE","2","Germany","2010",0.7,1,"EA",5.38,"https://doi.org/10.1007/s11368-016-1500-8"
"9","Hansen et al 2016","KH 1c","Elbe Estuary","1c","Salt marsh",53.6498849054369,9.55410839315753,"estimated from GEE","2","Germany","2010",0,0.03,"EA",7.73,"https://doi.org/10.1007/s11368-016-1500-8"
"10","Hansen et al 2016","KH 1c","Elbe Estuary","1c","Salt marsh",53.6498849054369,9.55410839315753,"estimated from GEE","2","Germany","2010",0.03,0.4,"EA",7.32,"https://doi.org/10.1007/s11368-016-1500-8"
