"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","n","OC_perc_mean","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","DOI"
"1","Hayes et al 2014","MAH Moreton Bay","Moreton Bay","Mixed geomorphic setting","Tidal marsh",-27.744882,153.386378,"estimated from GEE","3","Australia","2012","2013",0,0.1,"MIR absorbance spectra",21,2.93,0.26,0.94,0.05,"https://doi.org/10.1111/gcb.13722"
"2","Hayes et al 2014","MAH Moreton Bay","Moreton Bay","Mixed geomorphic setting","Tidal marsh",-27.744882,153.386378,"estimated from GEE","3","Australia","2012","2013",0.1,0.2,"MIR absorbance spectra",21,2.94,0.25,0.86,0.03,"https://doi.org/10.1111/gcb.13722"
"3","Hayes et al 2014","MAH Moreton Bay","Moreton Bay","Mixed geomorphic setting","Tidal marsh",-27.744882,153.386378,"estimated from GEE","3","Australia","2012","2013",0.2,0.3,"MIR absorbance spectra",21,2.43,0.29,0.92,0.03,"https://doi.org/10.1111/gcb.13722"
"4","Hayes et al 2014","MAH Moreton Bay","Moreton Bay","Mixed geomorphic setting","Tidal marsh",-27.744882,153.386378,"estimated from GEE","3","Australia","2012","2013",0.3,0.5,"MIR absorbance spectra",21,2.27,0.28,0.92,0.03,"https://doi.org/10.1111/gcb.13722"
"5","Hayes et al 2014","MAH Moreton Bay","Moreton Bay","Mixed geomorphic setting","Tidal marsh",-27.744882,153.386378,"estimated from GEE","3","Australia","2012","2013",0.5,0.75,"MIR absorbance spectra",21,2.38,0.21,1,0.03,"https://doi.org/10.1111/gcb.13722"
