"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","SOM_perc","BD_reported_g_cm3","Conv_factor","DOI"
"1","Yando et al 2016","ESY FLSM1","FLSM1","FLSM1","Saltmarsh","29.14374","-83.031762","direct from dataset","1","United States","Florida","2013",0,0.05,"LOI","33.53","0.2",NA,"https://doi.org/10.1111/1365-2745.12571"
"2","Yando et al 2016","ESY FLSM1","FLSM1","FLSM1","Saltmarsh","29.14374","-83.031762","direct from dataset","1","United States","Florida","2013",0.05,0.15,"LOI","34.72","0.25",NA,"https://doi.org/10.1111/1365-2745.12571"
"3","Yando et al 2016","ESY FLSM1","FLSM1","FLSM1","Saltmarsh","29.14374","-83.031762","direct from dataset","1","United States","Florida","2013",0.15,0.3,"LOI","35.17","0.31",NA,"https://doi.org/10.1111/1365-2745.12571"
"4","Yando et al 2016","ESY FLSM2","FLSM2","FLSM2","Saltmarsh","29.143043","-83.031286","direct from dataset","1","United States","Florida","2013",0,0.05,"LOI","23.92","0.13",NA,"https://doi.org/10.1111/1365-2745.12571"
"5","Yando et al 2016","ESY FLSM2","FLSM2","FLSM2","Saltmarsh","29.143043","-83.031286","direct from dataset","1","United States","Florida","2013",0.05,0.15,"LOI","35.91","0.2",NA,"https://doi.org/10.1111/1365-2745.12571"
"6","Yando et al 2016","ESY FLSM2","FLSM2","FLSM2","Saltmarsh","29.143043","-83.031286","direct from dataset","1","United States","Florida","2013",0.15,0.3,"LOI","44.97","0.21",NA,"https://doi.org/10.1111/1365-2745.12571"
"7","Yando et al 2016","ESY FLSM3","FLSM3","FLSM3","Saltmarsh","29.141744","-83.022946","direct from dataset","1","United States","Florida","2013",0,0.05,"LOI","29.24","0.15",NA,"https://doi.org/10.1111/1365-2745.12571"
"8","Yando et al 2016","ESY FLSM3","FLSM3","FLSM3","Saltmarsh","29.141744","-83.022946","direct from dataset","1","United States","Florida","2013",0.05,0.15,"LOI","26.97","0.25",NA,"https://doi.org/10.1111/1365-2745.12571"
"9","Yando et al 2016","ESY FLSM3","FLSM3","FLSM3","Saltmarsh","29.141744","-83.022946","direct from dataset","1","United States","Florida","2013",0.15,0.3,"LOI","12.75","0.43",NA,"https://doi.org/10.1111/1365-2745.12571"
"10","Yando et al 2016","ESY LASM1","LASM1","LASM1","Saltmarsh","29.106276","-90.201281","direct from dataset","1","United States","Louisiana","2012",0,0.05,"LOI","6.95","0.39",NA,"https://doi.org/10.1111/1365-2745.12571"
